Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,AGRO,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",28,84.39,9.88,98,52,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,5,9
UBC,2002,W,MATH,200,,101,CALCULUS 3,"Fraser, Ailana",102,70.03,15.26,100,26,90,7,4,0,1,0,0,2,2,3,7,6,7,8,9,9,12,8,14,9,8
UBC,2002,W,MATH,200,,102,CALCULUS 3,"Fraser, Ailana",99,70.45,16.64,100,28,87,7,4,0,1,0,0,2,1,4,7,10,7,5,7,10,12,4,6,11,15
UBC,2003,W,AGRO,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",39,81.54,8.96,95,56,37,0,1,1,0,0,0,0,0,0,0,0,1,1,1,3,1,4,11,10,5
UBC,2003,W,ARTE,320,,203,CRC&INS ART ELEM,"Fraser, Sharon",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,MATH,253,,101,MULTIVRBL CALC,"Fraser, Ailana",82,68.44,14.71,99,35,74,6,1,0,1,0,0,0,3,3,6,10,4,9,7,6,11,5,11,5,6
UBC,2003,W,MATH,253,,102,MULTIVRBL CALC,"Fraser, Ailana",85,72.91,12.04,98,43,81,1,2,0,1,0,0,0,0,1,1,4,6,7,9,10,6,9,14,10,6
UBC,2005,W,AGRO,215,,001,ANIMALS & SOCI,"Fraser, David;Von Keyserlingk, Marina",26,80.42,10.5,96,55,26,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,2,7,4,5
UBC,2005,W,AGRO,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",38,83.3,10.13,99,55,37,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,2,3,5,13,9
UBC,2005,W,MATH,424,,101,CLS DIFF GEOMTRY,"Fraser, Ailana",5,86.6,6.11,93,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
UBC,2005,W,MATH,525,,101,DIFF GEOMETRY I,"Fraser, Ailana",5,91.25,2.75,94,88,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UBC,2005,W,MATH,526,,201,DIFF GEOMETRY II,"Fraser, Ailana",10,93.44,1.94,96,90,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
UBC,2006,W,AGRO,215,,001,ANIMALS & SOCI,"Fraser, David;Von Keyserlingk, Marina",20,79.79,20.56,96,0,18,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,1,6,5
UBC,2006,W,AGRO,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",35,80.79,15.62,98,15,33,1,1,0,0,0,1,0,0,0,1,1,0,0,2,1,3,5,4,6,11
UBC,2006,W,MATH,253,,101,MULTIVRBL CALC,"Fraser, Ailana",100,77.81,11.36,96,42,98,2,0,0,0,0,0,0,0,2,2,2,0,5,8,9,11,11,17,22,13
UBC,2006,W,MATH,320,,101,REAL VARIABLS I,"Fraser, Ailana",48,67.44,15.25,95,26,38,5,4,1,0,0,0,1,1,3,5,3,4,2,6,3,6,2,7,2,3
UBC,2007,W,AGRO,215,,001,ANIMALS & SOCI,"Fraser, David;Von Keyserlingk, Marina",31,79.3,11.97,97,50,30,0,1,0,0,0,0,0,0,0,0,1,1,1,3,1,3,2,5,8,5
UBC,2007,W,AGRO,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",39,80.53,15.75,97,0,37,1,1,0,0,1,0,0,0,0,1,1,0,0,2,0,1,5,12,9,7
UBC,2007,W,MATH,217,,101,MLTVAR&VCTR CALC,"Fraser, Ailana",64,69.84,14.8,100,42,62,2,0,0,0,0,0,0,0,2,2,6,14,4,4,6,6,3,9,2,8
UBC,2007,W,MATH,265,,102,LINEAR EQUATIONS,"Fraser, Ailana",70,67.07,18.79,95,8,59,10,1,0,0,1,1,1,4,3,10,2,6,9,4,6,5,7,9,4,7
UBC,2007,W,MATH,424,,201,CLS DIFF GEOMTRY,"Fraser, Ailana",12,76.5,22.94,92,10,11,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,4,3
UBC,2007,W,SPAN,101,,110,BEGINNER SPAN I,"Fraser, Barbara;Spacciante, Stephanie",35,75.59,9.98,93,55,34,0,1,0,0,0,0,0,0,0,0,0,2,2,6,2,2,12,2,2,4
UBC,2007,W,SPAN,102,,210,BEGINNER SPAN II,"Fraser, Barbara;Spacciante, Stephanie",25,72.29,14.53,96,43,22,2,0,1,0,0,0,0,0,2,2,1,2,0,3,3,4,2,1,3,3
UBC,2009,W,APBI,314,,001,ANIMALS&SOCIETY,"Fraser, David;Von Keyserlingk, Marina",30,87.37,6.83,100,71,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,14,10
UBC,2009,W,APBI,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",44,76.09,14.66,94,20,42,2,0,0,0,0,0,1,1,0,2,2,1,1,0,5,5,7,6,9,6
UBC,2009,W,MATH,263,,101,MULTIVR CALCULUS,"Fraser, Ailana",119,66.49,16.68,100,24,104,13,1,0,1,0,0,1,4,8,13,9,24,12,11,9,1,5,12,8,13
UBC,2009,W,MATH,265,,103,LINEAR EQUATIONS,"Fraser, Ailana",115,66.75,17.66,100,19,97,16,0,0,2,0,1,0,2,13,16,16,11,10,6,7,6,9,10,5,17
UBC,2009,W,MATH,424,,201,CLS DIFF GEOMTRY,"Fraser, Ailana",9,82.33,23.86,100,22,8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,5
UBC,2009,W,SPAN,101,,107,BEGINNER SPAN I,"Fraser, Barbara;Manchon, Enrique;Spacciante, Stephanie",34,71.97,11.36,90,46,29,1,4,0,0,0,0,0,0,1,1,2,1,3,3,3,5,3,4,4,1
UBC,2010,W,APBI,314,,001,ANIMALS&SOCIETY,"Fraser, David;Von Keyserlingk, Marina",54,83.09,8.58,96,64,53,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,1,5,11,13,15
UBC,2010,W,APBI,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",52,76.9,19.34,92,0,45,3,1,1,0,2,0,1,0,0,3,0,0,0,0,2,6,5,16,11,5
UBC,2010,W,APBI,490,,002,TPCS APPL BIOLGY,"Fraser, David",16,85.93,4.85,92,72,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,3
UBC,2010,W,CCFI,501,,61A,INQ LEARN COMMUN,"Fraser, Patti;Meyer, Karen;Vellani, Al-Munir",24,90.09,1.65,92,88,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
UBC,2010,W,CCFI,572,A,62A,AD SEM C-F INQRY,"Fraser, Patti;Meyer, Karen;Vellani, Al-Munir",23,91.09,1.81,94,88,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19
UBC,2010,W,EDST,314,,005,SCL ISS IN EDUC,"Fraser, Carolyn",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,MATH,200,,107,CALCULUS 3,"Fraser, Ailana",123,65.73,12.19,95,41,112,7,3,0,1,0,0,0,0,7,7,9,21,18,15,9,15,8,6,5,6
UBC,2010,W,MATH,425,,101,INTR MOD DIFF GE,"Fraser, Ailana",4,91.33,2.89,93,88,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
UBC,2010,W,MATH,525,,101,DIFF GEOMETRY I,"Fraser, Ailana",6,90.83,6.01,98,82,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
UBC,2010,W,SPAN,102,,901,BEGINNER SPAN II,"Fraser, Barbara;Manchon, Enrique",19,72.44,15.39,90,40,14,2,1,1,0,0,0,0,0,2,2,1,0,0,0,3,3,0,4,2,1
UBC,2011,S,SPAN,101,,922,BEGINNER SPAN I,"Fraser, Barbara;Manchon, Enrique",32,72.81,15.7,91,23,25,2,0,0,2,0,0,1,0,1,2,1,0,3,2,1,5,3,3,6,1
UBC,2011,W,APBI,314,,001,ANIMALS&SOCIETY,"Fraser, David;Von Keyserlingk, Marina",56,82.06,9.15,95,50,53,0,1,2,0,0,0,0,0,0,0,1,0,0,1,5,5,7,9,11,14
UBC,2011,W,APBI,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",57,81.09,6.42,93,68,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,8,6,17,14,6
UBC,2011,W,APBI,490,,002,TPCS APPL BIOLGY,"Fraser, David",8,74.88,18.27,86,30,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,5,1,0
UBC,2011,W,MATH,200,,107,CALCULUS 3,"Fraser, Ailana",114,66.21,14.92,100,14,98,12,3,0,1,0,1,1,3,7,12,8,13,6,9,23,9,8,13,5,4
UBC,2011,W,MATH,424,,201,CLS DIFF GEOMTRY,"Fraser, Ailana",26,79.08,11.79,98,53,26,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,6,4,4,5
UBC,2011,W,MATH,525,,101,DIFF GEOMETRY I,"Fraser, Ailana",7,92.67,5.47,98,85,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
UBC,2011,W,SPAN,101,,902,BEGINNER SPAN I,"Fraser, Barbara;Manchon, Enrique",34,75,12.7,91,36,28,1,1,3,0,0,0,0,1,0,1,1,1,1,1,6,4,3,2,7,2
UBC,2011,W,SPAN,102,,901,BEGINNER SPAN II,"Fraser, Barbara;Manchon, Enrique",24,71.4,11.92,91,50,20,0,1,2,0,0,0,0,0,0,0,1,3,2,2,4,1,2,2,1,2
UBC,2012,S,MATH,200,,921,CALCULUS 3,"Fraser, Ailana",71,68.09,16.53,94,22,57,8,4,0,1,0,0,2,2,4,8,3,8,4,5,6,6,2,10,8,5
UBC,2012,S,MATH,253,,921,MULTIVRBL CALC,"Fraser, Ailana",76,71.18,13.36,92,35,69,5,1,1,0,0,0,0,1,4,5,4,6,2,6,12,4,13,8,7,7
UBC,2012,W,APBI,314,,001,ANIMALS&SOCIETY,"Fraser, David;Von Keyserlingk, Marina",69,87.37,9.2,98,50,67,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,7,16,35
UBC,2012,W,APBI,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",62,82,8.89,100,51,62,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,5,9,17,13,12
UBC,2012,W,APBI,490,,002,TPCS APPL BIOLGY,"Fraser, David",18,84,4.42,91,73,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8,1
UBC,2012,W,MATH,424,,201,CLS DIFF GEOMTRY,"Fraser, Ailana",15,81.67,11.86,98,60,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,1,6
UBC,2012,W,MATH,526,,201,DIFF GEOMETRY II,"Fraser, Ailana",8,90.38,7.42,99,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
UBC,2013,S,MATH,200,,921,CALCULUS 3,"Fraser, Ailana",80,71.17,14.88,95,24,74,4,1,0,0,0,0,1,1,2,4,7,7,9,0,8,7,8,12,11,5
UBC,2013,S,MATH,253,,921,MULTIVRBL CALC,"Fraser, Ailana",59,76.12,11.13,94,50,58,0,1,0,0,0,0,0,0,0,0,2,2,3,5,11,3,5,12,9,6
UBC,2013,W,APBI,314,,001,ANIMALS&SOCIETY,"Fraser, David;Von Keyserlingk, Marina",67,84.72,6.91,97,66,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,16,21,16
UBC,2013,W,APBI,315,,001,AN WLFR&ETHC A U,"Fraser, David;Weary, Daniel",58,83.17,8.24,99,56,58,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,5,16,17,13
UBC,2013,W,APBI,414,,001,ANIMLS GLOBL ISS,"Fraser, David",15,81.27,5.8,92,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,3,1
UBC,2013,W,MATH,526,,201,DIFF GEOMETRY II,"Fraser, Ailana",9,90,0,90,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
UBC,2014,S,APBI,314,,941,ANIMALS&SOCIETY,"Fraser, David;Ormandy, Elisabeth",24,87.6,6.35,95,79,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
UBC,2014,S,APBI,315,,941,AN WLFR&ETHC A U,"Fraser, David;Walker, Kristen",23,79.2,10.6,93,54,20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,2,3,3,3,4
UBC,2014,S,MATH,200,,921,CALCULUS 3,"Fraser, Ailana",95,69.33,15.1,96,14,86,6,2,0,1,0,1,1,1,3,6,10,4,8,5,15,15,4,12,4,9
