Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,PHYS,157,,101,Introductory Physics for Engineers I,Bradley Guislain;Eleni Marina Marina Lykiardopoulou;Eui Sun Ahn;Guy Leckenby;Mark Van Raamsdonk;Ryan Harvey;Sahba Mozaffarian;Ziang Yan,283,77.876325088,11.336983879,98.0,36.0,8,0,7,9,16,31,35,25,73,42,37
UBCV,2019,W,PHYS,157,,102,Introductory Physics for Engineers I,Bradley Guislain;Eleni Marina Marina Lykiardopoulou;Eui Sun Ahn;Guy Leckenby;Ryan Harvey;Sahba Mozaffarian;Steven Dierker;Ziang Yan,356,72.710674157,11.567949827,96.0,30.0,13,3,22,40,32,46,48,40,53,41,18
UBCV,2019,W,PHYS,157,,103,Introductory Physics for Engineers I,Bradley Guislain;Eleni Marina Marina Lykiardopoulou;Eui Sun Ahn;Fei Zhou;Guy Leckenby;Ryan Harvey;Sahba Mozaffarian;Ziang Yan,343,72.174927114,12.624758046,98.0,31.0,17,6,30,21,23,51,53,38,49,25,30
UBCV,2019,W,PHYS,438,,202,Zoological Physics,Bradley Guislain;Scott Oser,34,77.264705882,9.924896224,93.0,45.0,1,0,1,2,1,2,2,8,9,6,2
UBCV,2020,W,BIOL,438,,201,Zoological Physics,Bradley Guislain;Jasmin Wong;Scott Oser,16,78.5,9.570788891,90.0,56.0,0,0,1,0,1,2,2,1,3,4,2
UBCV,2020,W,PHYS,157,,101,Introductory Physics for Engineers I,Adan Azem;Bradley Guislain;Fei Zhou;Mark Van Raamsdonk;Oleksii Proskurin;Steven Dierker;Tim Tuschen,341,79.035190616,12.308722124,99.0,28.0,9,5,10,10,14,21,38,33,73,64,64
UBCV,2020,W,PHYS,157,,102,Introductory Physics for Engineers I,Adan Azem;Arnab Adhikary;Bradley Guislain;Fei Zhou;Mark Van Raamsdonk;Oleksii Proskurin;Steven Dierker,340,76.864705882,14.185223987,98.0,11.0,17,7,11,8,19,24,25,36,95,47,51
UBCV,2020,W,PHYS,157,,103,Introductory Physics for Engineers I,Adan Azem;Austin Khorram;Bradley Guislain;Fei Zhou;Mark Van Raamsdonk;Oleksii Proskurin;Steven Dierker,342,78.00877193,13.253116015,98.0,24.0,12,7,15,9,5,40,37,21,71,38,87
UBCV,2020,W,PHYS,438,,202,Zoological Physics,Bradley Guislain;Jasmin Wong;Scott Oser,20,74.75,11.082822175,94.0,50.0,0,1,1,2,0,3,3,4,2,2,2
UBCV,2021,W,ENPH,259,,101,Experimental Techniques,Alexandra Tully;Andre Marziali;Bradley Guislain;David Jones;Maxwell Werner;Timothy Child;Vladislav Pomogaev,66,89.045454545,8.237684175,98.0,47.0,1,1,0,0,0,0,0,0,9,13,42
UBCV,2021,W,PHYS,157,,101,Introductory Physics for Engineers I,Bradley Guislain;Carlos Doebeli;James Wu;Jing Wang;Lucas Polson;Maxwell Werner;Perrin Waldock;Robert Raussendorf;Samikshya Sahu;Saran Vijayan;Surya Sundar Raman;Yunting Wang,286,74.195804196,13.104041825,96.0,0.0,12,5,14,16,20,26,46,49,40,37,21
UBCV,2021,W,PHYS,408,,201,Optics,Bradley Guislain;Denis Uhland;Ian Macphail-Bartley;Mark Halpern;Paul Ripoche;Rachel Wang;Ryan Harvey;Valery Milner,85,67.705882353,15.342768988,97.0,18.0,7,6,10,7,8,13,6,9,8,7,4
