Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,PHYS,100,,101,Introductory Physics,Alexander Sheyerman;Alyson Spitzig;Andrew Robertson;Charlie Payne;Chen Ge Qu;Chengshu Li;Colby Delisle;Colby Lee Delisle;Damien Quentin;Deborah C Good;Deborah Good;Elizabeth Loggia;Evan Chen;Felix Cormier;Hyungki Shin;Mayra Tovar;Meng Li;Mirko Miorelli;Nikolay Shenkov;Pascal Nigge;Pedro Luis Esquinas Fernandez;Peter Gustainis;Roja Zakariaee Kouchaksaraee;Ryan Day;Stefan Reinsberg;Wesley Cheek;Yi Liu;Ziang Yan,236,69.508474576,14.985522524,98.0,10.0,25,8,12,17,20,32,27,23,41,23,8
UBCV,2015,W,PHYS,100,,102,Introductory Physics,Alexander Sheyerman;Alyson Spitzig;Andrew Robertson;Charlie Payne;Chen Ge Qu;Chengshu Li;Colby Delisle;Colby Lee Delisle;Damien Quentin;Deborah C Good;Deborah Good;Elizabeth Loggia;Evan Chen;Felix Cormier;Hyungki Shin;Marcello M Pavan;Marcello Pavan;Meng Li;Mirko Miorelli;Nikolay Shenkov;Pascal Nigge;Pedro Luis Esquinas Fernandez;Peter Gustainis;Roja Zakariaee Kouchaksaraee;Ryan Day;Stefan Reinsberg;Wesley Cheek;Yi Liu;Ziang Yan,264,75.503787879,14.373877369,99.0,2.0,18,2,8,8,13,23,40,22,59,37,34
UBCV,2015,W,PHYS,100,,103,Introductory Physics,Alexander Sheyerman;Alyson Spitzig;Andrew Robertson;Charlie Payne;Chen Ge Qu;Chengshu Li;Colby Delisle;Colby Lee Delisle;Damien Quentin;Deborah C Good;Deborah Good;Elizabeth Loggia;Evan Chen;Felix Cormier;Hyungki Shin;Meng Li;Mirko Miorelli;Nikolay Shenkov;Pascal Nigge;Pedro Luis Esquinas Fernandez;Peter Gustainis;Roja Zakariaee Kouchaksaraee;Ryan Day;Stefan Reinsberg;Wesley Cheek;Yi Liu;Ziang Yan,259,71.706563707,12.629131275,95.0,18.0,16,5,9,17,16,41,55,26,44,16,14
UBCV,2015,W,PHYS,109,,L0C,Enriched Experimental Physics,Deborah C Good;Deborah Good;Gelareh Farahi;Joss Ives,13,79.846153846,16.642546649,90.0,25.0,,,,,,,,,8,,
UBCV,2016,S,PHYS,119,,L01,Experimental Physics Lab,Deborah C Good;Deborah Good;Douglas Andrew Bonn;Hillgan Ma;Jeff Bale;Joss Ives;Peter Gustainis,24,78.29166667,17.26136467,88.0,0.0,1,0,0,0,0,1,0,4,11,7,0
UBCV,2016,S,PHYS,119,,L02,Experimental Physics Lab,Deborah C Good;Deborah Good;Douglas Andrew Bonn;Hillgan Ma;Jeff Bale;Joss Ives;Peter Gustainis,9,81.33333333,2.179449472,85.0,78.0,0,0,0,0,0,0,0,1,7,1,0
UBCV,2016,W,PHYS,109,,L0B,Enriched Experimental Physics,Deborah C Good;Deborah Good;Jennifer Moroz;Joss Ives,27,82.66666667,4.358898944,90.0,74.0,0,0,0,0,0,0,1,5,10,8,3
UBCV,2017,W,PHYS,119,,L2A,Experimental Physics Lab,Deborah C Good;Deborah Good;Douglas Andrew Bonn;Joss Ives;Sina Maloufi,25,86.56,9.037329989,97.0,68.0,0,0,0,0,0,4,0,0,6,2,13
UBCV,2017,W,PHYS,119,,L2C,Experimental Physics Lab,Deborah C Good;Deborah Good;Gaurav Somashekar Tenkila;Joss Ives;Wyatt Reeves,38,86.052631579,8.026804313,95.0,50.0,0,1,0,0,0,0,1,2,9,10,15
UBCV,2018,W,ASTR,101,,101,Introduction to the Solar System,Aaron Boley;Deborah C Good;Deborah Good;Demet Kirmizibayrak;Gary Ka Wai Tom;Gary Tom;Michelle Kunimoto;Raelyn Sullivan,84,76.261904762,15.078205006,96.0,3.0,4,1,3,3,4,8,5,20,11,11,14
UBCV,2018,W,ASTR,333,,201,Exoplanets and Astrobiology,Christa Van Laerhoven;Deborah C Good;Deborah Good;Jaymie Mark Matthews;Michelle Kunimoto,150,79.3,10.856445832,94.0,28.0,2,1,3,8,6,10,15,14,33,42,16
UBCV,2019,W,ASTR,101,,101,Introduction to the Solar System,Aaron Boley;Deborah C Good;Deborah Good;Michelle Kunimoto;Shiming Gu,126,76.301587302,14.323837386,98.0,35.0,8,4,6,4,7,8,11,18,21,15,24
UBCV,2019,W,PHYS,119,,L2A,Experimental Physics Lab,Carl Michal;Deborah C Good;Deborah Good;Duo Fu Qi,27,89.481481481,8.011387906,99.0,69.0,0,0,0,0,0,2,1,0,2,4,18
UBCV,2019,W,PHYS,119,,L2B,Experimental Physics Lab,Carl Michal;Deborah C Good;Deborah Good;Helena Marie Koniar;Ryan Karimi,30,88.666666667,5.628335537,98.0,68.0,0,0,0,0,0,1,0,0,3,10,16
