Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,ISCI,330,A,101,Topics in Integrated Sciences,Denise Gabriel,18,82.166666667,9.482181432,94.0,61.0,0,0,0,2,0,0,1,2,5,4,4,,,
UBCV,2019,W,ISCI,360,,201,Systems Approaches to Regional Sustainability,Amir Sepehry;Denise Gabriel;Tiera Naber,62,89.209677419,4.949373521,95.0,69.0,0,0,0,0,0,1,1,1,5,17,37,,,
UBCV,2020,W,ISCI,330,A,101,Topics in Integrated Sciences,Denise Gabriel,21,89.238095238,6.869532458,96.0,68.0,0,0,0,0,0,1,1,0,1,3,15,,,
UBCV,2020,W,ISCI,360,,201,Systems Approaches to Regional Sustainability,Denise Gabriel;Tiera Naber,60,90.366666667,5.297798285,97.0,67.0,0,0,0,0,1,0,0,1,6,12,40,,,
UBCV,2021,S,ISCI,361,,101,Field Course: Systems Approaches to Regional Sustainability,Denise Gabriel;Lee Groat;Steven Quane,14,90.857142857,5.051384317,96.0,82.0,0,0,0,0,0,0,0,0,4,0,10,,,
UBCV,2021,W,ISCI,330,A,101,Topics in Integrated Sciences,Denise Gabriel,25,88.96,5.175905718,95.0,76.0,0,0,0,0,0,0,0,2,2,5,16,,,
UBCV,2021,W,ISCI,360,,201,Systems Approaches to Regional Sustainability,Denise Gabriel;Mary Macquistan,69,86.855072464,7.211664086,97.0,58.0,0,0,1,0,0,3,2,2,9,25,27,,,
UBCV,2021,S,ISCI,361,,101,Field Course: Systems Approaches to Regional Sustainability,Denise Gabriel;Lee Groat;Steven Quane,14,90.9,,96.0,82.0,,,,,,,,,,,10,93.0,94.0,85.8
UBCV,2021,W,ISCI,330,A,101,Topics in Integrated Sciences,Denise Gabriel,25,89.0,,95.0,76.0,,,,,,,,,,,16,90.0,93.0,87.0
UBCV,2021,W,ISCI,360,,201,Systems Approaches to Regional Sustainability,Denise Gabriel,69,86.9,,97.0,58.0,,,,,,,,,9,25,27,88.0,91.0,85.0
UBCV,2022,S,ISCI,361,,101,Field Course: Systems Approaches to Regional Sustainability,Denise Gabriel;Steven Quane,19,89.6,,95.0,86.0,0,0,0,0,0,0,0,0,0,9,10,90.0,91.5,87.0
UBCV,2022,W,ISCI,351,,201,Why the Big Brain? The Evolution of Human Cognition,Denise Gabriel,45,86.4,,95.0,64.0,0,0,0,0,2,1,1,3,6,10,22,89.0,92.0,83.0
UBCV,2022,W,ISCI,360,,101,Systems Approaches to Regional Sustainability,Denise Gabriel,76,86.7,,98.0,70.0,0,0,0,0,0,1,2,6,20,21,26,86.0,91.3,82.8
UBCV,2022,W,ISCI,361,,201,Field Course: Systems Approaches to Regional Sustainability,Denise Gabriel;Lee Groat;Steven Quane,11,89.4,,95.0,81.0,0,0,0,0,0,0,0,0,2,4,5,89.0,93.0,87.5
UBCV,2023,S,ISCI,361,,101,Field Course: Systems Approaches to Regional Sustainability,Denise Gabriel;Lee Groat;Steven Quane,26,91.23,,97.0,80.0,0,0,0,0,0,0,0,0,1,5,20,92.0,93.0,90.0
UBCV,2023,S,ISCI,361,,102,Field Course: Systems Approaches to Regional Sustainability,Denise Gabriel,18,89.61,,96.0,78.0,0,0,0,0,0,0,0,1,1,6,10,90.5,92.75,87.0
UBCV,2023,W,ISCI,351,,201,Why the Big Brain? The Evolution of Human Cognition,Denise Gabriel,43,87.5,,96.0,57.0,0,0,1,0,0,0,1,2,5,13,20,89.0,92.0,85.0
UBCV,2023,W,ISCI,360,,001,Systems Approaches to Regional Sustainability,Denise Gabriel,60,87.22,,98.0,55.0,0,0,1,0,0,0,1,6,4,26,22,88.0,91.0,85.0
UBCV,2023,W,ISCI,361,,201,Field Course: Systems Approaches to Regional Sustainability,Denise Gabriel;Steven Quane,9,89.89,,94.0,82.0,0,0,0,0,0,0,0,0,1,2,6,91.0,93.0,87.0
UBCV,2023,W,ISCI,461,,201,Comparative Field Research Course: Systems Approaches to Regional Sustainability,Denise Gabriel;Steven Quane,6,92.33,,95.0,89.0,0,0,0,0,0,0,0,0,0,1,5,92.5,94.75,90.25
