Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2018,S,LLED,481,,951,DIG MEDIA ART ED,"Gladwin, Derek",14,90.85,3.02,94,84,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,,,
UBC,2018,W,LLED,481,,301,DIG MEDIA ART ED,"Gladwin, Derek",14,89,3.28,97,84,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,,,
UBCV,2018,S,LLED,481,,951,Digital Media in English Language Arts Education,Derek Gladwin;Ernesto Pena Alonso,13,90.846153846,3.023412913,94.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,2,10,,,
UBCV,2018,W,LLED,481,,301,Digital Media in English Language Arts Education,Derek Gladwin,14,89.0,3.281650617,97.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,6,7,,,
UBCV,2019,S,LLED,442,,952,Trends and Issues in Teaching Children's Literature,Derek Gladwin,8,92.0,2.449489743,96.0,89.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,7,,,
UBCV,2019,S,LLED,481,,951,Digital Media in English Language Arts Education,Derek Gladwin,15,90.666666667,3.477820883,96.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,9,,,
UBCV,2019,W,LLED,481,,301,Digital Media in English Language Arts Education,Derek Gladwin,25,89.32,3.508560959,95.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,13,11,,,
UBCV,2020,S,LLED,442,,951,Trends and Issues in Teaching Children's Literature,Derek Gladwin,7,91.0,2.309401077,93.0,86.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,6,,,
UBCV,2020,S,LLED,481,,951,Digital Media in English Language Arts Education,Derek Gladwin,25,91.96,3.634097779,96.0,77.0,,,,,,,,,,,0,0,0,0,0,0,0,1,0,2,22,,,
UBCV,2020,S,LLED,565,M,951,Special Course in Subject Matter Field,Derek Gladwin,6,91.5,1.048808848,93.0,90.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,,,
