Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,ASTU,100,,G02,1st Year CAP Seminar,Erin Elizabeth Goheen Goheen;Erin Goheen;Fenn Stewart;Moberley Luger,24,77.208333333,9.343582623,96.0,60.0,0,0,0,1,2,3,6,5,1,2,4,,,
UBCV,2019,W,ASTU,100,,G03,1st Year CAP Seminar,Erin Elizabeth Goheen Goheen;Erin Goheen;Fenn Stewart;Moberley Luger,26,70.307692308,12.752315024,90.0,22.0,1,1,1,1,2,7,3,6,3,0,1,,,
UBCV,2019,W,ENGL,372,,002,Canadian Literature,Deena Rymhs;Erin Goheen;Fenn Stewart,45,75.822222222,14.471427788,93.0,10.0,2,1,0,1,1,5,7,9,7,7,5,,,
UBCV,2020,S,ENGL,110,,JL4,Approaches to Literature,Erin Goheen,40,76.375,6.705097563,89.0,60.0,0,0,0,1,2,8,7,7,11,4,0,,,
UBCV,2020,W,ASTU,100,,G01,1st Year CAP Seminar,Erin Goheen;Kirby Mania;Love Mbakadi;Sophia Lee,21,74.571428571,9.856832293,90.0,50.0,0,2,0,0,2,1,5,6,2,2,1,,,
UBCV,2020,W,ASTU,100,,G02,1st Year CAP Seminar,Erin Goheen;Moberley Luger;Sophia Lee,24,72.875,18.171436018,87.0,3.0,2,0,0,1,0,3,4,4,5,5,0,,,
UBCV,2020,W,ASTU,100,,G03,1st Year CAP Seminar,Erin Goheen;Moberley Luger;Sophia Lee,22,71.409090909,12.250011043,94.0,47.0,1,1,2,2,0,5,2,2,4,1,2,,,
UBCV,2020,W,ASTU,100,,G04,1st Year CAP Seminar,Colleen Derkatch;Erin Goheen;Love Mbakadi;Sophia Lee,21,76.666666667,5.859465277,91.0,65.0,0,0,0,0,2,2,3,9,4,0,1,,,
UBCV,2020,W,ENGL,379,,002,"Migrations, Movements, and Transnational Networks in Literary and Cultural Production",Erin Goheen,25,77.92,14.648435639,93.0,16.0,1,0,1,0,0,1,2,5,9,4,2,,,
UBCV,2021,W,ASTU,100,,G01,1st Year CAP Seminar,Erin Goheen,24,67.125,23.073252913,90.0,0.0,4,0,0,0,0,5,6,5,1,2,1,,,
UBCV,2021,W,ASTU,100,,G03,1st Year CAP Seminar,Erin Goheen;Moberley Luger,13,76.538461538,5.516873883,90.0,70.0,0,0,0,0,0,1,6,3,2,0,1,,,
UBCV,2021,W,ASTU,100,,G04,1st Year CAP Seminar,Erin Goheen;Moberley Luger,17,69.411764706,18.166104507,88.0,26.0,3,0,1,1,0,0,3,3,4,2,0,,,
UBCV,2021,W,ASTU,101,,P04,Writing for Research in the Social Sciences and the Humanities,Erin Goheen;Evan Mauro;Michael Schandorf,14,67.285714286,20.889557831,90.0,10.0,2,0,0,2,0,2,2,3,2,0,1,,,
UBCV,2021,W,ASTU,100,,G01,1st Year CAP Seminar,Erin Goheen,23,70.0,,90.0,0.0,,,,,,,6,,,,,74.0,78.5,69.5
UBCV,2021,W,ASTU,100,,G03,1st Year CAP Seminar,Erin Goheen,13,76.5,,90.0,70.0,,,,,,,6,,,,,75.0,79.0,72.0
UBCV,2021,W,ASTU,100,,G04,1st Year CAP Seminar,Erin Goheen,17,69.4,,88.0,26.0,,,,,,,,,,,,76.0,81.0,61.0
UBCV,2021,W,ASTU,101,,P04,Writing for Research in the Social Sciences and the Humanities,Erin Goheen,14,67.3,,90.0,10.0,,,,,,,,,,,,75.0,78.0,62.3
UBCV,2022,W,ASTU,100,,G02,1st Year CAP Seminar,Erin Goheen,18,69.8,,90.0,0.0,1,1,1,1,0,3,2,3,4,1,1,76.0,80.0,68.5
UBCV,2022,W,ASTU,100,,G03,1st Year CAP Seminar,Erin Goheen,24,78.9,,90.0,46.0,1,0,0,0,1,2,2,1,11,5,1,81.0,84.3,77.3
UBCV,2022,W,ASTU,100,,G04,1st Year CAP Seminar,Erin Goheen,16,71.4,,92.0,15.0,2,0,0,0,1,4,1,1,4,2,1,75.5,82.5,70.0
UBCV,2022,W,ASTU,101,,P03,Writing for Research in the Social Sciences and the Humanities,Erin Goheen,24,68.6,,90.0,0.0,3,0,1,0,2,4,3,3,6,1,1,74.0,80.0,67.3
