Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,NURS,410,M,99K,EXPL AVE NURS PR,"Goldstone, Irene Lynn;Oliffe, John",15,85.4,4.29,93,77,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,1
UBC,2003,W,NURS,410,M,99A,EXPL AVE NURS PR,"Goldstone, Irene Lynn",8,87.63,1.92,90,85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
UBC,2003,W,NURS,410,M,99K,EXPL AVE NURS PR,"Goldstone, Irene Lynn",17,86.63,3.22,91,78,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,3
UBC,2003,W,NURS,410,N,99A,EXPL AVE NURS PR,"Goldstone, Irene Lynn",5,86,3.08,89,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
UBC,2005,W,NURS,410,M,99A,EXPL AVE NURS PR,"Goldstone, Irene Lynn",19,85.78,5.25,92,70,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7,6
UBC,2005,W,NURS,410,M,99C,EXPL AVE NURS PR,"Goldstone, Irene Lynn",20,85,5.74,94,72,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,8,5
UBC,2006,W,NURS,410,M,99A,EXPL AVE NURS PR,"Goldstone, Irene Lynn",20,83.37,3.99,90,76,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,3
UBC,2006,W,NURS,410,M,99C,EXPL AVE NURS PR,"Goldstone, Irene Lynn",22,84.48,4.29,91,76,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,3
UBC,2007,W,NURS,410,M,99A,EXPL AVE NURS PR,"Goldstone, Irene Lynn",21,84.62,3.51,92,79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,1
UBC,2007,W,NURS,410,M,99C,EXPL AVE NURS PR,"Goldstone, Irene Lynn",19,84.5,4.93,91,72,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,8,3
UBC,2009,S,IHHS,402,,921,HIVAIDS PRE CR,"Goldstone, Irene Lynn",34,93.18,1.7,95,88,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
UBC,2009,W,NURS,443,,99A,HIV/AIDS PR&CARE,"Goldstone, Irene Lynn;Phillips, Craig",24,84.39,5.2,94,75,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,5,5
UBC,2009,W,NURS,443,,99C,HIV/AIDS PR&CARE,"Goldstone, Irene Lynn",8,79.13,3.94,85,74,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0
UBC,2010,S,IHHS,402,,921,HIVAIDS PRE CR,"Goldstone, Irene Lynn",34,92.14,2.81,98,85,28,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24
