Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,WRDS,150,A,121,Writing and Research in the Disciplines,Diane Burgess;Isabel Garcia,28,74.642857143,11.099597209,93.0,54.0,0,1,3,3,1,1,2,6,7,2,2
UBCV,2020,W,WRDS,150,A,133,Writing and Research in the Disciplines,Diane Burgess;Isabel Garcia,30,74.933333333,13.675886993,89.0,14.0,1,0,0,1,2,6,3,5,6,6,0
UBCV,2020,W,WRDS,150,A,152,Writing and Research in the Disciplines,Diane Burgess;Isabel Garcia,28,71.035714286,14.793597571,85.0,8.0,1,0,2,2,3,2,5,4,8,1,0
UBCV,2020,W,WRDS,150,A,323,Writing and Research in the Disciplines,Diane Burgess;Isabel Garcia,28,76.035714286,10.246886222,90.0,45.0,1,0,0,2,2,3,4,4,5,6,1
UBCV,2020,W,WRDS,150,A,342,Writing and Research in the Disciplines,Diane Burgess;Isabel Garcia,24,75.458333333,11.492830153,94.0,53.0,0,1,1,2,2,3,2,3,3,4,3
UBCV,2020,W,WRDS,150,A,351,Writing and Research in the Disciplines,Diane Burgess;Isabel Garcia,27,71.444444444,9.818872461,93.0,52.0,0,2,1,2,4,6,3,3,5,0,1
UBCV,2021,W,WRDS,150,B,614,Writing and Research in the Disciplines,Isabel Garcia;Rohan Karpe,26,84.0,6.615134163,93.0,59.0,0,0,1,0,0,0,1,1,10,8,5
UBCV,2021,W,WRDS,150,B,635,Writing and Research in the Disciplines,Isabel Garcia;Rohan Karpe,30,79.1,9.685930073,90.0,48.0,1,1,0,0,0,1,5,6,7,6,3
UBCV,2021,W,WRDS,150,B,653,Writing and Research in the Disciplines,Isabel Garcia;Rohan Karpe,28,81.678571429,4.172694053,89.0,74.0,0,0,0,0,0,0,2,6,14,6,0
UBCV,2021,W,WRDS,150,B,701,Writing and Research in the Disciplines,Isabel Garcia;Rohan Karpe,30,70.333333333,12.690842023,86.0,33.0,3,0,2,0,1,4,8,8,3,1,0
