Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2013,W,POLI,100,,228,INTRO TO POLITIC,"Gagnon, Jennifer",86,77,8.71,94,47,85,1,0,0,0,0,0,0,0,1,1,0,1,3,10,8,13,14,22,13,1,,,
UBC,2013,W,POLI,345,,001,,"Gagnon, Jennifer",51,74.35,9.27,90,33,50,1,0,0,0,0,0,0,1,0,1,1,0,1,3,8,8,13,13,2,1,,,
UBC,2013,W,POLI,345,,002,,"Gagnon, Jennifer",51,73.96,15.25,88,0,46,2,2,0,1,1,0,1,0,0,2,1,0,1,3,7,5,11,10,8,0,,,
UBC,2013,W,POLI,367,B,001,INT REL TH&IN SY,"Gagnon, Jennifer",49,76.4,5.17,87,61,47,0,2,0,0,0,0,0,0,0,0,0,0,1,1,6,9,15,11,4,0,,,
UBC,2013,W,POLI,449,A,001,TPCS POLI THEORY,"Gagnon, Jennifer",12,74.82,9.1,85,56,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,3,1,0,,,
UBC,2014,W,POLI,100,,001,INTRO TO POLITIC,"Gagnon, Jennifer",136,74.56,8.44,88,29,130,3,3,0,0,0,0,1,0,2,3,1,1,5,6,15,35,33,23,11,0,,,
UBC,2014,W,POLI,260,,004,INTRO GLOBAL POL,"Gagnon, Jennifer",126,74.46,9.24,90,22,120,3,3,0,0,0,0,2,0,1,3,0,3,3,2,15,31,34,28,3,1,,,
UBC,2014,W,POLI,345,,002,,"Gagnon, Jennifer",63,74.87,9.13,86,21,60,1,1,0,0,0,0,1,0,0,1,0,3,0,1,4,15,20,15,2,0,,,
UBC,2014,W,POLI,367,B,001,INT REL TH&IN SY,"Gagnon, Jennifer",61,73.41,6.46,85,52,59,0,1,1,0,0,0,0,0,0,0,2,0,3,3,8,14,20,8,1,0,,,
UBC,2015,S,POLI,367,A,921,INT REL TH&IN SY,"Gagnon, Jennifer",58,74.77,9.19,92,33,56,1,1,0,0,0,0,0,1,0,1,1,0,3,3,3,13,14,14,4,1,,,
UBC,2015,W,POLI,100,,004,INTRO TO POLITIC,"Gagnon, Jennifer",147,77.33,7.58,90,35,138,1,7,0,1,0,0,0,1,0,1,0,2,3,6,7,18,34,48,18,2,,,
UBC,2015,W,POLI,344,A,001,SOC&POLI THOUGHT,"Gagnon, Jennifer",45,75.27,6.9,88,55,45,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,6,21,4,5,0,,,
UBC,2015,W,POLI,345,,001,,"Gagnon, Jennifer",69,76.72,5.73,88,55,67,0,2,0,0,0,0,0,0,0,0,0,1,1,0,9,10,21,19,6,0,,,
UBC,2015,W,POLI,367,B,002,INT REL TH&IN SY,"Gagnon, Jennifer",59,75.68,6.01,88,62,56,0,2,0,0,0,0,0,0,0,0,0,0,1,1,10,12,16,10,6,0,,,
UBC,2016,S,POLI,240,,921,CUR POLI THOUGHT,"Gagnon, Jennifer",29,77.21,4.88,87,63,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,12,5,3,0,,,
