Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,FMST,210,,104,Family Context of Human Development,Kathleen Greaves;Maria Weatherby;Sydney Edwards;Zahra Barani,168,82.279761905,9.453273422,95.0,22.0,1,1,3,4,3,7,7,19,36,61,26,,,
UBCV,2019,W,FMST,210,,105,Family Context of Human Development,Kathleen Greaves;Maria Weatherby;Zahra Barani,71,82.957746479,8.472538192,98.0,48.0,1,0,1,1,0,1,7,7,12,30,11,,,
UBCV,2019,W,FMST,210,,207,Family Context of Human Development,Kathleen Greaves;Maria Weatherby;Richard Yuen;Shucheng Yang,175,81.382857143,10.464320488,96.0,27.0,3,0,3,4,7,6,10,21,39,52,30,,,
UBCV,2019,W,FMST,210,,208,Family Context of Human Development,Kathleen Greaves;Maria Weatherby,54,80.740740741,9.564449082,94.0,55.0,0,0,3,1,1,2,6,8,9,13,11,,,
UBCV,2019,W,FMST,312,,102,Parent-child Relationships,Kathleen Greaves;Maria Weatherby;Zihan Guo,65,83.184615385,10.407167464,97.0,47.0,2,0,1,1,1,2,5,2,12,21,18,,,
UBCV,2019,W,FMST,312,,201,Parent-child Relationships,Amarpreet Grewal;James M White;Kathleen Greaves,77,79.766233766,8.107657368,92.0,54.0,0,1,2,0,3,6,8,9,23,21,4,,,
UBCV,2020,S,FMST,210,,801,Family Context of Human Development,Ella Kim-Marriott;Kathleen Greaves;Merve Umay Kader;Robyn Pitman;Zahra Barani,134,83.432835821,13.293928605,97.0,12.0,5,1,1,0,1,5,4,7,27,44,39,,,
UBCV,2020,S,FMST,312,,801,Parent-child Relationships,Anisha Kaur Sangha;Anisha Sangha;Kathleen Greaves;Rachel Treloar;Siqi Qin,112,84.991071429,5.752391646,94.0,66.0,0,0,0,0,2,3,3,6,27,49,22,,,
UBCV,2020,S,FMST,312,,901,Parent-child Relationships,Chaoyi Shi;Kathleen Greaves;Maria Weatherby;Monorme Chaudhury;Taylor Amrit Kaur Khatkar;Taylor Khatkar;Xingshu Liu,63,83.682539683,7.068388046,94.0,61.0,0,0,0,2,1,0,6,5,14,22,13,,,
UBCV,2020,S,FMST,312,,902,Parent-child Relationships,Chaoyi Shi;Kathleen Greaves;Monorme Chaudhury;Taylor Amrit Kaur Khatkar;Taylor Khatkar;Xingshu Liu,60,77.766666667,16.440304615,92.0,0.0,3,0,1,1,3,2,6,4,21,13,6,,,
UBCV,2020,W,FMST,210,,101,Family Context of Human Development,Elizabeth Jackson;Kathleen Greaves;Robyn Pitman;Yifan Chen,137,79.934306569,12.576942242,96.0,0.0,3,4,1,2,2,5,18,13,32,42,15,,,
UBCV,2020,W,FMST,210,,103,Family Context of Human Development,Anisha Kaur Sangha;Anisha Sangha;Anne Martin-Matthews;Areej Fatima;Brett Matsushita;Colter Jay Uscola;Colter Uscola;Kathleen Greaves;Lloyd Jin;Maya Haimsohn;Melinda Trinh;Sean Lauer,336,85.273809524,6.194077461,96.0,60.0,0,0,0,3,3,8,15,25,54,145,83,,,
UBCV,2020,W,FMST,210,,202,Family Context of Human Development,Anisha Sangha;Caroline Sanner;Cherie Tay;Kathleen Greaves;Lloyd Jin;Xingshu Liu,157,83.140127389,9.607327998,96.0,27.0,2,1,2,1,5,2,7,7,40,69,21,,,
UBCV,2020,W,FMST,312,,101,Parent-child Relationships,Ella Kim-Marriott;Kathleen Greaves,72,84.5,5.347106628,92.0,70.0,0,0,0,0,0,2,5,6,13,36,10,,,
UBCV,2020,W,FMST,312,,201,Parent-child Relationships,Kathleen Greaves;Sherry Sandhu,55,84.927272727,5.184930249,94.0,69.0,0,0,0,0,0,3,1,2,14,29,6,,,
UBCV,2020,W,FMST,316,,203,Human Sexuality,Ella Kim-Marriott;Kathleen Greaves,61,82.213114754,8.372802705,92.0,52.0,0,1,2,0,0,2,3,10,12,23,8,,,
UBCV,2021,S,FMST,210,,801,Family Context of Human Development,Julia Goldman-Hasbun;Kathleen Greaves;Xingshu Liu,138,81.557971014,12.098149775,95.0,1.0,3,1,2,3,3,6,8,11,29,44,28,,,
UBCV,2021,S,FMST,312,,801,Parent-child Relationships,Kathleen Greaves;Merve Umay Kader;Yijia Zhang,99,84.676767677,11.068274466,96.0,10.0,1,1,0,1,1,6,3,6,14,35,31,,,
UBCV,2021,S,FMST,312,,901,Parent-child Relationships,Brett Matsushita;Donna Lester-Smith;Julia Goldman-Hasbun;Kathleen Greaves;Robyn Pitman,72,82.763888889,7.406683422,94.0,55.0,0,0,1,2,1,0,3,11,22,23,9,,,
UBCV,2021,W,FMST,210,,103,Family Context of Human Development,Colter Uscola;Jamie Bradley;Kathleen Greaves;Manlin Cai;Natalie Nicole Perel;Nika Perel;Shucheng Yang;Xiaoyi Liu,344,81.773255814,9.383676969,95.0,19.0,5,4,4,5,5,11,18,45,83,119,45,,,
UBCV,2021,W,FMST,210,,201,Family Context of Human Development,Emma Nesbitt;Kathleen Greaves;Manlin Cai,129,78.503875969,12.633737095,93.0,24.0,6,0,2,3,4,12,13,16,22,37,14,,,
UBCV,2021,W,FMST,312,,201,Parent-child Relationships,Jiaxin Gu;Kathleen Greaves;Rafael Wainer,71,80.971830986,11.786156324,92.0,35.0,2,1,4,0,1,4,5,4,9,30,11,,,
UBCV,2021,W,FMST,316,,101,Human Sexuality,Hazel Hollingdale;Kathleen Greaves;Mary Jessome;Silvia Bartolic;Victoria Barclay,76,81.736842105,8.660051456,93.0,58.0,0,0,2,3,2,2,4,11,17,22,13,,,
UBCV,2021,W,FMST,316,,203,Human Sexuality,Harjot Kular;Kathleen Greaves;Mary Jessome;Pengcheng Fang,87,81.482758621,9.257130588,93.0,41.0,1,1,0,3,3,2,6,11,21,27,12,,,
UBCV,2021,S,FMST,210,,801,Family Context of Human Development,Kathleen Greaves,138,81.6,,95.0,1.0,,,,,,6,8,11,29,44,28,85.0,89.0,78.0
UBCV,2021,S,FMST,312,,801,Parent-child Relationships,Kathleen Greaves,99,84.7,,96.0,10.0,,,,,,6,,6,14,35,31,88.0,91.0,82.0
UBCV,2021,W,FMST,210,,103,Family Context of Human Development,Kathleen Greaves,345,81.8,,95.0,19.0,,,,,,11,18,45,83,120,45,84.0,88.0,79.0
UBCV,2021,W,FMST,210,,201,Family Context of Human Development,Kathleen Greaves,129,78.6,,93.0,24.0,,,,,,12,13,16,22,37,14,82.0,87.0,73.0
UBCV,2021,W,FMST,312,,201,Parent-child Relationships,Kathleen Greaves,71,81.0,,92.0,35.0,,,,,,,,,9,30,11,86.0,88.5,76.5
UBCV,2021,W,FMST,316,,101,Human Sexuality,Kathleen Greaves,76,81.7,,93.0,58.0,,,,,,,,11,17,22,13,84.0,89.0,78.0
UBCV,2021,W,FMST,316,,203,Human Sexuality,Kathleen Greaves,87,81.5,,93.0,41.0,,,,,,,6,11,21,27,12,83.0,88.0,78.0
UBCV,2022,S,FMST,210,,801,Family Context of Human Development,Kathleen Greaves,94,84.5,,93.0,61.0,0,0,0,2,2,0,4,2,29,41,14,85.0,88.0,83.0
UBCV,2022,S,FMST,312,,801,Parent-child Relationships,Kathleen Greaves,59,85.2,,96.0,53.0,0,1,0,0,1,3,2,2,12,21,17,88.0,90.0,83.0
UBCV,2022,W,FMST,210,,103,Family Context of Human Development,Kathleen Greaves,361,83.4,,94.0,20.0,2,3,2,3,5,8,19,37,79,146,57,85.0,89.0,80.0
UBCV,2022,W,FMST,210,,202,Family Context of Human Development,Kathleen Greaves,429,81.5,,94.0,1.0,3,4,5,11,8,21,28,51,96,133,69,84.0,88.0,78.0
UBCV,2022,W,FMST,316,,101,Human Sexuality,Kathleen Greaves,90,82.5,,95.0,29.0,1,0,1,0,2,3,5,9,25,35,9,84.0,87.0,81.0
UBCV,2022,W,FMST,316,,103,Human Sexuality,Kathleen Greaves,81,83.3,,94.0,52.0,0,1,0,1,1,2,4,10,15,33,14,85.0,87.0,80.0
UBCV,2022,W,FMST,316,,202,Human Sexuality,Kathleen Greaves,86,82.7,,94.0,61.0,0,0,0,2,2,5,4,10,20,30,13,84.5,88.0,79.0
UBCV,2023,S,FMST,210,,901,Family Context of Human Development,Kathleen Greaves,107,83.01,,94.0,30.0,1,1,2,3,1,3,7,7,18,35,28,86.0,90.0,80.0
UBCV,2023,S,FMST,316,,901,Human Sexuality,Kathleen Greaves,56,82.56,,92.0,35.0,1,0,0,0,2,2,2,6,13,19,9,85.0,88.75,80.25
UBCV,2023,W,FMST,210,,103,Family Context of Human Development,Kathleen Greaves,378,83.14,,95.0,24.0,3,0,2,3,5,11,34,35,90,114,79,85.0,89.0,80.0
UBCV,2023,W,FMST,210,,202,Family Context of Human Development,Kathleen Greaves,383,83.79,,97.0,21.0,2,2,0,8,4,5,25,31,87,133,84,85.0,89.0,81.0
UBCV,2023,W,FMST,316,,101,Human Sexuality,Kathleen Greaves,94,83.33,,95.0,62.0,0,0,0,1,1,1,7,9,31,32,11,84.0,87.0,80.0
UBCV,2023,W,FMST,316,,202,Human Sexuality,Kathleen Greaves,78,82.36,,94.0,9.0,1,0,1,0,2,1,6,9,20,23,15,84.0,88.0,79.25
