Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2016,W,LLED,351,,105,LTR PRC&AST ELEM,"George, Nicole",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2016,W,LLED,372,,301,TCH FR LNG&LIT S,"George, Nicole",13,,,,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2017,W,EDUC,450,B,320,INQUIRY SEMNR 1,"George, Nicole",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2017,W,LLED,350,,105,CLSRM DISCRS ELM,"George, Nicole",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2017,W,LLED,351,,105,LTR PRC&AST ELEM,"George, Nicole",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2017,W,LLED,372,,301,TCH FR LNG&LIT S,"George, Nicole",22,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2018,S,LLED,361,,924,LIT PRC&ASMT SEC,"George, Nicole",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2018,W,EDUC,440,,105,ABRG EDUC CANADA,"George, Nicole",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2018,W,EDUC,450,B,320,INQUIRY SEMNR 1,"George, Nicole",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2018,W,LLED,350,,105,CLSRM DISCRS ELM,"George, Nicole",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2018,W,LLED,351,,105,LTR PRC&AST ELEM,"George, Nicole",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2018,W,LLED,372,,301,TCH FR LNG&LIT S,"George, Nicole",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBCV,2017,W,LLED,423,,301,Teaching French Adolescent Literature: Secondary,Carl Ruest;Carole Bertho-Woolliams;Nicole George,15,87.133333333,3.700707783,93.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,9,4,,,
UBCV,2022,S,LLED,513,,96A,Indigenous Storytelling in Education,Nicole George,13,83.4,,93.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,2,6,4,1,83.0,85.0,81.0
UBCV,2023,S,LLED,513,,96A,Indigenous Storytelling in Education,Nicole George,17,86.8,,90.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,12,4,86.0,86.0,86.0
UBCV,2023,W,LLED,513,,62A,Indigenous Storytelling in Education,Nicole George,22,88.0,,93.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,13,6,87.0,90.0,86.0
UBCV,2023,W,LLED,513,,62B,Indigenous Storytelling in Education,Nicole George,19,88.9,,95.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,13,6,89.0,90.5,87.0
