Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2017,W,LAW,261,,002,Transnational Law,Sara Ghebremusse,49,74.306122449,5.485602677,89.0,61.0,0,0,0,2,5,5,18,13,5,1,0,,,
UBCV,2017,W,LAW,281,,003,Legal Research and Writing,Sara Ghebremusse,48,74.291666667,4.135771987,85.0,65.0,0,0,0,0,3,10,17,13,4,1,0,,,
UBCV,2018,W,LAW,281,,003,Legal Research and Writing,Sara Ghebremusse,48,74.979166667,5.012705488,84.0,59.0,0,0,1,0,1,9,15,12,10,0,0,,,
UBCV,2019,W,LAW,261,,001,Transnational Law,Sara Ghebremusse,49,74.244897959,5.36784645,87.0,65.0,0,0,0,0,6,6,19,11,4,3,0,,,
UBCV,2019,W,LAW,324,D,001,Topics in International Law and Transactions,Sara Ghebremusse,18,79.111111111,2.219933462,85.0,76.0,0,0,0,0,0,0,0,9,8,1,0,,,
UBCV,2020,W,LAW,200,,004,Indigenous Settler Legal Relations,Sara Ghebremusse,42,74.952380952,2.887757007,81.0,67.0,0,0,0,0,1,3,23,12,3,0,0,,,
UBCV,2020,W,LAW,324,D,001,Topics in International Law and Transactions,Sara Ghebremusse,9,80.333333333,2.692582404,85.0,78.0,0,0,0,0,0,0,0,6,1,2,0,,,
UBCV,2021,W,LAW,261,,003,Transnational Law,Sara Ghebremusse,43,74.906976744,6.182979531,87.0,63.0,0,0,0,2,2,7,18,5,5,4,0,,,
UBCV,2021,W,LAW,324,D,001,Topics in International Law and Transactions,Sara Ghebremusse,14,78.785714286,1.717716348,81.0,76.0,0,0,0,0,0,0,0,8,6,0,0,,,
UBCV,2022,W,LAW,200,,002,Indigenous Settler Legal Relations,Sara Ghebremusse,50,74.5,,83.0,67.0,0,0,0,0,2,7,25,11,5,0,0,74.0,76.0,73.0
UBCV,2022,W,LAW,261,,003,Transnational Law,Sara Ghebremusse,46,75.0,,85.0,58.0,0,0,1,0,6,6,10,13,9,1,0,75.5,79.0,71.0
UBCV,2022,W,LAW,324,D,001,Topics in International Law and Transactions,Sara Ghebremusse,12,80.0,,89.0,72.0,0,0,0,0,0,0,2,3,5,2,0,80.0,82.0,77.8
