Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2017,W,ENGL,112,,017,Studies in Composition,Spela Grasic,35,68.714285714,11.617865119,85.0,39.0,2,2,4,3,5,2,6,6,2,3,0
UBCO,2017,W,ENGL,112,,019,Studies in Composition,Spela Grasic,34,67.941176471,21.122931925,85.0,0.0,4,0,1,0,3,4,6,8,6,2,0
UBCO,2017,W,ENGL,112,,118,Studies in Composition,Spela Grasic,34,71.764705882,9.322695746,87.0,51.0,0,1,1,4,6,7,2,4,6,3,0
UBCO,2017,W,ENGL,112,,119,Studies in Composition,Spela Grasic,33,61.848484848,15.486125266,87.0,20.0,4,3,8,1,4,3,5,2,1,2,0
UBCO,2017,W,ENGL,112,,121,Studies in Composition,Spela Grasic,26,64.346153846,10.26037936,90.0,44.0,1,3,4,4,3,5,4,0,1,0,1
UBCO,2018,W,APSC,176,,101,Engineering Communication,Jannik Eikenaar;Spela Grasic,32,65.90625,11.640749823,94.0,35.0,3,1,4,6,2,7,3,3,2,0,1
UBCO,2018,W,APSC,176,,103,Engineering Communication,Carolyn Labun;Jannik Eikenaar;Spela Grasic,33,67.454545455,10.353414018,85.0,45.0,3,1,2,4,4,5,6,5,2,1,0
UBCO,2018,W,APSC,176,,107,Engineering Communication,Catherine Shaw;Laura Patterson;Spela Grasic,32,67.0625,14.56894067,92.0,10.0,1,2,6,4,2,3,5,5,3,0,1
UBCO,2018,W,DATA,552,,001,Communication and Argumentation,Jessica Lowry;Spela Grasic,28,83.392857143,8.341503931,100.0,69.0,0,0,0,0,0,2,2,6,6,5,7
UBCO,2018,W,ENGL,112,,106,Studies in Composition,Spela Grasic,35,69.085714286,17.664140192,97.0,22.0,5,3,1,4,4,1,0,4,5,4,4
UBCO,2018,W,ENGL,112,,112,Studies in Composition,Spela Grasic,33,65.424242424,14.964604704,87.0,2.0,3,1,4,2,5,6,6,3,2,1,0
UBCO,2019,W,APSC,176,,101,Engineering Communication,Jannik Eikenaar;Laura Patterson;Spela Grasic,34,69.294117647,11.836075854,89.0,29.0,1,1,4,3,5,5,5,4,3,3,0
UBCO,2019,W,APSC,176,,103,Engineering Communication,Laura Patterson;Spela Grasic,30,71.2,8.405252873,95.0,55.0,0,0,1,3,5,10,4,0,6,0,1
UBCO,2019,W,APSC,176,,107,Engineering Communication,Jannik Eikenaar;Natalie Forssman;Spela Grasic,30,62.3,15.50116792,85.0,25.0,6,4,0,3,3,5,4,2,1,2,0
UBCO,2019,W,ENGL,112,,004,Studies in Composition,Spela Grasic,30,71.366666667,15.814622944,86.0,0.0,2,0,0,3,1,3,8,6,6,1,0
UBCO,2019,W,ENGL,112,,009,Studies in Composition,Spela Grasic,29,69.379310345,20.206812488,97.0,0.0,5,3,1,0,0,5,1,2,5,5,2
UBCO,2019,W,ENGL,112,,011,Studies in Composition,Spela Grasic,29,72.068965517,12.325731026,90.0,45.0,2,1,2,1,4,2,5,2,5,4,1
UBCO,2019,W,ENGL,112,,110,Studies in Composition,Heather Magusin;Spela Grasic,29,71.103448276,16.058697749,88.0,13.0,1,3,3,1,1,3,5,1,6,5,0
UBCO,2019,W,ENGL,112,,113,Studies in Composition,Heather Magusin;Spela Grasic,30,69.466666667,16.372250142,94.0,2.0,1,1,3,3,4,4,2,4,4,3,1
UBCO,2019,W,ENGL,112,,117,Studies in Composition,Heather Magusin;Spela Grasic,28,69.607142857,13.793018324,89.0,38.0,1,4,3,1,3,2,1,6,3,4,0
UBCV,2018,S,APSC,176,,VE2,Engineering Communication,Spela Grasic,28,60.642857143,12.579272445,83.0,27.0,7,0,4,4,4,5,2,0,2,0,0
