Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,CRWR,509,,003,ADV SHORT FICTN,"Gartner, Zsu Zsi",7,91.86,5.98,98,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
UBC,2005,W,CRWR,516,,004,RES&WRT FTR&INVG,"Gartner, Zsu Zsi",8,89.57,6.7,98,82,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
UBC,2006,W,CRWR,509,,003,ADV SHORT FICTN,"Gartner, Zsu Zsi",12,90.58,7.61,98,75,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,6
UBC,2007,W,CRWR,509,,D01,ADV SHORT FICTN,"Gartner, Zsu Zsi",6,92.83,2.79,96,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
UBC,2007,W,CRWR,549,,D01,THESIS,"Gartner, Zsu Zsi",4,95.75,2.5,97,92,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UBC,2009,W,CRWR,509,,D02,ADV SHORT FICTN,"Gartner, Zsu Zsi",4,92,4.24,97,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2009,W,CRWR,549,,D01,THESIS,"Gartner, Zsu Zsi",4,95.5,1.73,98,94,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UBC,2011,S,CRWR,539,K,D03,ADV PROJCTS CRWR,"Gartner, Zsu Zsi",7,87.71,5.56,96,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
UBC,2011,W,CRWR,549,,D01,THESIS,"Gartner, Zsu Zsi",7,93.71,2.81,97,89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
UBC,2012,W,CRWR,599,,D11,THESIS,"Gartner, Zsu Zsi",5,92.8,1.48,95,91,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
