Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,COMM,362,,203,BUYER BEHAVR,"Griffin, Dale",36,80.06,5.03,89,64,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10,17,5,0
UBC,2003,W,COMM,362,,204,BUYER BEHAVR,"Griffin, Dale",33,76.27,7.78,88,53,33,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,4,8,11,2,0
UBC,2003,W,COMM,525,,001,INT ORG RES MTHD,"Griffin, Dale",9,86.56,5.34,96,79,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2
UBC,2006,W,BAMA,506,,001,CONSUMER BEHAV,"Griffin, Dale",38,84.34,3.91,90,76,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,24,1
UBC,2007,W,BAMA,506,,001,CONSUMER BEHAV,"Griffin, Dale",39,86.54,2.26,92,83,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,4
UBC,2009,S,PETE,508,A,951,REVW RES KIN LRN,"Butler, Joy;Griffin, Linda;Hopper, Timothy",5,87,2.74,89,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
UBC,2009,S,PETE,508,A,96A,REVW RES KIN LRN,"Butler, Joy;Griffin, Linda;Hopper, Timothy",24,84.13,1.12,89,82,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
UBC,2009,W,BABS,550,,ECM,APP STAT MGMT,"Griffin, Dale",55,82.73,9.61,92,23,54,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,5,15,24,5
UBC,2009,W,BAMA,506,,001,CONSUMER BEHAV,"Griffin, Dale",50,84.92,2.78,90,79,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,26,2
UBC,2009,W,BAMA,508,,001,MRKT RESEARCH,"Griffin, Dale",32,86.28,2.68,91,80,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,4
UBC,2009,W,BAMA,508,,302,MRKT RESEARCH,"Griffin, Dale",41,86.7,3.01,93,74,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,28,5
UBC,2009,W,BAMA,508,,ECM,MRKT RESEARCH,"Griffin, Dale",53,85.81,2.62,90,80,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,4
UBC,2009,W,COMM,662,,001,BUYER BEHAVIOUR,"Dahl, Darren;Griffin, Dale",9,84,2.96,87,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0
UBC,2010,W,BAMA,506,,001,CONSUMER BEHAV,"Griffin, Dale",41,86.46,2.11,91,82,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,2
UBC,2010,W,BAMA,508,,001,MRKT RESEARCH,"Griffin, Dale",31,84.73,3.39,91,72,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,16,3
UBC,2010,W,BAMA,508,,302,MRKT RESEARCH,"Griffin, Dale",28,86.18,1.54,89,83,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0
UBC,2010,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",33,73.1,16.42,92,22,28,3,2,0,0,0,0,2,0,1,3,0,1,0,1,4,4,7,3,7,1
UBC,2010,W,PHIL,211,A,001,GREEK PHIL I,"Griffin, Michael",30,78.56,8.22,93,53,25,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,3,3,9,5,1
UBC,2010,W,PHIL,310,A,001,PHILOSOPHY PLATO,"Griffin, Michael",72,78.36,8.64,92,50,66,0,6,0,0,0,0,0,0,0,0,2,0,1,4,3,11,7,17,16,5
UBC,2011,W,BAMA,506,,001,CONSUMER BEHAV,"Griffin, Dale",30,87.7,2.68,93,83,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,7
UBC,2011,W,BAMA,508,,001,MRKT RESEARCH,"Griffin, Dale",25,84.8,2.16,88,78,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,14,0
UBC,2011,W,BAMA,508,,302,MRKT RESEARCH,"Griffin, Dale",20,86.15,4.83,92,73,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,11,4
UBC,2011,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",35,82.06,10.06,91,32,34,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,5,9,13,4
UBC,2011,W,PHIL,211,A,001,GREEK PHIL I,"Griffin, Michael",36,79.26,12.29,90,29,34,1,1,0,0,0,0,1,0,0,1,0,2,0,2,0,2,4,9,12,3
UBC,2011,W,PHIL,310,A,001,PHILOSOPHY PLATO,"Griffin, Michael",77,80.53,11.56,93,15,73,2,1,0,0,0,1,0,1,0,2,0,1,1,1,0,9,6,18,31,6
UBC,2012,W,BAMA,506,,001,CONSUMER BEHAV,"Griffin, Dale",34,84.97,4.27,97,74,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,13,5
UBC,2012,W,BAMA,508,,001,MRKT RESEARCH,"Griffin, Dale",29,83.97,2.98,89,78,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,12,0
UBC,2012,W,BAMA,508,,002,MRKT RESEARCH,"Griffin, Dale",27,82.67,2.09,87,80,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0
UBC,2012,W,BAMA,508,,302,MRKT RESEARCH,"Griffin, Dale",30,83.9,2.22,88,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0
UBC,2012,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",35,79.74,8.51,92,50,35,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,8,10,7,4
UBC,2012,W,CLST,212,,001,GREEK PHIL II,"Griffin, Michael",37,75.57,19.77,92,0,32,3,1,0,0,1,1,0,1,0,3,0,0,1,0,1,4,3,13,8,2
UBC,2012,W,CNRS,503,E,001,STUD LIT ART,"Griffin, Michael;Schneider, Thomas",4,89.75,7.59,100,82,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UBC,2012,W,COMM,525,,001,INT ORG RES MTHD,"Griffin, Dale",6,85,5.79,89,75,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
UBC,2012,W,PHIL,211,A,001,GREEK PHIL I,"Griffin, Michael",36,80.76,11.48,94,27,33,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,5,2,9,11,4
UBC,2012,W,PHIL,212,A,001,GREEK PHIL II,"Griffin, Michael",35,75.6,20.01,92,0,28,2,5,0,0,1,1,0,0,0,2,0,0,1,1,2,3,3,8,7,3
UBC,2012,W,PHIL,310,A,001,PHILOSOPHY PLATO,"Griffin, Michael",116,77.1,14.71,93,13,103,6,7,0,0,0,1,3,1,1,6,1,1,2,3,10,11,11,25,31,8
UBC,2013,W,BAMA,508,,302,MRKT RESEARCH,"Griffin, Dale",37,84.35,1.98,89,82,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0
UBC,2013,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",30,80.6,8.37,92,52,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,6,6,5,6
UBC,2013,W,CLST,212,,001,GREEK PHIL II,"Griffin, Michael",31,80.23,6.76,90,50,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,5,15,5,1
UBC,2013,W,GREK,200,,001,SECOND YR GREEK,"De Angelis, Franco;Griffin, Michael",12,80.55,11.13,100,58,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,2,2
UBC,2013,W,PHIL,211,A,001,GREEK PHIL I,"Griffin, Michael",35,77.03,18.49,95,10,31,2,0,1,0,0,2,0,0,0,2,0,0,0,1,1,5,6,6,7,5
UBC,2013,W,PHIL,212,A,001,GREEK PHIL II,"Griffin, Michael",30,78.86,9.5,88,50,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,5,8,11,0
UBC,2013,W,PHIL,510,A,001,ANCIENT PHILOSPH,"Griffin, Michael",4,86.5,2.89,90,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
UBC,2014,S,BAMA,508,,301,MRKT RESEARCH,"Griffin, Dale",20,84.21,2.92,88,75,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,10,0
UBC,2014,W,CLST,105,,001,GREK & ROMN MYTH,"Griffin, Michael",260,77,15.05,97,5,248,9,2,0,0,3,2,2,1,1,9,6,8,6,14,15,29,37,54,38,41
UBC,2014,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",37,79.35,6.04,93,70,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,18,3,2
UBC,2014,W,CLST,212,,001,GREEK PHIL II,"Griffin, Michael",35,70.57,21.15,90,0,30,5,0,0,0,2,0,0,1,2,5,0,0,0,0,4,8,4,9,4,1
UBC,2014,W,PHIL,211,A,001,GREEK PHIL I,"Griffin, Michael",41,79.43,11.76,94,22,39,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,2,3,22,5,4
UBC,2014,W,PHIL,212,A,001,GREEK PHIL II,"Griffin, Michael",39,76.62,12.9,95,10,38,1,0,0,0,0,1,0,0,0,1,0,0,1,1,6,1,11,11,4,3
UBC,2014,W,PHIL,310,A,001,PHILOSOPHY PLATO,"Griffin, Michael",120,77.05,14.6,93,1,112,5,0,1,0,2,0,1,1,1,5,1,0,1,4,10,17,17,26,22,14
UBC,2015,W,CLST,105,,001,GREK & ROMN MYTH,"Griffin, Michael",273,75.18,11.76,97,30,256,10,5,1,0,0,0,0,7,3,10,5,7,12,17,23,38,46,53,46,9
UBC,2015,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",40,77.65,7.02,90,63,37,0,2,0,0,0,0,0,0,0,0,0,0,2,1,6,5,6,11,5,1
UBC,2015,W,CLST,212,,001,GREEK PHIL II,"Griffin, Michael",24,74.74,17.28,92,8,22,1,1,0,0,1,0,0,0,0,1,1,2,0,0,0,2,5,8,3,1
UBC,2015,W,PHIL,211,A,001,GREEK PHIL I,"Griffin, Michael",41,74.25,8.6,87,41,39,1,1,0,0,0,0,0,0,1,1,0,0,2,4,7,6,7,10,3,0
UBC,2015,W,PHIL,212,A,001,GREEK PHIL II,"Griffin, Michael",49,80.32,5.35,90,63,47,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,9,20,11,1
UBC,2015,W,PHIL,310,A,001,PHILOSOPHY PLATO,"Griffin, Michael",121,75.04,10.32,93,23,112,4,4,0,0,0,0,1,0,3,4,1,0,3,11,16,20,12,31,15,3
UBC,2016,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",54,74.42,16.44,88,0,50,2,0,1,0,1,1,0,0,0,2,2,3,0,3,1,3,11,20,7,0
UBC,2016,W,CLST,212,,001,GREEK PHIL II,"Griffin, Michael",44,75.28,13.24,90,26,38,2,1,0,0,0,0,1,1,0,2,1,0,3,0,4,3,5,14,7,1
UBC,2016,W,COMM,386,J,101,TPCS BUSINESS 3,"Griffin, Dale;Milne, Tamar",41,80.54,4.77,88,65,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,21,7,0
UBC,2016,W,GREK,101,,001,1YR ANC GREEK I,"Griffin, Michael",28,82.7,17.88,98,9,26,1,1,0,0,1,0,0,0,0,1,0,0,1,1,2,0,1,4,4,13
UBC,2016,W,PHIL,211,A,001,GREEK PHIL I,"Griffin, Michael",55,74.88,13.6,85,17,49,2,4,0,0,0,1,1,0,0,2,1,0,4,3,1,5,10,16,9,0
UBC,2016,W,PHIL,212,A,001,GREEK PHIL II,"Griffin, Michael",45,78.07,13.48,89,23,42,2,0,0,0,0,0,2,0,0,2,0,0,1,1,1,3,7,16,13,0
UBC,2016,W,PHIL,510,A,001,ANCIENT PHILOSPH,"Griffin, Michael",10,88.5,5.35,95,80,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
UBC,2017,W,BAMA,508,,MM1,MRKT RESEARCH,"Griffin, Dale",39,81,4.62,90,75,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,14,9,1
UBC,2017,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",56,82.18,11.15,97,25,54,1,0,0,0,0,0,1,0,0,1,0,0,3,2,0,2,4,11,23,9
UBC,2017,W,COMM,386,J,201,TPCS BUSINESS 3,"Griffin, Dale;Milne, Tamar",26,81.15,4.26,88,72,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,7,0
UBC,2017,W,COMM,386,J,202,TPCS BUSINESS 3,"Griffin, Dale;Milne, Tamar",25,78.76,4.78,86,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,10,3,0
UBC,2017,W,COMM,663,,001,CONSUMER JUDGMEN,"Griffin, Dale;Hardisty, David",9,86,2.83,92,82,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
UBC,2017,W,PHIL,211,,001,GREEK PHIL I,"Griffin, Michael",58,83.73,8.3,93,55,55,0,3,0,0,0,0,0,0,0,0,0,1,1,0,3,4,3,9,22,12
UBC,2017,W,PHIL,310,,001,PHILOSOPHY PLATO,"Griffin, Michael",100,78.45,12.42,94,20,92,4,1,0,0,0,0,1,3,0,4,0,1,2,4,4,4,20,28,21,8
UBC,2018,W,BAMA,509,,BA1,MARKETING ANLYTC,"Griffin, Dale;Williamson, Elaine",50,82.04,4.3,91,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,20,16,2
UBC,2018,W,CLST,105,,003,GREK & ROMN MYTH,"Griffin, Michael",136,82.31,8.59,94,52,134,0,1,0,1,0,0,0,0,0,0,2,3,2,1,6,9,9,39,38,25
UBC,2018,W,CLST,211,,001,GREEK PHIL I,"Griffin, Michael",60,82.08,9.94,95,38,58,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,3,8,14,20,10
UBC,2018,W,PHIL,211,,001,GREEK PHIL I,"Griffin, Michael",58,82.24,11.08,98,41,52,2,1,0,0,0,0,0,0,2,2,0,0,1,2,2,1,5,14,15,12
