Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2015,W,LAW,201,,002,Canadian Constitutional Law,Bethany Hastie;Joel Conrad Bakan;Johnny Mack,45,72.955555556,9.261247598,79.0,17.0,,,,,,6,17,18,0,0,0,,,
UBCV,2015,W,LAW,241,,001,Torts,Bethany Hastie,44,75.522727273,4.348154574,83.0,66.0,0,0,0,0,2,6,12,16,8,0,0,,,
UBCV,2015,W,LAW,251,,004,Public Law,Bethany Hastie,46,73.826086957,3.598174524,81.0,65.0,0,0,0,0,,7,23,10,,0,0,,,
UBCV,2015,W,LAW,261,,003,Transnational Law,Bethany Hastie,47,72.978723404,11.659087446,82.0,0.0,,,,,,3,19,18,,0,0,,,
UBCV,2015,W,LAW,430,,002,Advanced Legal Research,Bethany Hastie,18,76.555555556,3.853527371,85.0,68.0,0,0,0,0,0,,7,7,,,0,,,
UBCV,2016,W,LAW,241,,002,Torts,Bethany Hastie,47,75.21276596,3.269996478,84.0,70.0,0,0,0,0,0,5,21,15,6,0,0,,,
UBCV,2016,W,LAW,251,,001,Public Law,Bethany Hastie;Catherine Dauvergne,91,74.94505495,2.63043147,81.0,64.0,0,0,0,0,1,3,53,29,5,0,0,,,
UBCV,2016,W,LAW,261,,001,Transnational Law,Bethany Hastie;Natasha Affolder,45,74.4,4.53972366,85.0,66.0,0,0,0,0,7,4,15,13,5,1,0,,,
UBCV,2016,W,LAW,261,,003,Transnational Law,Bethany Hastie,44,74.90909091,3.353707992,84.0,68.0,0,0,0,0,0,5,22,13,4,0,0,,,
UBCV,2016,W,LAW,430,,002,Advanced Legal Research,Bethany Hastie,15,78.0,3.854496447,84.0,68.0,0,0,0,0,0,1,0,10,4,0,0,,,
UBCV,2016,W,LAW,430,,003,Advanced Legal Research,Bethany Hastie,18,78.0,2.765331594,82.0,73.0,0,0,0,0,0,0,3,9,6,0,0,,,
UBCV,2017,W,LAW,201,,001,Canadian Constitutional Law,Bethany Hastie;Johnny Mack,49,74.326530612,3.567140283,81.0,67.0,0,0,0,0,2,7,22,15,3,0,0,,,
UBCV,2017,W,LAW,421,D,001,Topics in Labour Law,Bethany Hastie,8,79.0,2.878491669,83.0,75.0,0,0,0,0,0,0,1,3,4,0,0,,,
UBCV,2018,W,LAW,241,,002,Torts,Bethany Hastie,48,73.229166667,2.53687346,80.0,68.0,0,0,0,0,0,13,28,6,1,0,0,,,
UBCV,2018,W,LAW,421,D,001,Topics in Labour Law,Bethany Hastie,12,77.916666667,1.505042031,81.0,76.0,0,0,0,0,0,0,0,10,2,0,0,,,
UBCV,2019,W,LAW,241,,002,Torts,Bethany Hastie,45,73.888888889,4.593583579,83.0,60.0,0,0,0,2,2,9,17,11,4,0,0,,,
UBCV,2019,W,LAW,351,D,002,Topics in Human Rights,Bethany Hastie,15,78.0,3.093772547,83.0,72.0,0,0,0,0,0,0,3,7,5,0,0,,,
UBCV,2020,W,LAW,241,,002,Torts,Bethany Hastie,47,74.319148936,4.16040541,82.0,63.0,0,0,0,1,3,6,13,20,4,0,0,,,
UBCV,2022,W,LAW,416,,001,Labour Law,Bethany Hastie,36,74.2,,78.0,66.0,0,0,0,0,1,5,17,13,0,0,0,74.5,76.0,73.0
