Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,CHBE,453,,001,BIO PRC DSGN PRJ,"Haynes, Charles",14,84.5,4.35,90,75,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,3,,,
UBC,2003,W,CHBE,453,,001,BIO PRC DSGN PRJ,"Haynes, Charles",17,83.82,6.25,91,70,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,8,2,,,
UBC,2003,W,CHBE,481,,101,ADV TOP BIOL ENG,"Haynes, Charles",12,78.75,9.74,93,60,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,2,2,,,
UBC,2005,W,CHBE,481,,101,BIOPROCES ENG II,"Haynes, Charles",18,83.11,9.69,93,56,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,8,3,,,
UBC,2005,W,CHBE,491,,101,THESIS PROPOSAL,"Haynes, Charles",7,83.57,5.74,93,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,,,
UBC,2005,W,CHBE,492,,201,THESIS,"Haynes, Charles",7,85.71,3.35,91,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,,,
UBC,2005,W,CHBE,495,,101,THS PROP: BIOTEC,"Haynes, Charles",6,85.5,4.97,93,79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,,,
UBC,2005,W,CHBE,496,,201,THS: BIOTECH TPC,"Haynes, Charles",6,84.67,8.07,93,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,,,
UBC,2006,W,CHBE,481,,101,BIOPROCES ENG II,"Haynes, Charles",23,77.61,8.54,91,62,23,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,4,3,4,2,,,
UBC,2006,W,CHBE,495,,101,THS PROP: BIOTEC,"Haynes, Charles",7,84,4.76,92,79,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,,,
