Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2019,W,ENGL,153,,002,Readings in Narrative,Brittney Fedoruk;Claire Halston;Claire Marie Halston;Eva Kasprzycka;Eva N. Kasprzycka;George Grinnell;Kelly Anne Panchyshyn;Kelly Panchyshyn;Shohel Rana,176,70.931818182,12.102226907,90.0,0.0,6,6,11,6,22,30,29,34,18,13,1,,,
UBCO,2019,W,ENGL,153,,102,Readings in Narrative,Claire Halston;Claire Marie Halston;Cristalle Smith;Eva Kasprzycka;Eva N. Kasprzycka;George Grinnell;Kelly Anne Panchyshyn;Kelly Panchyshyn;Shohel Rana,184,73.081521739,13.787968378,93.0,12.0,9,9,2,10,8,18,30,33,40,23,2,,,
UBCO,2020,W,WRLD,100,,001,A World History of Horror,Claire Halston;Francisco Pena Fernandez,69,78.507246377,11.591862242,98.0,45.0,2,1,2,2,3,8,6,3,16,15,11,,,
UBCO,2020,W,WRLD,240,,101,World Sacred Scriptures: The Hebrew Bible,Claire Halston;Francisco Pena Fernandez,17,75.647058824,20.554625928,97.0,22.0,1,1,0,1,4,1,0,1,0,1,7,,,
UBCO,2020,W,WRLD,310,,001,Mythologies in Motion,Claire Halston;Francisco Pena Fernandez,52,85.961538462,8.778229618,97.0,62.0,0,0,0,1,2,1,2,3,13,6,24,,,
UBCO,2021,W,ENGL,112,,010,Studies in Composition,Claire Halston;Emily Mcgiffin,22,83.181818182,10.477351372,94.0,48.0,1,0,0,0,0,1,3,1,3,7,6,,,
UBCO,2021,W,ENGL,112,,013,Studies in Composition,Claire Halston;Emily Mcgiffin,22,79.090909091,9.729234742,91.0,58.0,0,0,2,1,1,0,0,2,9,5,2,,,
UBCO,2021,W,ENGL,112,,110,Studies in Composition,Catherine Shaw;Claire Halston,25,78.16,8.039900497,88.0,56.0,0,0,2,0,1,0,3,3,15,1,0,,,
UBCO,2021,W,ENGL,112,,117,Studies in Composition,Claire Halston;Emily Mcgiffin,25,76.72,17.598579488,94.0,0.0,1,0,1,0,0,1,2,5,9,5,1,,,
UBCO,2021,W,ENGL,112,,119,Studies in Composition,Claire Halston;Emily Mcgiffin,24,79.541666667,6.788604049,88.0,54.0,0,1,0,0,0,0,4,4,12,3,0,,,
UBCO,2021,W,ENGL,112,,010,Studies in Composition,Claire Halston,22,83.2,,94.0,48.0,,,,,,,,,,7,6,87.0,89.8,80.0
UBCO,2021,W,ENGL,112,,013,Studies in Composition,Claire Halston,22,79.1,,91.0,58.0,,,,,,,,,9,,,81.0,85.0,79.3
UBCO,2021,W,ENGL,112,,110,Studies in Composition,Claire Halston,25,78.2,,88.0,56.0,,,,,,,,,15,,,81.0,83.0,76.0
UBCO,2021,W,ENGL,112,,117,Studies in Composition,Claire Halston,25,76.7,,94.0,0.0,,,,,,,,,9,,,80.0,84.0,77.0
UBCO,2021,W,ENGL,112,,119,Studies in Composition,Claire Halston,24,79.5,,88.0,54.0,,,,,,,,,12,,,81.5,83.0,77.8
UBCO,2022,S,ENGL,112,,101,Studies in Composition,Claire Halston,29,72.8,,92.0,10.0,2,1,0,2,1,2,4,6,5,4,2,76.0,84.0,69.0
UBCO,2022,W,ENGL,112,,008,Studies in Composition,Claire Halston,30,78.3,,92.0,9.0,2,0,0,0,0,1,2,5,11,8,1,81.5,85.8,78.0
UBCO,2022,W,ENGL,112,,009,Studies in Composition,Claire Halston,29,80.4,,90.0,69.0,0,0,0,0,0,2,1,10,8,7,1,80.0,85.0,77.0
UBCO,2022,W,ENGL,112,,010,Studies in Composition,Claire Halston,30,78.2,,90.0,47.0,1,0,1,0,1,2,4,3,10,7,1,82.0,84.8,73.5
UBCO,2022,W,ENGL,112,,014,Studies in Composition,Claire Halston,28,80.6,,90.0,62.0,0,0,0,2,0,0,4,4,9,7,2,80.5,86.3,78.0
UBCO,2022,W,ENGL,112,,104,Studies in Composition,Claire Halston,29,78.0,,93.0,58.0,0,0,2,0,1,4,6,4,4,4,4,77.0,87.0,73.0
UBCO,2022,W,ENGL,112,,107,Studies in Composition,Claire Halston,30,73.9,,91.0,39.0,2,1,2,0,1,1,7,4,10,1,1,77.0,80.8,72.8
UBCO,2022,W,ENGL,112,,108,Studies in Composition,Claire Halston,29,71.7,,91.0,23.0,3,0,2,1,1,1,4,7,7,2,1,76.0,81.0,70.0
UBCO,2023,W,ENGL,112,,014,Studies in Composition,Claire Halston,30,75.7,,91.0,7.0,1,1,2,0,1,0,3,8,8,3,2,79.0,83.0,74.0
UBCO,2023,W,ENGL,112,,114,Studies in Composition,Claire Halston,30,74.8,,91.0,29.0,2,0,1,1,0,2,6,5,6,6,1,77.5,83.0,72.0
