Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,CPSC,110,,201,"Computation, Programs, and Programming",Alexander Steele;Alexander Suyanto;Allison Chiang;Allison Earle;Amanda Tupper;Anna Wu;Ayan Das;Brian Zeng;Bronwyn Damm;Chia Sheng Pan;Collin Lucas Eng;David Chen;Duy Nguyen;Edward Jiayu Zeng;Elektra Dakogiannis;Emily Chen;Hai Yang Hu;Hannah Le Bouder;Ian Del Rio-Wheatley;Jake Wong;James Riddell;Jeffrey Chew;Jenny Liu;Jia Rui Mao;Jiayi Fan;Joshua Barbosa;Joshua Chew;Joshua Tillson;Jun Hu;Kai Xing Chen;Kyle Rich;Laura Schmid;Mara Solen;Matthew Kang;Maya Vasdani;Megan Thibodeau;Mengxin Zhao;Millenia Kitikul;Nicholas Wong;Oluwakemi Ola;Ryan Seo;Sassan Shokoohi;Shannon Lawrence;Shaunak Tulshibagwale;Shirley Zeng;Susan Chung;Tugce Ozaydin;Will Alvarez;William Patrick Gervasio;Yang Qin;Yiyi Liu;Zhi Cheng Shen,200,75.62,21.351934939,100.0,0.0,44,0,1,1,6,5,9,15,24,32,63
UBCV,2020,W,CPSC,110,,202,"Computation, Programs, and Programming",Alexander Steele;Alexander Suyanto;Allison Chiang;Allison Earle;Amanda Tupper;Anna Wu;Ayan Das;Brian Zeng;Bronwyn Damm;Chia Sheng Pan;Collin Lucas Eng;David Chen;Duy Nguyen;Edward Jiayu Zeng;Elektra Dakogiannis;Emily Chen;Hai Yang Hu;Hannah Le Bouder;Ian Del Rio-Wheatley;Jake Wong;James Riddell;Jeffrey Chew;Jenny Liu;Jiayi Fan;Joshua Barbosa;Joshua Chew;Joshua Tillson;Jun Hu;Kai Xing Chen;Kyle Rich;Laura Schmid;Mara Solen;Matthew Kang;Maya Vasdani;Megan Thibodeau;Mengxin Zhao;Millenia Kitikul;Nicholas Wong;Oluwakemi Ola;Ryan Seo;Sassan Shokoohi;Shannon Lawrence;Shaunak Tulshibagwale;Shirley Zeng;Susan Chung;Will Alvarez;William Patrick Gervasio;Yang Qin;Yiyi Liu;Zhi Cheng Shen,180,79.094444444,20.106336649,100.0,0.0,29,2,0,1,3,4,6,17,21,25,72
UBCV,2020,W,CPSC,110,,203,"Computation, Programs, and Programming",Alexander Steele;Alexander Suyanto;Allison Chiang;Allison Earle;Amanda Tupper;Anna Wu;Ayan Das;Brian Zeng;Bronwyn Damm;Chia Sheng Pan;Collin Lucas Eng;David Chen;Duy Nguyen;Edward Jiayu Zeng;Elektra Dakogiannis;Emily Chen;Gregor Kiczales;Hai Yang Hu;Hannah Le Bouder;Ian Del Rio-Wheatley;Jake Wong;James Riddell;Jeffrey Chew;Jenny Liu;Jiayi Fan;Joshua Barbosa;Joshua Chew;Joshua Tillson;Jun Hu;Kai Xing Chen;Kyle Rich;Laura Schmid;Mara Solen;Matthew Kang;Maya Vasdani;Megan Thibodeau;Mengxin Zhao;Millenia Kitikul;Nicholas Wong;Ryan Seo;Sassan Shokoohi;Shannon Lawrence;Shaunak Tulshibagwale;Shirley Zeng;Susan Chung;Will Alvarez;William Patrick Gervasio;Yang Qin;Yiyi Liu;Zhi Cheng Shen,191,77.471204188,19.738499866,100.0,0.0,36,0,0,4,3,5,8,15,21,38,61
UBCV,2020,W,CPSC,110,,V01,"Computation, Programs, and Programming",Alexander Steele;Alexander Suyanto;Allison Chiang;Allison Earle;Amanda Tupper;Anna Wu;Ayan Das;Brian Zeng;Bronwyn Damm;Chia Sheng Pan;Collin Lucas Eng;David Chen;Duy Nguyen;Edward Jiayu Zeng;Elektra Dakogiannis;Emily Chen;Hai Yang Hu;Hannah Le Bouder;Ian Del Rio-Wheatley;Jake Wong;James Riddell;Jeffrey Chew;Jenny Liu;Jiayi Fan;Joshua Barbosa;Joshua Chew;Joshua Tillson;Jun Hu;Kai Xing Chen;Kyle Rich;Laura Schmid;Mara Solen;Matthew Kang;Maya Vasdani;Megan Thibodeau;Mengxin Zhao;Millenia Kitikul;Nicholas Wong;Oluwakemi Ola;Ryan Seo;Sassan Shokoohi;Shannon Lawrence;Shaunak Tulshibagwale;Shirley Zeng;Susan Chung;Will Alvarez;William Patrick Gervasio;Yang Qin;Yiyi Liu;Zhi Cheng Shen,52,70.038461538,26.164608291,100.0,3.0,11,0,1,0,0,4,0,9,6,13,8
UBCV,2021,S,CPSC,110,,911,"Computation, Programs, and Programming",Abigail Meza;Alexander Steele;Alexander Suyanto;Amanda Tupper;Anna Wu;Ayan Das;Chia Sheng Pan;Chiyang Lin;Dora Qi;Edward Jiayu Zeng;Elektra Dakogiannis;Evan Norris;Hannah Le Bouder;Jacob Hotz;James Riddell;Jeffrey Chew;Jiayi Fan;Joshua Barbosa;Jun Hu;Mara Solen;Matthew Kang;Oluwakemi Ola;Saffrin Granby;Shannon Lawrence;Shukan Yang;Susan Chung;Will Alvarez;William Patrick Gervasio;Yiyi Liu,124,76.717741935,20.385137454,100.0,12.0,26,0,2,0,2,5,8,9,15,12,45
UBCV,2021,W,CPSC,210,,101,Software Construction,Amy Liu;Andrey Krasnoperov;Anindya De;Avinav Dhakal;Aymen Dirar;Benny Wong;Brian Chu;Chinchin Jin;Cyrus Kalafchi;Denis Kovalenko;Devon Mar;Elton Tiet;Emilia Hidalgo;Emily Chen;Felicia Kwala;Inna Ivanova;Jose Samayoa;Jun Hu;Kadir Barutcuoglu;Kenny Cheng;Mazen Kotb;Meiqi Yu;Nicholas Kao;Paul Carter;Phillbert Tan;Saad Rehman;Sarah Cader;Yanbo Zhao;Yuxiang Fu,277,78.357400722,16.429208848,99.0,20.0,26,1,6,6,15,20,15,20,42,47,79
UBCV,2021,W,CPSC,210,,102,Software Construction,Amy Liu;Andrey Krasnoperov;Anindya De;Avinav Dhakal;Aymen Dirar;Benny Wong;Brian Chu;Chinchin Jin;Cyrus Kalafchi;Denis Kovalenko;Devon Mar;Elton Tiet;Emilia Hidalgo;Emily Chen;Felicia Kwala;Inna Ivanova;Jessica Wong;Jose Samayoa;Jun Hu;Kadir Barutcuoglu;Kenny Cheng;Mazen Kotb;Meiqi Yu;Phillbert Tan;Saad Rehman;Sarah Cader;Yuxiang Fu,160,73.76875,18.78451854,100.0,3.0,24,0,2,5,9,16,13,16,23,22,30
UBCV,2021,W,CPSC,210,,103,Software Construction,Amy Liu;Andrey Krasnoperov;Anindya De;Avinav Dhakal;Aymen Dirar;Benny Wong;Brian Chu;Chinchin Jin;Cyrus Kalafchi;Denis Kovalenko;Devon Mar;Elton Tiet;Emilia Hidalgo;Emily Chen;Felicia Kwala;Inna Ivanova;Jose Samayoa;Jun Hu;Kadir Barutcuoglu;Kenny Cheng;Mazen Kotb;Meiqi Yu;Paul Carter;Phillbert Tan;Saad Rehman;Sarah Cader;Yuxiang Fu,206,77.582524272,17.499839315,99.0,8.0,24,2,1,4,12,10,6,25,34,35,53
UBCV,2021,W,CPSC,213,,203,Introduction to Computer Systems,Aidan Shields;Bo Robert Xiao;Brendan Woodward;Burcu Gorgulicten;Charley Cai;Chendong Luo;David Bromley;Emily Chu;Hala Chacker Murad;Hao Tian Gong;Harshit Chhajed;Jack James Pitcher;Jae Han Kim;John Francisco;Jun Hu;Justin Hu;Kanghyun Moon;Man Nok Ho;Margo Seltzer;Mark Van Genderen;Michael Feeley;Mingxin Gong;Qintu Tao;Ricky Lau;Ruinan Jin;Seraj Aldin Sabbah;Wei Yang Shen;William Chen;Xiao Dong Su;Xinyi Ye;Zihan Zhu,135,73.785185185,19.045658096,99.0,11.0,14,4,4,8,7,9,12,10,19,27,21
UBCV,2021,W,CPSC,213,,204,Introduction to Computer Systems,Aidan Shields;Bo Robert Xiao;Burcu Gorgulicten;Charley Cai;David Bromley;Emily Chu;Hala Chacker Murad;Hao Tian Gong;Harshit Chhajed;John Francisco;Jun Hu;Justin Hu;Kanghyun Moon;Man Nok Ho;Mark Van Genderen;Mingxin Gong;Qintu Tao;Ricky Lau;Ruinan Jin;Seraj Aldin Sabbah;Wei Yang Shen;William Chen;Xinyi Ye;Zihan Zhu,196,70.336734694,19.320213344,100.0,4.0,28,5,10,9,15,18,18,23,21,25,24
UBCV,2021,W,CPSC,213,,205,Introduction to Computer Systems,Aidan Shields;Burcu Gorgulicten;Charley Cai;David Bromley;Emily Chu;Hala Chacker Murad;Hao Tian Gong;Harshit Chhajed;John Francisco;Jordon Johnson;Jun Hu;Justin Hu;Kanghyun Moon;Man Nok Ho;Mark Van Genderen;Mingxin Gong;Qintu Tao;Ricky Lau;Ruinan Jin;Seraj Aldin Sabbah;Wei Yang Shen;William Chen;Xinyi Ye;Zihan Zhu,147,75.06122449,15.537063284,100.0,31.0,13,5,5,11,9,10,15,15,21,12,31
