Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,BIOL,201,,001,Introduction to Evolution and Ecology,Laura Hooker;Robert Lalonde,186,65.58064516,13.58761167,98.0,17.0,16,17,23,26,23,16,19,14,19,10,3
UBCO,2014,W,BIOL,375,,001,Flora and Fauna of Inland Waters,Laura Hooker,16,85.375,8.640023148,96.0,69.0,0,0,0,0,0,,,,,,5
UBCO,2014,W,BIOL,381,,001,Environmental Microbiology,Laura Hooker;Louise Nelson,54,67.87037037,14.62750871,95.0,39.0,5,6,9,,,,5,,10,,
UBCO,2014,W,BIOL,420,X,001,Special Topics in Biology,Laura Hooker,24,73.75,10.35983045,93.0,50.0,0,,,,,,5,,5,,
UBCO,2016,W,BIOL,201,,001,Introduction to Evolution and Ecology,Brett Ford;Bruno Carturan;Bruno Sylvain Carturan;Laura Hooker;Robert Lalonde;Travis Junior Gooliaff,189,63.10582011,15.97502765,96.0,0.0,29,25,15,18,28,26,10,9,12,8,9
UBCO,2016,W,BIOL,375,,001,Flora and Fauna of Inland Waters,Brittany Altwasser;Laura Hooker,14,80.0,7.565102063,93.0,68.0,0,0,0,0,0,2,3,2,3,1,3
UBCO,2016,W,BIOL,381,,001,Environmental Microbiology,Laura Hooker;Tyler Joseph Richard Wenzel;Tyler Wenzel,82,71.54878049,12.3309832,98.0,41.0,3,2,11,6,6,14,7,7,12,9,5
UBCO,2017,W,BIOL,201,,001,Introduction to Evolution and Ecology,Antreas Pogiatzis;Christopher Johnston;Laura Hooker;Megan Buers;Robert Lalonde;Vasileios Kokkoris,237,68.194092827,14.897541563,95.0,23.0,23,18,28,21,26,22,17,24,18,18,22
UBCO,2017,W,BIOL,375,,001,Flora and Fauna of Inland Waters,Faye Manning;Laura Hooker,31,73.193548387,9.260739189,94.0,50.0,0,1,0,3,1,9,5,4,5,1,2
UBCO,2017,W,BIOL,381,,001,Environmental Microbiology,Ayden Ledding;Laura Hooker,80,70.0875,15.283973363,100.0,28.0,7,5,7,6,7,8,5,4,18,8,5
UBCO,2018,W,BIOL,201,,001,Introduction to Evolution and Ecology,Andrew Richards;Bruno Carturan;Bruno Sylvain Carturan;Farida E Samad-Zada;Farida Samad-Zada;Laura Hooker;Robert Lalonde;Yinzhao Wang,244,67.37704918,13.710305438,100.0,32.0,25,21,20,29,20,28,29,26,19,14,13
UBCO,2018,W,BIOL,375,,001,Flora and Fauna of Inland Waters,Jennifer Kristine Meineke;Jennifer Meineke;Laura Hooker,19,73.947368421,13.854296101,93.0,37.0,2,0,1,0,1,2,3,3,2,4,1
UBCO,2018,W,BIOL,381,,001,Environmental Microbiology,Laura Hooker;Matthew Heymen;Matthew T. Heymen,57,70.561403509,14.211435968,97.0,18.0,2,5,6,4,4,9,7,6,6,3,5
UBCO,2019,W,BIOL,201,,001,Introduction to Evolution and Ecology,Corynne O'Farrell;Laura Hooker;Leah Rensel;Mateen Hessami;Robert Lalonde;Yinzhao Wang,238,74.869747899,10.667384374,95.0,48.0,4,5,11,16,26,27,28,30,38,35,18
UBCO,2019,W,BIOL,375,,001,Flora and Fauna of Inland Waters,Jennifer Kristine Meineke;Jennifer Meineke;Laura Hooker,28,74.285714286,11.018022754,96.0,48.0,1,0,1,2,2,5,4,3,5,2,3
UBCO,2019,W,BIOL,381,,001,Environmental Microbiology,Ashley Stasuk;Laura Hooker,44,70.295454545,12.948160587,92.0,35.0,2,2,5,6,5,3,3,6,5,5,2
UBCO,2020,W,BIOL,201,,001,Introduction to Evolution and Ecology,Antreas Pogiatzis;Corynne O'Farrell;Jacob Hubner;Lana Puddu;Laura Hooker;Robert Lalonde;Suhani Srihari,247,72.570850202,11.634422944,97.0,33.0,5,11,17,25,26,28,29,30,27,36,13
UBCO,2020,W,BIOL,381,,001,Environmental Microbiology,Laura Hooker,32,77.59375,14.944757145,95.0,33.0,2,0,3,1,1,0,3,3,8,4,7
UBCO,2020,W,BIOL,420,X,001,Special Topics in Biology,Laura Hooker,27,75.777777778,13.497388161,90.0,25.0,1,0,2,0,0,5,2,2,9,5,1
UBCO,2021,W,BIOL,381,,001,Environmental Microbiology,Laura Hooker;Mitrasadat Tabatabaee;Negin Azarmina,35,81.628571429,16.139257426,100.0,19.0,1,0,2,0,1,3,3,4,3,4,14
