Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,MECH,305,,201,Data Analysis and Mechanical Engineering Laboratories,Abbas Hosseini;Amir Farzad Forughi;Amirhossein Salimian;Ehsan Zaman;James Alec Morrison Cronkite;Jay Leong;Jon Mikkelsen;Masoud Hejazi;Mohammad Shanb Ghazani;Parisa Sarmadi;Ramin Dastanpour;Reza Zangeneh,96,80.197916667,7.833289007,95.0,48.0,,,,,,8,8,17,22,24,11
UBCV,2016,W,MECH,260,,101,Introduction to Mechanics of Materials,Abbas Hosseini;Farrokh Sassani;Masoud Hejazi,120,68.99166667,15.51171736,100.0,0.0,6,6,7,17,13,17,13,13,16,6,6
UBCV,2016,W,MECH,305,,201,Data Analysis and Mechanical Engineering Laboratories,. Manav;Abbas Hosseini;Alireza Sarraf Shirazi;Amir Farzad Forughi;Amirhossein Salimian;Cristopher Jesus Cortes Sanchez;Hatef Rahmani;Jon Mikkelsen;Justin Roberts;Masoud Hejazi;Mohammad Shanb Ghazani;Parisa Sarmadi;Reza Zangeneh,99,80.44444444,8.002833965,93.0,48.0,2,0,2,0,0,4,11,15,32,28,5
UBCV,2016,W,MECH,306,,201,Data Analysis and Mechatronics Laboratories,. Manav;Abbas Hosseini;Alireza Sarraf Shirazi;Amir Farzad Forughi;Amirhossein Salimian;Cristopher Jesus Cortes Sanchez;Hatef Rahmani;Jon Mikkelsen;Justin Roberts;Masoud Hejazi;Mohammad Shanb Ghazani;Parisa Sarmadi;Reza Zangeneh,31,84.83870968,5.459528516,92.0,70.0,0,0,0,0,0,1,1,2,7,13,7
UBCV,2016,W,MECH,463,,101,Mechanical Vibrations,Abbas Hosseini;Karry Ocean;Maryam Mohtajeb;Masoud Hejazi;Mohammadreza Mallakzadeh;Reza Zangeneh,104,73.60576923,11.01227759,98.0,41.0,4,1,3,8,8,21,15,15,11,12,6
UBCV,2017,W,MECH,260,,101,Introduction to Mechanics of Materials,Kui Pan;Masoud Hejazi;Srikantha Anasavarapu,112,59.464285714,15.564413425,95.0,0.0,16,11,18,17,16,15,12,3,0,1,3
UBCV,2017,W,MECH,358,,201,Engineering Analysis,Babak Nasouri;Gwynn Elfring;Maryam Mohtajeb;Masoud Hejazi,118,77.677966102,14.215605579,100.0,14.0,5,0,4,10,9,5,13,10,17,21,24
UBCV,2018,W,MECH,260,,101,Introduction to Mechanics of Materials,Agnes D'Entremont;Maryam Mohtajeb;Masoud Haghi Kashani;Masoud Hejazi;Mohammad Reza Talebi Bidhendi,92,71.260869565,16.963353886,98.0,10.0,8,6,5,3,10,8,14,10,8,9,11
UBCV,2018,W,MECH,260,,102,Introduction to Mechanics of Materials,Agnes D'Entremont;Ahmad Mohammadpanah Foroutaghe;Masoud Hejazi;Mohammad Reza Talebi Bidhendi,129,80.92248062,12.68833889,100.0,40.0,2,5,1,7,1,7,18,3,15,29,41
UBCV,2018,W,MECH,360,,201,Mechanics of Materials,Kui Pan;Masoud Hejazi;Mauricio Ponga De La Torre;Xiao Liang Jin,102,72.245098039,16.18545752,100.0,25.0,9,3,8,5,12,8,9,9,13,13,13
UBCV,2019,W,MANU,265,,201,Machine Dynamics,Ahmad Mohammadpanah Foroutaghe;Masoud Hejazi;Mohammad Reza Talebi Bidhendi,23,78.347826087,18.541375588,93.0,0.0,1,0,0,0,0,2,3,2,7,1,7
UBCV,2019,W,MECH,222,,201,Engineering Science II,Agnes D'Entremont;Alireza Sarraf Shirazi;Alondra Renteria Ruiz;Carly Ellen Jones;Carly Jones;Elizabeth Trudel;Graham Hendra;Hamed Helisaz;Hatef Rahmani;Juan Abello Rubio;Kevin Ta;Masoud Hejazi;Michael Deakin;Michael Fremont Deakin;Nima Atabaki;Omid Hajieghrary;Patrick Walls;Ronak Gupta;Ronak Rajesh Gupta;Sarafa Adewale Iyaniwura;Sayed Mohammad Hashem Jayhooni;Seyed Arman Abtahi;Xiaohe Liu,120,80.366666667,7.644334787,98.0,66.0,0,0,0,0,1,13,21,22,28,15,20
UBCV,2019,W,MECH,223,,201,Introduction to the Mechanical Design Process,Aashish Bhardwaj;Agnes D'Entremont;Anoosha Pai Shirvanthe;Anoosha Shirvanthe;Behzad Zakani;Carly Ellen Jones;Carly Jones;Emily Bliven;Emily K. Bliven;Erfan Forghani;Graham Hendra;Jason Boxiao Hu;Jason Hu;Jonathan Nakane;Loay Al-Salehi;Mahsa Khalili;Markus Fengler;Masoud Hejazi;Masoud Malakoutian;Mohammadyousef Azimi;Nasser Arbabi;Peter Ostafichuk;Shayan Fahimi;Zhicheng Wang;Zhihao Wang,125,76.16,8.68201701,96.0,50.0,0,3,1,7,6,12,20,27,29,10,10
UBCV,2019,W,MECH,360,,101,Mechanics of Materials,Arthur Rostami;Masoud Hejazi;Shubham Agarwal;Srikantha Anasavarapu;Xiao Liang Jin,162,72.179012346,14.271068906,100.0,28.0,11,9,10,9,10,21,21,13,18,25,15
UBCV,2020,W,APSC,173,,VE1,Engineering Analysis II,Behzad Zakani;Juan Abello Rubio;Masoud Hejazi;Robert Millar,46,67.369565217,17.081970607,96.0,0.0,6,1,2,4,7,3,7,7,3,3,3
