Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,LING,447,H,001,Topics in Linguistics,Anita Harding;Nigel Howard,31,86.741935484,2.407872393,98.0,86.0,0,0,0,0,0,0,0,0,0,29,2,,,
UBCV,2020,W,ASL,100,,001,American Sign Language and Deaf Culture I,Nigel Howard,30,81.466666667,2.388670577,85.0,74.0,0,0,0,0,0,0,1,4,22,3,0,,,
UBCV,2020,W,ASL,100,,002,American Sign Language and Deaf Culture I,Nigel Howard,28,81.392857143,3.467727249,87.0,72.0,0,0,0,0,0,0,2,5,18,3,0,,,
UBCV,2020,W,ASL,100,,003,American Sign Language and Deaf Culture I,Nigel Howard,28,81.464285714,2.395708244,87.0,77.0,0,0,0,0,0,0,0,7,19,2,0,,,
UBCV,2020,W,ASL,101,,002,American Sign Language and Deaf Culture II,Nigel Howard,25,83.24,4.9689033,88.0,70.0,0,0,0,0,0,1,2,3,7,12,0,,,
UBCV,2021,S,ASL,100,,921,American Sign Language and Deaf Culture I,Nigel Howard,30,85.5,5.975524793,97.0,73.0,0,0,0,0,0,0,1,5,5,13,6,,,
UBCV,2021,S,ASL,101,,921,American Sign Language and Deaf Culture II,Nigel Howard,14,78.285714286,8.80059938,86.0,51.0,0,1,0,0,0,0,2,4,4,3,0,,,
UBCV,2021,S,LING,222,,921,Language Acquisition,Danica Reid;Gina Pineda Mora;Nigel Howard,47,85.978723404,8.463449193,94.0,56.0,0,0,1,0,1,3,0,4,4,13,21,,,
UBCV,2021,W,ASL,100,,001,American Sign Language and Deaf Culture I,Nigel Howard,30,81.233333333,2.595531084,85.0,73.0,0,0,0,0,0,0,1,6,21,2,0,,,
UBCV,2021,W,ASL,100,,002,American Sign Language and Deaf Culture I,Nigel Howard,29,85.379310345,2.769912236,89.0,78.0,0,0,0,0,0,0,0,1,9,19,0,,,
UBCV,2021,W,ASL,100,,003,American Sign Language and Deaf Culture I,Nigel Howard,29,80.655172414,3.073804786,84.0,70.0,0,0,0,0,0,1,1,4,23,0,0,,,
UBCV,2021,W,ASL,101,,002,American Sign Language and Deaf Culture II,Nigel Howard,22,83.909090909,4.492417855,90.0,74.0,0,0,0,0,0,0,2,1,7,11,1,,,
UBCV,2022,S,ASL,100,,921,American Sign Language and Deaf Culture I,Nigel Howard,30,84.4,,89.0,70.0,0,0,0,0,0,1,0,1,9,19,0,85.0,87.0,83.3
UBCV,2022,S,ASL,100,,922,American Sign Language and Deaf Culture I,Nigel Howard,25,83.3,,89.0,74.0,0,0,0,0,0,0,2,2,10,11,0,84.0,86.0,82.0
UBCV,2022,W,ASL,100,,001,American Sign Language and Deaf Culture I,Nigel Howard,37,83.8,,91.0,69.0,0,0,0,0,0,1,1,3,14,17,1,84.0,87.0,83.0
UBCV,2022,W,ASL,100,,002,American Sign Language and Deaf Culture I,Nigel Howard,37,85.1,,92.0,76.0,0,0,0,0,0,0,0,3,13,14,7,85.0,87.0,82.0
UBCV,2022,W,ASL,100,,003,American Sign Language and Deaf Culture I,Nigel Howard,34,83.8,,88.0,75.0,0,0,0,0,0,0,1,3,13,17,0,84.5,86.0,82.3
UBCV,2022,W,ASL,101,,002,American Sign Language and Deaf Culture II,Nigel Howard,33,84.0,,91.0,73.0,0,0,0,0,0,0,2,4,9,16,2,85.0,87.0,83.0
UBCV,2023,S,ASL,100,,921,American Sign Language and Deaf Culture I,Nigel Howard,29,81.86,,87.0,73.0,0,0,0,0,0,0,3,2,19,5,0,82.0,84.0,81.0
UBCV,2023,W,ASL,100,,001,American Sign Language and Deaf Culture I,Nigel Howard,35,82.7,,87.0,73.0,0,0,0,0,0,0,2,4,16,11,0,84.0,86.0,80.0
UBCV,2023,W,ASL,100,,002,American Sign Language and Deaf Culture I,Nigel Howard,35,83.61,,90.0,71.0,0,0,0,0,0,1,2,0,13,16,1,85.0,86.0,83.0
UBCV,2023,W,ASL,100,,003,American Sign Language and Deaf Culture I,Nigel Howard,34,81.88,,88.0,53.0,0,1,0,0,0,0,1,4,16,11,0,83.0,85.0,80.0
UBCV,2023,W,ASL,101,,002,American Sign Language and Deaf Culture II,Nigel Howard,34,78.91,,92.0,0.0,2,0,0,0,0,0,2,6,7,12,4,84.0,87.0,78.0
