Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,FNH,313,,001,Microorganisms in Food Systems,Karen Fong;Keely Johnston;Kristie Keeney;Michael Milillo;Patricia Anne Hingston;Patricia Hingston;Yongting Chen,64,79.046875,7.358031326,89.0,50.0,0,,,,,,6,12,23,15,0
UBCV,2015,S,FNH,200,,942,Exploring Our Food,Aria Shokoohi;Erin Friesen;Mohammad Islam;Patricia Anne Hingston;Patricia Hingston,106,76.11320755,12.74685452,95.0,38.0,,,6,7,7,9,10,9,22,12,18
UBCV,2015,W,FNH,200,,101,Exploring Our Food,Aria Shokoohi;Azita Madadi Noei;Liyun Hsu;Mona Ghanbari;Patricia Anne Hingston;Patricia Hingston,168,75.571428571,14.66045699,100.0,18.0,7,8,6,8,4,16,22,18,28,20,31
UBCV,2015,W,FNH,200,,103,Exploring Our Food,Aria Shokoohi;Azita Madadi Noei;Liyun Hsu;Mona Ghanbari;Patricia Anne Hingston;Patricia Hingston,158,74.651898734,15.643694815,100.0,17.0,6,12,5,13,12,9,15,15,25,15,31
UBCV,2015,W,FNH,313,,001,Microorganisms in Food Systems,Jiaqi Li;Li Ma;Mohammed Hakeem;Nicolas Dimopoulos;Patricia Anne Hingston;Patricia Hingston;Vivien Measday,68,79.088235294,5.871091063,90.0,64.0,0,0,0,0,,,11,17,20,12,
UBCV,2016,S,FNH,200,,921,Exploring Our Food,Aria Shokoohi;Azita Madadi Noei;Parsa Farah Josteh;Patricia Anne Hingston;Patricia Hingston,103,75.21359223,14.6285046,96.0,37.0,3,9,4,8,8,4,7,8,16,15,21
UBCV,2016,S,FNH,200,,942,Exploring Our Food,Aria Shokoohi;Erin Friesen;John Dupuis;John Henry Dupuis;Patricia Anne Hingston;Patricia Hingston,88,72.40909091,15.73898912,98.0,14.0,4,10,6,5,9,5,6,8,10,12,13
UBCV,2016,W,FNH,200,,101,Exploring Our Food,Aria Shokoohi;Azita Madadi Noei;Mona Ghanbari;Parsa Farah Josteh;Patricia Anne Hingston;Patricia Hingston,163,78.40490798,14.465215,99.0,0.0,2,4,7,12,12,10,13,14,22,25,42
UBCV,2016,W,FNH,200,,103,Exploring Our Food,Aria Shokoohi;Azita Madadi Noei;Mona Ghanbari;Parsa Farah Josteh;Patricia Anne Hingston;Patricia Hingston,157,74.80254777,15.63831566,98.0,16.0,4,13,11,9,14,10,7,9,26,28,26
UBCV,2016,W,FNH,313,,001,Microorganisms in Food Systems,Catherine Wai Yee Wong;Catherine Wong;Jonathan Martiniuk;Nicolas Dimopoulos;Patricia Anne Hingston;Patricia Hingston;Vivien Measday;Yue Dai,62,83.19354839,5.574646088,92.0,64.0,0,0,0,0,1,2,3,5,23,22,6
UBCV,2016,W,FNH,425,,001,Food Science Laboratory III,Evan Dean Trofimchuk;Evan Trofimchuk;Imelda Cheung;Jonathan Martiniuk;Kaiwen Mu;Lu Han;Ningjian Liang;Patricia Anne Hingston;Patricia Hingston;Yaxi Hu,29,85.24137931,4.867201986,91.0,73.0,0,0,0,0,0,0,2,1,7,14,5
UBCV,2017,S,FNH,200,,921,Exploring Our Food,Aria Shokoohi;Azita Madadi Noei;Katie Irene Tsoupakis;Katie Tsoupakis;Patricia Anne Hingston;Patricia Hingston,95,76.378947368,15.384559092,99.0,15.0,3,5,5,2,7,7,6,6,20,19,15
UBCV,2017,W,FNH,313,,001,Microorganisms in Food Systems,Catherine Wai Yee Wong;Catherine Wong;Kaidi Wang;Lu Han;Patricia Anne Hingston;Patricia Hingston;Vivien Measday;Yvonne Ma,83,81.337349398,7.153844452,93.0,64.0,0,0,0,0,5,4,7,16,21,18,12
UBCV,2017,W,FNH,425,,001,Food Science Laboratory III,Evan Trofimchuk;John Dupuis;John Henry Dupuis;Lu Han;Patricia Anne Hingston;Patricia Hingston;Shaolong Feng;Yaxi Hu,26,87.0,3.370459909,92.0,81.0,0,0,0,0,0,0,0,0,6,12,8
