Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,EOSC,442,,101,Climate Measurement and Analysis,Johanand Gilchrist;Katarina Kusa;Michael Lipsen;Tara Howatt,28,78.071428571,7.044454459,87.0,55.0,0,0,1,0,0,4,2,6,10,5,0
UBCV,2018,W,EOSC,442,,201,Climate Measurement and Analysis,Lian Kwong;Michael Lipsen;Tara Howatt;Tereza Jarnikova,43,80.674418605,6.906590814,92.0,67.0,0,0,0,0,1,5,7,6,10,10,4
UBCV,2019,W,EOSC,112,,201,The Fluid Earth: Atmosphere and Ocean,Elisabeth Giroud;Roger Francois;Stephanie Block;Tara Howatt;Yulia Egorova,168,84.0,14.842889788,100.0,13.0,5,3,2,4,7,9,9,11,18,20,80
UBCV,2019,W,EOSC,314,,99A,The Ocean Environment,Leah May Ver;Nikolaos Simantiris;Tara Howatt,63,72.349206349,14.820603281,94.0,0.0,3,0,2,6,6,8,7,8,12,7,4
UBCV,2019,W,EOSC,373,,201,Introductory Oceanography: Climate and Ecosystems,Benjamin Moore Malley;Genevieve Patton;Kristina Brown;Maria Maldonado-Pareja;Richard Pawlowicz;Roger Francois;Stephanie Block;Tara Howatt,60,74.65,13.17267974,97.0,46.0,1,6,3,3,2,8,8,3,8,8,10
UBCV,2019,W,EOSC,471,,101,"Waves, Currents and Ocean Mixing",Richard Pawlowicz;Susan Elizabeth Allen;Tara Howatt,9,79.0,6.652067348,84.0,64.0,0,0,0,0,1,0,1,1,6,0,0
UBCV,2020,S,ATSC,113,,971,Applied Meteorology,Douglas Mccollor;Florian Luskow;Gunho Oh;James Nott;Roland Stull;Shumin Li;Sofie Agger;Tara Howatt,470,94.082978723,8.29721918,100.0,10.0,2,1,1,1,2,5,4,2,9,44,399
UBCV,2020,S,ATSC,113,,98A,Applied Meteorology,Douglas Mccollor;Florian Luskow;Gunho Oh;James Nott;Roland Stull;Shumin Li;Sofie Agger;Tara Howatt,246,92.243902439,11.431315002,100.0,0.0,4,0,1,0,1,0,2,6,20,25,187
UBCV,2020,S,EOSC,116,,98A,Mesozoic Earth: Time of the Dinosaurs.,Louise Longridge;Ryan Shaw;Tara Howatt,217,79.594470046,14.796507559,99.0,3.0,8,5,9,8,11,7,19,14,22,48,66
UBCV,2020,W,ASIC,200,,BA2,Global Issues in the Arts and Sciences,Allen Sens;David Ng;Gyles Ifill;Tara Howatt,43,84.953488372,7.846605236,94.0,65.0,0,0,0,0,1,1,6,1,7,10,17
UBCV,2020,W,EOSC,211,,101,"Computer Methods in Earth, Ocean and Atmospheric Sciences",Catherine Johnson;Eldad Haber;Georgia Peterson;Gunho Oh;Philip Austin;Richard Pawlowicz;Samuel Stevens;Tara Howatt,95,80.052631579,12.447650741,98.0,24.0,4,1,0,0,3,7,8,15,20,18,19
UBCV,2020,W,EOSC,373,,201,Introductory Oceanography: Climate and Ecosystems,Genevieve Patton;Kristin Orians;Kristina Brown;Lori-Jon Waugh;Maria Maldonado-Pareja;Richard Pawlowicz;Stephanie Block;Tara Howatt,54,78.407407407,11.342886589,95.0,59.0,0,0,1,8,2,7,3,3,10,10,10
UBCV,2020,W,EOSC,471,,101,"Waves, Currents and Ocean Mixing",Richard Pawlowicz;Susan Elizabeth Allen;Tara Howatt,11,85.0,8.111719916,97.0,71.0,0,0,0,0,0,1,0,2,2,3,3
UBCV,2021,S,ATSC,113,,971,Applied Meteorology,Andrew Loeppky;Douglas Mccollor;Eliott Roocroft;Florian Luskow;Gabriela Racz;Jingrong Lin;Marion Nyberg;Roland Stull;Tara Howatt;Xinru Li;Yuanji Sun,337,86.890207715,13.432031023,100.0,0.0,8,0,1,2,2,7,15,17,30,70,185
UBCV,2021,S,ATSC,113,,98A,Applied Meteorology,Andrew Loeppky;Douglas Mccollor;Eliott Roocroft;Florian Luskow;Gabriela Racz;Jingrong Lin;Marion Nyberg;Roland Stull;Tara Howatt;Xinru Li;Yuanji Sun,82,89.292682927,13.150118814,100.0,38.0,3,0,0,0,1,3,2,4,9,6,54
