Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,COMM,293,,101,Financial Accounting,Anthea Low;Carson Chan;Dabir Rashid;Ee Huan Chow;Elyse Milanese;Hayden Amundson;Kai Kei Chris Ting;Kathy Huang;Kayla Siu;Kimberly Shun Ping Chang;Kimberly Shun-Ping Chang;Laura Schoenherr;Patricia Mallia;Vishal Shangari;Ying Sheng Peter Lai;Yu Lin Huang,223,70.865470852,13.306498468,96.0,33.0,11,10,14,36,19,25,27,14,27,17,23
UBCV,2015,W,COMM,293,,102,Financial Accounting,Anthea Low;Carson Chan;Dabir Rashid;Ee Huan Chow;Elyse Milanese;Hayden Amundson;Kai Kei Chris Ting;Kathy Huang;Kayla Siu;Kimberly Shun Ping Chang;Kimberly Shun-Ping Chang;Laura Schoenherr;Patricia Mallia;Vishal Shangari;Ying Sheng Peter Lai;Yu Lin Huang,219,75.703196347,13.757684719,100.0,32.0,7,10,12,16,14,23,15,15,42,23,42
UBCV,2015,W,COMM,293,,103,Financial Accounting,Anthea Low;Carson Chan;Dabir Rashid;Ee Huan Chow;Elyse Milanese;Hayden Amundson;Kai Kei Chris Ting;Kathy Huang;Kayla Siu;Kimberly Shun Ping Chang;Kimberly Shun-Ping Chang;Laura Schoenherr;Patricia Mallia;Vishal Shangari;Ying Sheng Peter Lai;Yu Lin Huang,216,69.87962963,14.518131466,100.0,28.0,15,12,17,34,14,25,24,15,24,14,22
UBCV,2015,W,COMM,294,,202,Managerial Accounting,Anthea Low;Ee Huan Chow;Elyse Milanese;Hayden Amundson;Kathy Huang;Kayla Siu;Kimberly Shun Ping Chang;Kimberly Shun-Ping Chang;Robert Jackes;Ying Sheng Peter Lai;Yu Lin Huang,229,75.406113537,12.553959227,97.0,35.0,14,5,7,9,9,33,19,21,56,31,25
UBCV,2015,W,COMM,294,,203,Managerial Accounting,Anthea Low;Ee Huan Chow;Elyse Milanese;Hayden Amundson;Kathy Huang;Kayla Siu;Kimberly Shun Ping Chang;Kimberly Shun-Ping Chang;Robert Jackes;Ying Sheng Peter Lai;Yu Lin Huang,237,73.299578059,11.678556686,95.0,40.0,8,5,16,19,22,33,19,24,49,28,14
UBCV,2016,W,COMM,293,,101,Financial Accounting,Alison Chan;Carson Chan;Christie Chau;Christie Yuen Yee Chau;Ee Huan Chow;Kar Hong Hui;Kathy Huang;Laura Schoenherr;Patricia Mallia;Philip Michael Monagan;Philip Monagan;Saxon Yeung;Shang Yu Liu;Tsz Hei Mak;Yi Liu;Yu Lin Huang;Zhi Feng Chen,185,71.81081081,16.0377236,100.0,25.0,16,13,15,13,10,12,18,14,24,25,25
UBCV,2016,W,COMM,293,,102,Financial Accounting,Alison Chan;Carson Chan;Christie Chau;Christie Yuen Yee Chau;Ee Huan Chow;Kar Hong Hui;Kathy Huang;Laura Schoenherr;Patricia Mallia;Philip Michael Monagan;Philip Monagan;Saxon Yeung;Shang Yu Liu;Tsz Hei Mak;Yi Liu;Yu Lin Huang;Zhi Feng Chen,203,74.33990148,13.2514798,100.0,30.0,7,6,10,22,12,22,22,19,33,24,26
UBCV,2016,W,COMM,293,,103,Financial Accounting,Alison Chan;Carson Chan;Christie Chau;Christie Yuen Yee Chau;Ee Huan Chow;Kar Hong Hui;Kathy Huang;Laura Schoenherr;Patricia Mallia;Philip Michael Monagan;Philip Monagan;Saxon Yeung;Shang Yu Liu;Tsz Hei Mak;Yi Liu;Yu Lin Huang;Zhi Feng Chen,153,68.34640523,16.41457963,98.0,0.0,15,12,12,12,14,18,16,15,13,10,16
UBCV,2016,W,COMM,294,,202,Managerial Accounting,Alison Chan;Anthea Low;Christie Chau;Christie Yuen Yee Chau;Kar Hong Hui;Kathy Huang;Philip Michael Monagan;Philip Monagan;Robert Jackes;Saxon Yeung;Tsz Hei Mak;Yu Lin Huang;Zhi Feng Chen,217,74.41013825,12.48786405,100.0,30.0,9,4,13,12,13,28,33,24,31,27,23
UBCV,2016,W,COMM,294,,203,Managerial Accounting,Alison Chan;Anthea Low;Christie Chau;Christie Yuen Yee Chau;Kar Hong Hui;Kathy Huang;Philip Michael Monagan;Philip Monagan;Robert Jackes;Saxon Yeung;Tsz Hei Mak;Yu Lin Huang;Zhi Feng Chen,187,72.01069519,13.6810792,100.0,20.0,15,2,15,18,20,21,17,13,29,22,15
UBCV,2017,W,BAAC,550,,MM1,Foundations in  Accounting,Robert Jackes;Yu Lin Huang,38,80.921052632,7.806378469,94.0,62.0,0,0,0,2,0,2,5,3,14,6,6
UBCV,2017,W,BAAC,551,,817,Foundations in Accounting II,Robert Jackes;Yu Lin Huang,25,81.88,8.804922865,94.0,68.0,0,0,0,0,0,5,3,1,6,4,6
UBCV,2017,W,BAAC,551,,MM1,Foundations in Accounting II,Robert Jackes;Yu Lin Huang,39,80.871794872,5.400679719,88.0,68.0,0,0,0,0,0,3,4,4,16,12,0
UBCV,2017,W,COMM,293,,101,Financial Accounting,Christie Chau;Christie Yuen Yee Chau;Jeremy Fung;Julia Hoy Ying Wong;Julia Wong;Kejin Pan;Omar Dhanani;Philip Michael Monagan;Philip Monagan;Rachael Chan;Rachael Michelle Chan;Rajesh Vijayaraghavan;Steven Trinh;Xin Zheng;Yiming Kong;Yu Lin Huang;Zhi Feng Chen,216,72.944444444,13.34712465,100.0,37.0,9,12,10,22,15,31,25,18,32,15,27
UBCV,2017,W,COMM,293,,102,Financial Accounting,Christie Chau;Christie Yuen Yee Chau;Jeremy Fung;Julia Hoy Ying Wong;Julia Wong;Kejin Pan;Omar Dhanani;Philip Michael Monagan;Philip Monagan;Rachael Chan;Rachael Michelle Chan;Rajesh Vijayaraghavan;Steven Trinh;Xin Zheng;Yiming Kong;Yu Lin Huang;Zhi Feng Chen,213,73.96713615,12.916781894,100.0,42.0,11,9,6,17,21,21,23,25,35,16,29
UBCV,2017,W,COMM,293,,103,Financial Accounting,Christie Chau;Christie Yuen Yee Chau;Jeremy Fung;Julia Hoy Ying Wong;Julia Wong;Kejin Pan;Omar Dhanani;Philip Michael Monagan;Philip Monagan;Rachael Chan;Rachael Michelle Chan;Rajesh Vijayaraghavan;Steven Trinh;Xin Zheng;Yiming Kong;Yu Lin Huang;Zhi Feng Chen,211,72.289099526,13.315827483,100.0,39.0,13,10,12,21,17,24,22,20,31,17,24
