Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,LIBR,524,,901,LIT&OTH MAT Y PL,"Henderson, Susan",8,82.38,3.5,86,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0
UBC,2002,W,LIBR,579,E,902,MGMT LIB & ARCHV,"Henderson, Susan",24,80.05,2.73,84,75,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,0,0
UBC,2002,W,NURS,503,,002,CNC KNW CLN NURS,"Henderson, Angela",18,79.72,4.84,87,71,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,9,2,0
UBC,2002,W,NURS,550,,001,QUAL RES MTHDS,"Henderson, Angela",13,79.77,3.09,83,75,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,0,0
UBC,2002,W,NURS,609,,002,PHIL NURS SC II,"Henderson, Angela",6,84.5,8.17,94,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2
UBC,2003,W,NURS,503,,002,CNC KNW CLN NURS,"Henderson, Angela",24,75.86,5.6,83,60,22,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,6,4,8,0,0
UBC,2003,W,NURS,609,,002,PHIL NURS SC II,"Henderson, Angela",5,86.2,5.17,95,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
UBC,2005,W,LIBR,579,D,002,MGMT LIB & ARCHV,"Henderson, Susan",26,88.04,5.83,97,75,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,9
UBC,2005,W,NURS,501,,002,TH&CRT THNK NURS,"Henderson, Angela",12,77.5,4.15,84,70,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,0
UBC,2005,W,NURS,581,,002,GENEALOGY NURS,"Henderson, Angela;Thorne, Sally",5,76.6,11.52,88,60,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0
UBC,2006,W,NURS,501,,99A,TH&CRT THNK NURS,"Henderson, Angela",11,79.91,4.78,86,72,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,2,0
UBC,2006,W,NURS,581,,002,GENEALOGY NURS,"Henderson, Angela;Thorne, Sally",5,82,4.95,88,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0
UBC,2007,W,NURS,450,,001,INTRO RSRCH UTIL,"Henderson, Angela",58,78.33,4.25,88,70,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,21,19,5,0
UBC,2007,W,NURS,580,,001,PHIL EVIDENCE,"Henderson, Angela;Thorne, Sally",9,81.63,5.9,87,71,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0
UBC,2007,W,NURS,581,,002,GENEALOGY NURS,"Henderson, Angela;Thorne, Sally",8,86.25,3.2,89,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
UBC,2009,W,NURS,340,,002,LDRSHP ETHCS POL,"Canam, Connie Joan;Clauson, Marion;Henderson, Angela",89,85.99,3.99,94,76,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,45,15
UBC,2009,W,NURS,580,,001,PHIL EVIDENCE,"Henderson, Angela;Rodney, Patricia",6,74.8,4.44,82,70,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0
UBC,2010,W,CRWR,202,,002,INTR CR WRITING,"Henderson, Lee",170,72.39,14.91,93,0,157,7,4,1,0,2,1,1,3,0,7,6,4,10,9,20,32,30,20,18,8
UBC,2010,W,CRWR,409,C,002,WRITING FICTION,"Henderson, Lee;Svendsen, Linda",15,89.13,1.68,92,86,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
UBC,2010,W,CRWR,409,E,004,WRITING FICTION,"Henderson, Lee",17,88.65,4.58,94,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,9
UBC,2010,W,CRWR,409,F,005,WRITING FICTION,"Henderson, Lee",16,90.53,2,94,85,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
UBC,2010,W,NURS,502,,99C,ETHC&POLTC NURS,"Henderson, Angela",8,76.75,5.52,82,68,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0
UBC,2010,W,NURS,580,,001,PHIL EVIDENCE,"Henderson, Angela",6,81.17,6.08,87,73,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0
UBC,2014,W,SPPH,567,,002,Q MTHDS EXP DATA,"Henderson, Sarah",11,83.55,4.01,90,77,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1
UBC,2015,W,SPPH,567,,002,Q MTHDS EXP DATA,"Henderson, Sarah",12,83.58,5.9,91,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,2
UBC,2015,W,THTR,120,,001,INTRO TO THEATRE,"Henderson, Julia",45,73.05,16.03,94,11,40,2,1,0,1,0,1,1,0,0,2,2,0,5,4,2,4,5,11,4,3
UBC,2016,W,SPPH,567,,002,Q MTHDS EXP DATA,"Henderson, Sarah",14,83.07,3.83,88,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,0
UBC,2016,W,SPPH,581,A,001,SELECTED TOPICS,"Henderson, Sarah",35,88,5.3,98,77,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,15
UBC,2016,W,THTR,474,,001,ADV SPCH&MOVE II,"Henderson, Adam",12,86.5,3.32,94,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2
