Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,ANTH,227,,001,CULT HEALTH ILL,"Henrich, Natalie",71,71.04,10.65,90,46,66,2,0,3,0,0,0,0,0,2,2,4,5,3,7,12,12,6,11,5,1
UBC,2006,W,ANTH,227,,002,CULT HEALTH ILL,"Henrich, Natalie;Small, Robert",89,66.32,17.38,94,0,78,10,1,0,0,2,2,0,2,4,10,1,12,10,5,11,9,10,13,6,1
UBC,2006,W,PSYC,205,,005,CONT ISS PSYCH,"Henrich, Joseph",114,64.86,14.43,90,0,103,9,2,0,0,1,0,1,2,5,9,15,13,17,10,12,6,11,11,7,1
UBC,2007,W,ECON,234,,001,WEA POV NATION,"Henrich, Joseph",97,72.96,12.69,93,10,92,4,1,0,0,0,1,1,1,1,4,1,2,5,12,10,17,17,14,12,2
UBC,2007,W,PSYC,358,,001,EVOLUTNARY PSYCH,"Henrich, Joseph",98,72.78,13.3,99,15,94,3,1,0,0,0,1,0,0,2,3,5,4,10,10,12,10,11,12,11,9
UBC,2009,W,ECON,590,B,003,SPEC ADV CRSE,"Henrich, Joseph",6,,,,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2009,W,PSYC,358,,001,EVOLUTNARY PSYCH,"Henrich, Joseph",88,71.64,13.59,95,38,77,7,3,1,0,0,0,0,1,6,7,3,7,4,10,9,9,8,8,13,6
UBC,2009,W,PSYC,529,,003,TPC SOCIAL PSYC,"Henrich, Joseph",8,89.63,6.74,100,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
UBC,2009,W,SPHA,553,,501,PROG PLAN & EVAL,"Henrich, Natalie",26,80.96,5.98,91,69,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,4,3
UBC,2010,W,ECON,234,,001,WEA POV NATION,"Henrich, Joseph",94,74.57,16.5,98,0,87,5,2,0,0,2,1,0,1,1,5,4,1,2,3,7,13,15,21,17,4
UBC,2010,W,PSYC,407,,901,COGNITN&CULTURE,"Henrich, Joseph",20,78.21,9.82,91,51,19,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,6,3,2
UBC,2010,W,SPHA,553,,501,PROG PLAN & EVAL,"Henrich, Natalie",29,83.14,3.46,90,77,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,9,1
UBC,2011,W,PSYC,529,,001,TPC SOCIAL PSYC,"Henrich, Joseph",7,87.83,3.76,92,82,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
UBC,2011,W,SPHA,553,,501,PROG PLAN & EVAL,"Henrich, Natalie",29,82.52,4.91,90,72,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,11,1
UBC,2012,W,SPHA,553,,501,PROG PLAN & EVAL,"Henrich, Natalie",37,86.33,3.09,91,81,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,5
UBC,2013,W,SPHA,553,,501,PROG PLAN & EVAL,"Henrich, Natalie",40,85.15,4.67,90,73,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,24,4
UBC,2014,W,ECON,234,,003,WEA POV NATION,"Henrich, Joseph",74,76.18,11.45,91,36,71,2,0,1,0,0,0,0,1,1,2,2,1,3,10,5,3,10,16,20,1
UBC,2014,W,PSYC,205,A,001,CONT ISS PSYCH,"Henrich, Joseph",64,73.62,13.05,91,17,61,2,1,0,0,0,1,0,0,1,2,1,5,5,3,9,5,9,10,12,2
UBC,2014,W,SPHA,553,,501,PROG PLAN & EVAL,"Henrich, Natalie",32,82.16,3.43,88,74,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,19,8,0
