Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ARST,575,B,901,TPCS MGMT RECRDS,"Forsyth, Ian",13,77.92,5.79,86,70,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,5,1,0
UBC,2002,W,CPSC,124,,101,PRINCPLS CPSC I,"Cavers, Ian",134,70.38,18.89,100,18,104,18,4,0,8,0,3,1,3,11,18,7,7,5,10,9,13,3,16,14,20
UBC,2002,W,CPSC,220,,202,INTRO DISCR STRU,"Cavers, Ian",123,69.38,12.74,100,45,110,9,0,0,4,0,0,0,0,9,9,4,9,19,13,13,17,11,10,5,9
UBC,2002,W,GEOG,102,,101,INT PHY GEOG:A&W,"Hertzman, Owen;McKendry, Ian",199,69.74,10.57,93,13,190,3,5,0,1,0,1,0,1,1,3,9,12,27,18,34,30,17,36,6,1
UBC,2002,W,GEOG,102,,104,INT PHY GEOG:A&W,"Hertzman, Owen;McKendry, Ian",212,69.62,10,92,31,205,3,3,0,1,0,0,0,3,0,3,7,22,26,15,42,30,30,21,10,2
UBC,2002,W,GEOG,200,,101,Atmos Environs,"McKendry, Ian;Oke, Timothy",93,69.22,13.24,92,24,82,6,2,0,3,0,0,1,3,2,6,3,4,7,16,7,16,10,8,5,6
UBC,2002,W,GEOG,210,,101,VANC AND REGION,"Hermansen, Sally;McKendry, Ian",93,70.71,9.02,86,36,91,2,0,0,0,0,0,0,1,1,2,1,5,11,8,17,20,11,16,2,0
UBC,2002,W,GEOG,309,,201,PHYS GEOG FIELD,"Bovis, Michael J;Daniels, Lori;Henry, Gregory H;McKendry, Ian",8,74,12.15,83,45,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,3,0,0
UBC,2002,W,GEOG,500,,101,CNTP RS TRDS PHY,"Henry, Gregory H;McKendry, Ian",8,82.25,2.92,87,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0
UBC,2002,W,HIST,425,,901,MOD WAR& SOCIETY,"Slater, Ian",49,69.02,13.37,97,32,41,3,5,0,0,0,0,0,1,2,3,4,2,4,4,8,4,4,7,3,1
UBC,2002,W,HKIN,368,,001,MTR SKLL LRN&PRF,"Franks, Ian",107,69.87,11.71,92,17,103,4,0,0,0,0,2,0,0,2,4,3,7,11,11,16,14,18,18,4,1
UBC,2002,W,HKIN,463,,001,PHYSLGY EXERCISE,"*Hodges, Alastair;*Stewart, Ian;McKenzie, Donald",100,75.6,11.64,93,26,98,2,0,0,0,0,0,1,0,1,2,3,4,5,8,8,10,11,27,17,5
UBC,2002,W,HKIN,570,,001,RES MTHDS HKIN,"Crocker, Peter;Franks, Ian",6,88.33,1.75,90,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
UBC,2002,W,IEST,541,,101,pol legal fnd eu,"Townsend-Gault, Ian",9,83.56,3.4,88,77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0
UBC,2002,W,MATH,519,,201,FLUID MECH'S I,"Frigaard, Ian",6,71,31.02,88,16,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0
