Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2015,W,PHYS,102,,001,"Electricity, Light, and Radiation",Charles Jolin-Landry;Jeffrey Krupa;John Hopkinson;Lindsey Reinholz;Morgan Alford;Xing Ai,192,70.541666667,14.329274152,99.0,0.0,12,2,16,14,18,30,24,25,30,13,8
UBCO,2015,W,PHYS,111,,001,Calculus-Based Physics I,Charles Jolin-Landry;Jake Bobowski;Jeffrey Krupa;Raafa Abdulla,143,69.797202797,16.021798285,100.0,21.0,21,3,11,4,16,16,13,16,15,13,15
UBCO,2015,W,PHYS,112,,001,Introductory Physics I,Charles Jolin-Landry;John Hopkinson;Raafa Abdulla,159,71.830188679,11.999054576,93.0,18.0,10,2,12,11,11,20,31,19,20,19,4
UBCO,2015,W,PHYS,122,,001,Introductory Physics II,Andrew Ogilvy;Bellecia Seguin;Ben Tippett;Boyi Chen;Charles Jolin-Landry;Lindsey Reinholz;Morgan Alford;Ngoc Hieu Hoang;Shannon Macgillivray;Xing Ai,189,72.645502646,18.085383877,100.0,1.0,24,3,10,12,14,20,16,14,20,17,39
UBCO,2015,W,PHYS,122,,002,Introductory Physics II,Andrew Ogilvy;Bellecia Seguin;Ben Tippett;Boyi Chen;Charles Jolin-Landry;Lindsey Reinholz;Morgan Alford;Shannon Macgillivray;Xing Ai,98,77.132653061,15.651907927,100.0,7.0,4,6,6,4,4,6,8,9,13,19,19
UBCO,2016,W,PHYS,111,,001,Calculus-Based Physics I,Ben Tippett;Charles Jolin-Landry;Morgan Alford;Robert Lalonde;Sebastian Cardoch,190,73.07894737,14.82986687,100.0,0.0,18,7,3,9,18,23,22,18,33,16,23
UBCO,2016,W,PHYS,111,,002,Calculus-Based Physics I,Ben Tippett;Charles Jolin-Landry;Morgan Alford;Sean Blackmore;Sebastian Cardoch,117,72.48717949,15.74616285,98.0,0.0,13,3,6,3,11,14,12,14,15,15,11
UBCO,2018,W,MATH,111,,101,Finite Mathematics,Charles Jolin-Landry;Edward Butz,74,66.202702703,21.425870759,100.0,0.0,7,9,8,5,8,7,7,1,7,5,10
UBCO,2018,W,MATH,116,,001,Calculus I for Management and Economics,Brooke Kwan;Charles Jolin-Landry;Drue Julien;Edward Butz;Hyolim Lee;Olivia Marleau;Vanessa White;Xinyu Zhang;You Rao,214,65.775700935,19.353547023,99.0,0.0,28,23,17,16,21,16,19,20,24,13,17
UBCO,2018,W,MATH,221,,101,Matrix Algebra,Charles Jolin-Landry;Donovan Hare;Gabriel Jarry-Bolduc;Geoff Goetz;Hui Ouyang;Maryam Sadeghi,172,66.581395349,17.469080532,99.0,0.0,20,10,14,21,17,25,10,18,9,14,14
UBCO,2018,W,MATH,340,,001,Introduction to Linear Programming,Charles Jolin-Landry;Donovan Hare,36,73.25,16.888499891,98.0,37.0,2,5,0,2,5,1,4,3,2,6,6
UBCO,2019,W,MATH,221,,101,Matrix Algebra,Charles Jolin-Landry;Donovan Hare,155,69.987096774,17.891442886,98.0,12.0,17,12,9,11,12,12,16,10,21,15,20
UBCO,2019,W,MATH,340,,001,Introduction to Linear Programming,Charles Jolin-Landry;Donovan Hare;Warren Hare,46,68.543478261,17.285455057,94.0,24.0,6,4,1,2,8,4,5,3,6,2,5
UBCO,2019,W,PHYS,122,,101,Introductory Physics for the Life Sciences II,Alejandra Fuentes Nunez;Andrew Ogilvy;Araz Sholehkerdar;Biswapriyo Chakrabarty;Bradley Reinholz;Charles Jolin-Landry;Conor Smith;David Hallinen;Gabriel Jarry-Bolduc;Geoff Goetz;John Hopkinson;Leah Hamill;Madeleine Czechowski;Manish Krishan Lal;Maria Guenter;Maryam Sadeghi;Michael Gowe;Nusrat Momo;Patrick Nadeau;Phillip Shreeves;Sayra Gorgani;Stephen Collins;Xiaoying Zhang;Xinchen Deng,204,74.18627451,9.895742621,98.0,43.0,1,2,13,15,20,24,38,31,27,24,9
UBCO,2019,W,PHYS,122,,102,Introductory Physics for the Life Sciences II,Alejandra Fuentes Nunez;Andrew Ogilvy;Araz Sholehkerdar;Biswapriyo Chakrabarty;Bradley Reinholz;Charles Jolin-Landry;Conor Smith;David Hallinen;Gabriel Jarry-Bolduc;Geoff Goetz;Hadi Hairi;John Hopkinson;Leah Hamill;Manish Krishan Lal;Maria Guenter;Maryam Sadeghi;Nathan Nichol;Nusrat Momo;Patrick Nadeau;Phillip Shreeves;Sayra Gorgani;Stephen Collins;Xiaoying Zhang;Xinchen Deng;Yas Yamin,114,73.035087719,12.450915895,100.0,34.0,5,2,8,5,13,16,16,15,15,9,10
