Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2015,W,NURS,424,,002,Clincial Nursing Focus: Individuals and Families with  Mental Health Concerns,Beverley Valkenier;Cathryn Jackson;Emily Jenkins;Emily Ochi;Farah Jetha;Fay Warnock;Jonathan Mislang;Kathryn Browning;Yueh-Hsin Feist,12,85.083333333,2.429303429,90.0,81.0,0,0,0,0,0,0,0,0,,8,,,,
UBCV,2016,S,NURS,335,,945,Professional Nursing Practice with Adults Living with Mental Illness and their Families,Alice Slemon;Beverley Valkenier;Cathryn Jackson;Emily Jenkins;Emily Ochi;Jonathan Mislang;Kathryn Browning;Kelly Davison;Michelle Danda,19,81.73684211,7.038324495,96.0,69.0,0,0,0,0,0,1,2,5,4,4,3,,,
UBCV,2016,S,NURS,335,,946,Professional Nursing Practice with Adults Living with Mental Illness and their Families,Alice Slemon;Beverley Valkenier;Cathryn Jackson;Emily Jenkins;Emily Ochi;Jonathan Mislang;Kelly Davison;Marlee Groening;Michelle Danda,19,77.57894737,4.233671764,83.0,69.0,0,0,0,0,0,2,3,7,7,0,0,,,
UBCV,2016,W,NURS,335,,204,Professional Nursing Practice with Adults Living with Mental Illness and their Families,Alice Slemon;Beverley Valkenier;Cathryn Jackson;Cecilia Joss;Emily Jenkins;Emily Ochi;Geertje Boschma;Jonathan Mislang;Kelli Walsh;Kelly Davison,20,81.5,5.960395607,90.0,69.0,0,0,0,0,0,2,1,3,7,6,1,,,
UBCV,2016,W,NURS,335,,401,Professional Nursing Practice with Adults Living with Mental Illness and their Families,Alice Slemon;Beverley Valkenier;Cathryn Jackson;Cecilia Joss;Emily Jenkins;Emily Ochi;Geertje Boschma;Jonathan Mislang;Kathryn Browning;Michelle Danda,20,85.5,7.904029619,100.0,68.0,0,0,0,0,0,1,0,4,2,8,5,,,
UBCV,2016,W,NURS,335,,402,Professional Nursing Practice with Adults Living with Mental Illness and their Families,Alice Slemon;Beverley Valkenier;Cathryn Jackson;Cecilia Joss;Emily Jenkins;Emily Ochi;Jonathan Mislang;Kathryn Browning;Michelle Danda,19,84.36842105,8.603684781,100.0,68.0,0,0,0,0,0,1,0,4,8,1,5,,,
UBCV,2016,W,NURS,424,,002,Clincial Nursing Focus: Individuals and Families with  Mental Health Concerns,Alice Slemon;Beverley Valkenier;Cathryn Jackson;Emily Jenkins;Emily Ochi;Jonathan Mislang;Stephanie Victoria,13,89.76923077,4.399883448,97.0,82.0,0,0,0,0,0,0,0,0,3,1,9,,,
UBCV,2017,S,NURS,335,,945,Professional Nursing Practice with Adults Living with Mental Illness and their Families,Beverley Valkenier;Cathryn Jackson;Elysia Hartley;Emily Jenkins;Emily Ochi;Emma Ferguson;Geertje Boschma;Jonathan Mislang;Sukhjit Brar,20,85.3,4.231461114,93.0,77.0,0,0,0,0,0,0,0,3,3,12,2,,,
UBCV,2017,S,NURS,335,,946,Professional Nursing Practice with Adults Living with Mental Illness and their Families,Beverley Valkenier;Cathryn Jackson;Elysia Hartley;Emily Jenkins;Emily Ochi;Emma Ferguson;Geertje Boschma;Jonathan Mislang;Kelli Walsh;Sukhjit Brar,20,82.45,4.968055852,91.0,72.0,0,0,0,0,0,0,2,1,11,5,1,,,
UBCV,2017,W,NURS,424,,002,Clincial Nursing Focus: Individuals and Families with  Mental Health Concerns,Beverley Valkenier;Cathryn Jackson;Emily Jenkins;Emily Ochi;Jonathan Mislang;Kathryn Browning;Michelle Danda,13,88.153846154,6.706292491,97.0,70.0,0,0,0,0,0,1,0,0,1,6,5,,,
UBCV,2018,W,NURS,303,,001,Theoretical Perspectives in Nursing: People Living with Mental Health Challenges and Their Families,Elisabeth Bailey;Elsie Tan;Emily Jenkins;Nancy Mahy;Ziqian Jiao,117,89.47008547,4.105447705,96.0,73.0,0,0,0,0,0,0,1,1,9,47,59,,,
UBCV,2020,W,NURS,303,,001,Theoretical Perspectives in Nursing: People Living with Mental Health Challenges and Their Families,Caitlyn Cater;Dalbir Mann;Elisabeth Bailey;Elsie Tan;Emily Jenkins;Frances Affleck;Geertje Boschma;Nancy Mahy;Ranjit Kaur Dhari;Saima Hirani;Sheila Mary Mcburney;Sue Foster;Tatijana Dunat,112,91.741071429,2.830800784,97.0,84.0,0,0,0,0,0,0,0,0,1,25,86,,,
UBCV,2020,W,NURS,303,,002,Theoretical Perspectives in Nursing: People Living with Mental Health Challenges and Their Families,Caitlyn Cater;Elsie Tan;Emily Jenkins;Frances Affleck;Geertje Boschma;Nancy Mahy;Ranjit Kaur Dhari;Saima Hirani,61,90.868852459,2.777741348,96.0,83.0,0,0,0,0,0,0,0,0,2,16,43,,,
