Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,FNH,250,,001,Nutrition Concepts and Controversies,Alejandra Marcela Wiedeman Manriquez;Alejandra Wiedeman Manriquez;Gail Hammond;Joelle Erika Jacobsen;Joelle Jacobsen;Lynda Selene Soberanes Garcia,88,73.03409091,13.37130988,92.0,11.0,5,,,5,9,6,13,16,14,12,
UBCV,2014,W,FNH,250,,004,Nutrition Concepts and Controversies,Carla Obando;Joelle Erika Jacobsen;Joelle Jacobsen;Nooshin Alizadeh Pasdar,89,73.86516854,8.780390097,92.0,42.0,,,,6,10,15,16,17,10,11,
UBCV,2015,S,FNH,250,,920,Nutrition Concepts and Controversies,Danielle Sanders;Gail Hammond;Joelle Erika Jacobsen;Joelle Jacobsen,44,79.88636364,10.93366023,94.0,30.0,,,,,,,,8,7,15,
UBCV,2015,S,FNH,250,,98A,Nutrition Concepts and Controversies,Joelle Erika Jacobsen;Joelle Jacobsen;Nooshin Alizadeh Pasdar,39,78.05128205,9.34696325,92.0,50.0,0,,,,,,,9,12,7,
UBCV,2015,W,FNH,250,,001,Nutrition Concepts and Controversies,Claudia Wong;Gail Hammond;Joelle Erika Jacobsen;Joelle Jacobsen;Soleina Maherali,87,74.666666667,10.706080284,94.0,45.0,,,,5,11,10,11,12,14,11,6
UBCV,2015,W,FNH,250,,002,Nutrition Concepts and Controversies,Alejandra Marcela Wiedeman Manriquez;Alejandra Wiedeman Manriquez;Claudia Wong;Gail Hammond;Joelle Erika Jacobsen;Joelle Jacobsen,74,76.486486486,9.956402557,93.0,42.0,,,,,5,12,7,14,11,10,8
UBCV,2015,W,FNH,250,,003,Nutrition Concepts and Controversies,Gail Hammond;Joelle Erika Jacobsen;Joelle Jacobsen;Laurel Burton;Manpreet Gill;Manpreet Kaur Gill,42,75.595238095,10.624544808,91.0,42.0,,,,,,,6,6,10,5,
UBCV,2015,W,FNH,250,,99A,Nutrition Concepts and Controversies,Joelle Erika Jacobsen;Joelle Jacobsen;Nooshin Alizadeh Pasdar,31,77.290322581,10.060462376,92.0,41.0,,,,,,,5,,10,5,
UBCV,2015,W,FNH,250,,99C,Nutrition Concepts and Controversies,Joelle Erika Jacobsen;Joelle Jacobsen;Nooshin Alizadeh Pasdar,35,77.171428571,21.922974404,94.0,0.0,,,,,,,2,,3,10,9
UBCV,2016,S,FNH,250,,98A,Nutrition Concepts and Controversies,Joelle Jacobsen;Nooshin Alizadeh Pasdar,38,78.68421053,15.78248304,95.0,2.0,1,0,3,0,0,3,2,3,12,9,5
UBCV,2016,W,FNH,355,,002,International Nutrition,Anna Marjorie Ringsred;Anna Ringsred;Brenna Boyang Han;Brenna Han;Candice Rideout;Caroline Pollock;Francine Emmonds;Francine Marion Emmonds;Joelle Erika Jacobsen;Joelle Jacobsen;Laurel Burton;Marissa Alexander,279,76.71326165,8.824642763,95.0,48.0,1,4,9,7,26,26,34,50,72,38,12
UBCV,2017,S,FNH,355,,921,International Nutrition,Brenna Boyang Han;Brenna Han;Candice Rideout;Caroline Pollock;Francine Emmonds;Francine Marion Emmonds;Joelle Jacobsen;Laurel Burton,182,78.82967033,8.280216648,94.0,44.0,1,1,4,3,9,14,16,32,55,39,8
