Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,CHBE,230,,201,Computational Methods,Aashish Goyal;Anthony Wachs;James Jingtao Feng;Layal Jbara,150,71.733333333,12.591499565,100.0,31.0,6,10,10,13,10,17,23,19,20,14,8
UBCV,2020,W,MATH,104,,101,Differential Calculus with Applications to Commerce and Social Sciences,Adam Martens;Ahmad Issa Khalid Issa;Ahmet Alperen Bulut;Amin Soofiani;Anna Mazurenko;Anthony Ho;Atoosa Mahmoudian;Babhru Joshi;Benjamin Friedman;Benjamin Garbuz;Benjamin Langer;Colby Chambers;Elliot Cheung;Ethan White;Eugene Chau;Han Hong;Igor Pereira Pinheiro;Jaye Sudweeks;Jongchon Kim;Jun Won Park;Ka Chuen Wong;Katerina Nieboer;Ken Mawer;Layal Jbara;Liam Yih;Mai Uyen Thieu;Malcolm Norman Stanley Bowles;Mark Thomson Maclean;Matthew Hasman;Mihai Marian;Mukul Rai Choudhuri;Rebecca Bonham-Carter;Reza Sadoughianzadeh;Roza Vaez Ghaemi;Sebastien Picard;Si Jia Jiao;Simone Coccia;Sina Saleh;Steven Li;Stoyan Hristov;Tianhuai Xu;Tongou Yang;Xianda Sun;Yen Fu Lin;Zachariah Goldthorpe;Ziheng Zhao;Zongyang Gao,1143,77.318460192,15.256134263,100.0,0.0,35,38,37,42,94,102,99,100,197,159,240
UBCV,2020,W,MATH,215,,101,Elementary Differential Equations I,Aaron Palmer;Andres Ross Bernot;Charlotte Trainor;Ha Jung Rachel Han;Khanh Dao Duc;Layal Jbara;Liangchen Liu;Mai Uyen Thieu;Mukul Rai Choudhuri;Najmul Abid;Navjot Virk;Patrick Walls;Reza Sadoughianzadeh;Tongou Yang,46,73.282608696,16.516204896,100.0,15.0,2,3,1,5,3,9,5,3,2,6,7
UBCV,2020,W,MATH,215,,102,Elementary Differential Equations I,Andres Ross Bernot;Arthur Ghigo;Charlotte Trainor;Ha Jung Rachel Han;Khanh Dao Duc;Layal Jbara;Liangchen Liu;Mai Uyen Thieu;Mukul Rai Choudhuri;Najmul Abid;Navjot Virk;Patrick Walls;Reza Sadoughianzadeh;Tongou Yang;Yinon Spinka,41,69.780487805,15.330544992,94.0,28.0,3,3,1,3,3,7,8,3,3,4,3
UBCV,2020,W,MATH,215,,104,Elementary Differential Equations I,Aaron Palmer;Andres Ross Bernot;Charlotte Trainor;Ha Jung Rachel Han;Khanh Dao Duc;Layal Jbara;Liangchen Liu;Mai Uyen Thieu;Mukul Rai Choudhuri;Navjot Virk;Patrick Walls;Reza Sadoughianzadeh;Tongou Yang,68,70.75,18.035930143,100.0,6.0,6,3,5,6,9,9,1,8,5,4,12
UBCV,2020,W,MATH,221,,101,Matrix Algebra,Adam Martens;Ahmet Alperen Bulut;Amin Soofiani;Antonio Alfieri;Chi Hoi Yip;Elliot Cheung;Gabriel Currier;Gabriel Emery Currier;Ha Jung Rachel Han;Igor Pereira Pinheiro;Ka Wah Wong;Layal Jbara;Mihai Marian;Mukul Rai Choudhuri;Parham Hamidi;Patrick Walls;Sujatha Ramdorai;Thomas Williams;Xiaowei Li;Yiyang Tian;Zachariah Goldthorpe,77,76.246753247,10.988218385,92.0,29.0,2,0,4,2,4,11,6,11,20,14,3
UBCV,2020,W,MATH,221,,102,Matrix Algebra,Adam Martens;Ahmet Alperen Bulut;Amin Soofiani;Chi Hoi Yip;Daniel Coombs;Elliot Cheung;Gabriel Currier;Gabriel Emery Currier;Ha Jung Rachel Han;Igor Pereira Pinheiro;Ka Wah Wong;Layal Jbara;Mihai Marian;Mukul Rai Choudhuri;Parham Hamidi;Patrick Walls;Sujatha Ramdorai;Thomas Williams;Xiaowei Li;Yiyang Tian;Zachariah Goldthorpe,79,77.189873418,10.558841173,96.0,52.0,0,3,1,5,7,7,6,16,13,12,9
UBCV,2020,W,MATH,221,,103,Matrix Algebra,Adam Martens;Ahmet Alperen Bulut;Amin Soofiani;Chi Hoi Yip;Elliot Cheung;Gabriel Currier;Gabriel Emery Currier;Ha Jung Rachel Han;Halyun Jeong;Igor Pereira Pinheiro;Ka Wah Wong;Layal Jbara;Mihai Marian;Mukul Rai Choudhuri;Parham Hamidi;Patrick Walls;Thomas Williams;Xiaowei Li;Yiyang Tian;Young-Heon Kim;Zachariah Goldthorpe,147,75.047619048,13.220124413,98.0,1.0,4,5,2,7,7,16,26,24,27,19,10
UBCV,2020,W,MATH,221,,104,Matrix Algebra,Adam Martens;Ahmet Alperen Bulut;Amin Soofiani;Chi Hoi Yip;Elliot Cheung;Gabriel Currier;Gabriel Emery Currier;Ha Jung Rachel Han;Igor Pereira Pinheiro;Jishnu Ray;Ka Wah Wong;Layal Jbara;Mihai Marian;Mukul Rai Choudhuri;Parham Hamidi;Patrick Walls;Thomas Williams;Xiaowei Li;Yiyang Tian;Zachariah Goldthorpe,176,74.545454545,12.11790561,98.0,4.0,6,5,1,4,8,22,30,43,37,11,9
UBCV,2020,W,MATH,221,,106,Matrix Algebra,Adam Martens;Ahmet Alperen Bulut;Amin Soofiani;Chi Hoi Yip;Elliot Cheung;Gabriel Currier;Gabriel Emery Currier;Ha Jung Rachel Han;Halyun Jeong;Igor Pereira Pinheiro;Ka Wah Wong;Layal Jbara;Markus Lange;Mihai Marian;Mukul Rai Choudhuri;Parham Hamidi;Patrick Walls;Thomas Williams;Xiaowei Li;Yiyang Tian;Zachariah Goldthorpe,150,74.066666667,13.416241118,95.0,0.0,8,2,5,4,9,20,20,24,34,15,9
UBCV,2020,W,MATH,255,,101,Ordinary Differential Equations,Aaron Palmer;Andres Ross Bernot;Khanh Dao Duc;Layal Jbara;Liangchen Liu;Najmul Abid;Navjot Virk;Patrick Walls;Reza Sadoughianzadeh,59,66.593220339,12.120257543,94.0,30.0,3,5,7,9,7,7,7,7,2,3,2
