Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,FMST,338,,001,FAM RESRC MNGMT,"Johnson, Phyllis",121,73.22,7.78,93,52,118,0,3,0,0,0,0,0,0,0,0,1,3,7,18,21,21,20,18,8,1,,,
UBC,2002,W,FMST,440,,001,FAM CANADA ECON,"Johnson, Phyllis",31,69.65,12.44,94,43,29,2,0,0,0,0,0,0,0,2,2,1,2,3,4,5,3,4,3,2,2,,,
UBC,2002,W,FMST,442,,001,FAMILIES & WORK,"Johnson, Phyllis",46,70.4,10.04,88,50,45,0,1,0,0,0,0,0,0,0,0,5,1,7,3,7,4,8,8,2,0,,,
UBC,2002,W,FMST,538,,001,FAMILY RESOURCES,"Johnson, Phyllis",5,86.2,2.28,90,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,,,
UBC,2003,W,FMST,338,,001,FAM RESRC MNGMT,"Johnson, Phyllis",114,71.75,9.82,91,46,112,2,0,0,0,0,0,0,0,2,2,6,7,9,10,17,17,24,14,7,1,,,
UBC,2003,W,FMST,338,,002,FAM RESRC MNGMT,"Johnson, Phyllis",76,73.33,9.09,93,45,73,2,0,0,1,0,0,0,0,2,2,1,0,7,1,19,18,8,10,8,1,,,
UBC,2003,W,FMST,440,,001,FAM CANADA ECON,"Johnson, Phyllis",33,71.61,8.77,85,57,33,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,8,3,6,2,0,,,
UBC,2003,W,FMST,442,,001,FAMILIES & WORK,"Johnson, Phyllis",27,72.15,10.46,88,47,26,1,0,0,0,0,0,0,0,1,1,1,2,2,0,3,7,3,6,2,0,,,
UBC,2005,W,FMST,238,,001,FAM RESRC MNGMT,"Johnson, Phyllis",112,72.54,7.65,90,58,111,0,1,0,0,0,0,0,0,0,0,0,5,14,11,16,23,20,16,5,1,,,
UBC,2005,W,FMST,440,,001,FAM ECON ISSUES,"Johnson, Phyllis",23,72.76,8.5,89,55,21,0,0,0,2,0,0,0,0,0,0,0,2,1,1,4,3,6,3,1,0,,,
UBC,2005,W,FMST,440,,002,FAM ECON ISSUES,"Johnson, Phyllis",22,70.45,10.13,91,50,22,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,5,0,4,1,1,,,
UBC,2005,W,FMST,442,,001,FAMILIES & WORK,"Johnson, Phyllis",23,71.95,8.85,88,56,22,0,1,0,0,0,0,0,0,0,0,0,2,1,5,3,2,3,4,2,0,,,
UBC,2006,W,FMST,238,,001,FAM RESRC MNGMT,"Johnson, Phyllis",99,74.96,7.21,90,50,97,0,2,0,0,0,0,0,0,0,0,1,1,3,10,14,20,15,25,7,1,,,
UBC,2006,W,FMST,440,,001,FAM ECON ISSUES,"Johnson, Phyllis",24,71.33,11.98,91,42,23,1,0,0,0,0,0,0,0,1,1,0,3,3,1,5,0,3,5,2,1,,,
UBC,2006,W,FMST,442,,001,FAMILIES & WORK,"Johnson, Phyllis",18,68.22,14.63,90,23,17,1,0,0,0,0,0,1,0,0,1,1,0,2,3,5,2,0,3,0,1,,,
UBC,2007,W,FMST,238,,002,FAM RESRC MNGMT,"Johnson, Phyllis",100,75.16,8.24,90,57,100,0,0,0,0,0,0,0,0,0,0,0,3,3,15,16,13,13,20,16,1,,,
UBC,2007,W,FMST,442,,001,FAMILIES & WORK,"Johnson, Phyllis",29,74.59,15.69,91,2,28,1,0,0,0,1,0,0,0,0,1,0,1,0,2,3,3,6,9,3,1,,,
UBC,2010,W,FMST,238,,002,FAM RESRC MNGMT,"Johnson, Phyllis",75,71.36,9.76,88,44,73,2,0,0,0,0,0,0,0,2,2,1,6,8,4,16,10,11,11,6,0,,,
UBC,2010,W,FMST,440,,001,FAM ECON ISSUES,"Johnson, Phyllis",13,74.08,7.04,84,65,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,4,0,0,,,
UBC,2011,W,FMST,238,,002,FAM RESRC MNGMT,"Johnson, Phyllis",51,71.84,10.14,90,41,49,1,1,0,0,0,0,0,0,1,1,2,2,5,6,5,9,5,11,3,1,,,
UBC,2011,W,FMST,440,,001,FAM ECON ISSUES,"Johnson, Phyllis",27,73.52,8.73,90,55,27,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,6,2,5,2,1,,,
UBC,2012,S,FMST,238,,001,FAM RESRC MNGMT,"Johnson, Phyllis",36,78.19,9.93,95,52,32,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3,2,3,9,7,3,,,
UBC,2012,S,FMST,442,,001,FAMILIES & WORK,"Johnson, Phyllis",12,82.44,3.28,88,77,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,,,
UBC,2012,W,FMST,238,,001,FAM RESRC MNGMT,"Johnson, Phyllis",100,71.85,9.48,91,47,93,1,2,0,1,0,0,0,0,1,1,5,4,6,10,16,15,19,10,3,5,,,
UBC,2012,W,FMST,238,,002,FAM RESRC MNGMT,"Johnson, Phyllis",90,72.05,9.59,90,43,85,1,4,0,0,0,0,0,0,1,1,4,5,4,9,18,10,11,16,7,1,,,
