Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,HIST,310,,901,BRITISH EMPIRE,"Newton, Jacob",54,74.82,9.33,88,48,48,2,2,2,0,0,0,0,0,2,2,0,2,1,3,8,8,6,13,7,0
UBC,2002,W,HIST,311,,901,Brit Empire 1850,"Newton, Jacob",47,75.65,16.51,92,1,41,2,2,2,0,2,0,0,0,0,2,0,0,0,0,2,7,15,14,2,1
UBC,2002,W,HIST,385,,901,INDIA SINCE 1800,"Newton, Jacob",50,77.96,14.49,92,11,46,2,2,0,0,0,2,0,0,0,2,0,0,1,1,1,2,12,14,13,2
UBC,2003,W,MATH,180,,109,DIF CALC PHYS AP,"Shapiro, Jacob",93,56.68,15.74,90,15,67,17,8,0,1,0,2,5,6,4,17,19,8,7,12,8,5,3,4,0,1
UBC,2005,W,ECON,102,,011,PRINCPL MACRECON,"WONG, JACOB",35,72.79,19.64,98,27,29,4,2,0,0,0,0,1,2,1,4,2,1,2,4,0,3,1,4,4,8
UBC,2005,W,MATH,105,,204,INT CALC AP C&SS,"Shapiro, Jacob",85,69.67,15.92,93,18,74,7,2,0,2,0,1,1,3,2,7,6,4,4,7,7,9,9,17,9,2
UBC,2006,W,ECON,502,,001,MACRO ECONOMICS,"WONG, JACOB",48,78.83,12.01,97,26,46,1,1,0,0,0,0,1,0,0,1,1,0,1,1,4,6,7,9,10,7
UBC,2007,W,BIOL,426,,101,MAMMOLOGY,"Goheen, Jacob",24,89.04,5.81,98,78,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,11
UBC,2009,S,BIOL,409,,921,ANIMAL ECOLOGY,"Goheen, Jacob",10,95,0,95,95,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
UBC,2009,W,BIOL,304,,101,FNDMTLS ECOLOGY,"Goheen, Jacob;Goodey, Wayne;Turkington, Robert",206,71.9,10.81,94,34,196,5,5,0,0,0,0,0,2,3,5,5,13,13,29,34,24,16,36,16,10
UBC,2009,W,BIOL,304,,102,FNDMTLS ECOLOGY,"Goheen, Jacob;Goodey, Wayne;Turkington, Robert",186,71.13,10.68,89,38,178,6,1,0,1,0,0,0,2,4,6,7,13,12,22,30,22,21,34,17,0
UBC,2009,W,BIOL,347,,101,PRIN&METH RSCH I,"Goheen, Jacob;Martone, Patrick",13,85.92,3.77,93,81,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2
UBC,2009,W,BIOL,426,,101,MAMMOLOGY,"Goheen, Jacob",30,85.77,8.02,96,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,8,12
UBC,2009,W,EMBA,531,,001,INFORMATNL TECH,"Steif, Jacob",12,83.58,6.42,93,74,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3
UBC,2012,W,COMM,371,,102,INVEST THEORY,"WETZEL, JACOB",40,78.13,10.16,95,50,40,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,4,5,9,7,5
UBC,2012,W,COMM,371,,103,INVEST THEORY,"WETZEL, JACOB",42,79.44,16.66,96,0,40,1,1,0,0,1,0,0,0,0,1,0,2,2,1,3,3,2,8,6,13
UBC,2013,W,COMM,370,,108,CORP FINANCE,"WETZEL, JACOB",42,77.31,13.69,97,50,42,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,4,7,7,4,10
UBC,2013,W,COMM,370,,109,CORP FINANCE,"WETZEL, JACOB",40,78.1,9.84,97,61,40,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,8,3,13,0,7
UBC,2018,S,EPSE,483,,953,READ&INTERPT RES,"Stone, Jacob",22,89.52,13.89,98,31,20,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,15
UBC,2018,W,EPSE,483,,074,READ&INTERPT RES,"Stone, Jacob",22,93.48,3.5,97,80,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
