Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BAMS,503,,001,SIM DEC MAKING,"Goto, Jason",26,80.83,7.78,92,65,24,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,3,0,9,4,4
UBC,2002,W,BAMS,504,,001,VISUAL SIMULTN,"Goto, Jason",17,77.76,20.69,90,0,16,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,8,2,3
UBC,2002,W,COMM,310,,101,SIMULATION MODEL,"Goto, Jason",8,77.25,5.28,87,72,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0
UBC,2002,W,GERM,110,,901,BEGIN GERM 2,"Lieblang, Jason",12,79,8.98,95,68,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,2
UBC,2003,W,BAMS,503,,001,SIM DEC MAKING,"Goto, Jason",23,84.17,5.65,92,70,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,10,4
UBC,2003,W,BAMS,504,,001,VISUAL SIMULTN,"Goto, Jason",14,85.5,3.41,91,80,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2
UBC,2003,W,COMM,310,,101,SIMULATION MODEL,"Goto, Jason",4,82.33,6.81,90,77,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
UBC,2003,W,COMM,396,,102,INTRO MARKETING,"Ho, Jason",53,76.96,6.35,89,57,53,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,10,6,23,3,0
UBC,2005,W,BAMS,503,,001,SIM DEC MAKING,"Goto, Jason",10,81.3,13.12,94,56,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,5
UBC,2005,W,BAMS,504,,001,VISUAL SIMULTN,"Goto, Jason",8,84.63,10.82,94,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5
UBC,2005,W,COMM,371,,201,THRY OF FINANCE,"Chen, Jason",44,75.48,9.17,91,53,44,0,0,0,0,0,0,0,0,0,0,2,1,3,2,4,7,11,7,6,1
UBC,2005,W,COMM,371,,202,THRY OF FINANCE,"Chen, Jason",40,76.28,14.3,94,19,38,2,0,0,0,0,1,0,1,0,2,1,0,1,1,5,4,7,9,8,2
UBC,2005,W,COMM,371,,203,THRY OF FINANCE,"Chen, Jason",45,78.52,7.91,94,54,44,0,1,0,0,0,0,0,0,0,0,1,0,1,3,2,3,13,12,7,2
UBC,2005,W,COMM,371,,204,THRY OF FINANCE,"Chen, Jason",40,74.75,9.45,94,55,40,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,7,6,3,6,2
UBC,2005,W,COMM,371,,205,THRY OF FINANCE,"Chen, Jason",44,73.45,9.38,91,34,43,1,0,0,0,0,0,0,1,0,1,0,0,2,5,9,9,9,5,2,2
UBC,2005,W,PATH,402,,001,HAEMATOLOGY,"Ford, Jason",10,87.3,4.69,94,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3
UBC,2006,W,COMM,371,,201,THRY OF FINANCE,"Chen, Jason",38,72.92,9.29,89,51,38,0,0,0,0,0,0,0,0,0,0,2,1,3,4,3,12,4,4,5,0
UBC,2006,W,COMM,371,,202,THRY OF FINANCE,"Chen, Jason",39,77.08,8.01,90,58,39,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,7,9,7,6,1
UBC,2006,W,MATH,180,,111,DIF CALC PHYS AP,"Donaldson, Jason",36,49.15,18.67,77,13,17,10,8,0,1,0,4,1,2,3,10,5,3,3,2,2,1,1,0,0,0
UBC,2006,W,PATH,402,,001,HAEMATOLOGY,"Ford, Jason",22,87.73,3.77,94,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,8
