Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ASIA,382,,001,BUDDHISM CHINA,"Chen, Jinhua",42,75.72,8.77,93,60,39,0,2,0,1,0,0,0,0,0,0,0,0,5,2,5,8,3,9,5,2
UBC,2002,W,RELG,100,,001,RELGS OF WORLD,"CHRISTENSEN, LINDA;Chen, Jinhua",186,73.11,8.67,92,47,160,1,21,0,4,0,0,0,0,1,1,0,7,9,24,26,34,14,31,10,5
UBC,2005,W,ASIA,372,,001,DEVL TRD CHIN TH,"Chen, Jinhua",36,75.66,15.24,93,0,34,1,1,0,0,1,0,0,0,0,1,0,0,0,3,7,3,2,14,2,3
UBC,2005,W,ASIA,382,,001,BUDDHISM CHINA,"Chen, Jinhua",19,72.68,19.26,90,0,18,1,0,0,0,1,0,0,0,0,1,0,0,1,2,3,2,3,4,1,2
UBC,2005,W,RELG,366,,001,BUDDHISM IN CHIN,"Chen, Jinhua",27,66.85,26.72,91,0,23,4,0,0,0,3,0,1,0,0,4,0,0,2,1,4,3,4,3,4,2
UBC,2006,W,ASIA,382,,001,BUDDHISM CHINA,"Chen, Jinhua",23,82.65,7.35,93,69,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,8,4,5
UBC,2006,W,RELG,366,,001,BUDDHISM IN CHIN,"Chen, Jinhua",30,78.9,9.76,93,51,29,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,4,1,7,8,3
UBC,2007,W,ASIA,372,,001,DEVL TRD CHIN TH,"Chen, Jinhua",30,69.93,17.73,88,3,26,2,2,0,0,1,0,0,1,0,2,1,0,5,1,3,4,3,5,4,0
UBC,2007,W,ASIA,382,,001,BUDDHISM CHINA,"Chen, Jinhua",31,75.4,13.39,89,15,29,1,1,0,0,0,1,0,0,0,1,0,0,2,1,2,5,4,13,2,0
UBC,2007,W,ASIA,511,B,012,CHIN RELG TEXTS,"Chen, Jinhua",6,86.6,2.19,90,84,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2007,W,RELG,366,,001,BUDDHISM IN CHIN,"Chen, Jinhua",29,78.75,10.28,89,40,27,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2,5,2,9,8,0
UBC,2009,W,ASIA,382,,001,BUDDHISM CHINA,"Chen, Jinhua",48,72.85,22.7,91,0,42,5,1,0,0,1,3,1,0,0,5,0,1,2,1,2,1,7,15,9,4
UBC,2009,W,ASIA,511,B,012,CHIN RELG TEXTS,"Chen, Jinhua",4,66.75,44.6,92,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
UBC,2010,W,ASIA,372,,001,DEVL TRD CHIN TH,"Chen, Jinhua",44,71.14,18.13,90,11,39,4,0,1,0,0,2,1,0,1,4,1,0,2,3,2,9,6,10,5,1
UBC,2010,W,ASIA,382,,001,BUDDHISM CHINA,"Chen, Jinhua",49,74.9,12.43,87,10,46,2,0,1,0,0,1,0,0,1,2,0,1,1,0,7,12,7,10,8,0
UBC,2010,W,CIVL,441,,201,TRNS SYS PL&ANLY,"Zhao, Jinhua",20,82.65,7.54,91,63,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,7,5,3
UBC,2010,W,CIVL,583,,201,URBN ENGR M&M,"Zhao, Jinhua",6,84.83,2.79,88,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
UBC,2010,W,CIVL,586,,101,URBN TRANS SYSTM,"Zhao, Jinhua",13,84.92,6.2,94,74,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3
UBC,2010,W,PLAN,548,J,001,CURRENT ISSUES,"Zhao, Jinhua",8,82.13,6.49,87,68,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,0
UBC,2011,W,ASIA,382,,002,BUDDHISM CHINA,"Chen, Jinhua",56,77.31,8.52,91,41,51,1,3,0,0,0,0,0,0,1,1,0,0,0,4,10,3,7,16,9,2
UBC,2011,W,CIVL,441,,201,TRNS SYS PL&ANLY,"Zhao, Jinhua",26,84.92,17.96,94,0,25,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,9,12
UBC,2011,W,CIVL,583,,201,URBN ENGR M&M,"Zhao, Jinhua",9,89.56,5.9,96,77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5
UBC,2011,W,CIVL,587,,101,URB TRNSP ECN&PL,"Zhao, Jinhua",8,89,4.47,97,85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
UBC,2011,W,CIVL,598,A,201,TPCS IN CIVL ENG,"Zhao, Jinhua",7,85,7.1,96,76,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2
UBC,2011,W,PLAN,548,A,001,CURRENT ISSUES,"Zhao, Jinhua",5,86,8.72,97,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2
UBC,2012,W,ASIA,372,,001,DEVL TRD CHIN TH,"Chen, Jinhua",54,72.94,16.23,91,0,48,3,2,0,0,1,0,2,0,0,3,0,0,3,2,8,8,10,11,4,2
