Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,BIOL,336,,101,Fundamentals of Evolutionary Biology,Ellen Koch;Gil Jorge Barros Henriques;Gregory Michael Bole;Julian Heavyside;Nolan Shelley;Rawnak Hoque;Seth Watt,149,75.469798658,8.129490067,90.0,23.0,1,0,0,6,10,27,23,25,44,10,3
UBCV,2017,W,BIOL,336,,201,Fundamentals of Evolutionary Biology,Anna Bazzicalupo;Ellen Koch;Frederik De Haas;Gil Jorge Barros Henriques;Jeannette Whitton;Julian Heavyside;Katrina Kaur;Silu Wang;Stephanie Blain;Wayne Maddison,123,78.93495935,9.339445553,95.0,47.0,2,1,2,1,8,10,10,17,29,30,13
UBCV,2017,W,BIOL,336,,202,Fundamentals of Evolutionary Biology,Anna Bazzicalupo;Ellen Koch;Frederik De Haas;Gil Jorge Barros Henriques;Jeannette Whitton;Julian Heavyside;Katrina Kaur;Silu Wang;Stephanie Blain;Wayne Maddison,106,73.801886792,13.070810673,95.0,6.0,4,1,2,3,12,12,18,16,21,12,5
UBCV,2017,W,PSYC,304,,901,Brain and Behaviour,Ellen Koch;Jill Ashley Dosso;Juliane Ashleigh Coutts;Natasha Au;Steven Barnes,161,74.00621118,15.325834763,98.0,5.0,7,5,12,10,16,13,11,17,25,20,25
UBCV,2019,W,BIOL,336,,201,Fundamentals of Evolutionary Biology,Ellen Koch;Isabela Do O;Jeannette Whitton;Julian Heavyside;Lydia Fong;Mackenzie Kinney;Mariia Radaeva;Stephanie Blain;Takuji Usui;Wayne Maddison,200,80.47,9.510063435,96.0,39.0,1,3,4,3,6,12,15,38,48,33,37
UBCV,2019,W,DSCI,532,,001,Data Visualization II,Alejandra Virgen Urcelay;Ellen Koch;Firas Moosvi;Hossameldin Ibrahim Said Mohammed;Katharine Sedivy Haley;Michael Feeley;Stefanie Lumnitz;Varada Kolhatkar,95,91.168421053,5.490131633,97.0,64.0,0,0,0,0,2,0,0,1,6,15,71
UBCV,2019,W,DSCI,542,,001,Communication and Argumentation,Christopher Nicholas Gubbels;David Kendall Laing;David Laing;Ellen Koch;Katharine Sedivy Haley;Timothy Cashion,95,84.652631579,5.337081083,93.0,68.0,0,0,0,0,0,1,2,10,32,27,23
UBCV,2019,W,PSYC,319,,003,Applied Developmental Psychology,Ellen Koch;Fiza Arshad;Kyle Dadgar;Lillian May;Nathalie Sagar;Nathalie Suzanne Sagar;Tashya De Silva,152,81.513157895,9.294295653,100.0,59.0,0,0,2,5,2,16,16,14,29,32,36
UBCV,2019,W,PSYC,319,,004,Applied Developmental Psychology,Ellen Koch;Fiza Arshad;Kyle Dadgar;Lillian May;Nathalie Sagar;Nathalie Suzanne Sagar;Tashya De Silva,167,79.035928144,11.801517268,99.0,46.0,1,2,10,7,6,17,19,14,22,26,43
UBCV,2020,W,BIOL,336,,101,Fundamentals of Evolutionary Biology,Caryn Cooper;Ellen Koch;Jeannette Whitton;Julian Heavyside;Lydia Fong;Mariia Radaeva;Melanie Lysenko-Martin;Nathaniel Klimpert;Sarah Otto;Takuji Usui;Wayne Maddison,246,79.0,7.313950885,92.0,49.0,1,2,2,4,8,14,27,64,69,42,13
