Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,WOOD,330,,101,Industrial Engineering,Farbod Moheb;Farbod Moheb Khosravi;Krishna Malladi;Krishna Teja Malladi;Shaghaygh Akhtari;Taraneh Sowlati;Yi Gao,59,78.627118644,9.269710231,93.0,51.0,0,1,2,1,4,2,7,11,12,15,4
UBCV,2019,W,WOOD,440,,101,Engineering Economics,Dengcheng Feng;Farbod Moheb;Farbod Moheb Khosravi;Seyed Salar Ghotb;Taraneh Sowlati,60,83.433333333,13.648575597,98.0,47.0,1,3,0,3,3,3,1,3,5,9,29
UBCV,2019,W,WOOD,464,,201,Wood Finishing and Protection,Dengcheng Feng;Farbod Moheb;Farbod Moheb Khosravi;Philip David Evans,51,80.156862745,7.723658586,96.0,51.0,0,1,0,1,1,0,9,8,17,6,8
UBCV,2019,W,WOOD,492,,101,Modelling for Decision Support,Dengcheng Feng;Farbod Moheb;Farbod Moheb Khosravi;Krishna Malladi;Taraneh Sowlati,79,85.126582278,10.464061927,99.0,50.0,0,2,0,0,2,4,6,5,16,9,35
UBCV,2019,W,WOOD,499,,201,Wood Products Capstone,Farbod Moheb;Farbod Moheb Khosravi;Robert Fuerst;Sahar Ahmadvand;Seyed Salar Ghotb;Sohrab Rahimi,8,79.875,5.986592162,93.0,74.0,0,0,0,0,0,0,2,4,1,0,1
UBCV,2019,W,WOOD,499,,202,Wood Products Capstone,Farbod Moheb;Farbod Moheb Khosravi;Robert Fuerst,8,82.5,7.191264542,98.0,75.0,0,0,0,0,0,0,1,2,3,1,1
UBCV,2019,W,WOOD,499,,203,Wood Products Capstone,Farbod Moheb;Farbod Moheb Khosravi;Robert Fuerst,8,91.125,7.120142454,99.0,80.0,0,0,0,0,0,0,0,0,2,1,5
UBCV,2019,W,WOOD,499,,204,Wood Products Capstone,Farbod Moheb;Farbod Moheb Khosravi;Robert Fuerst,8,86.0,3.207134903,92.0,80.0,0,0,0,0,0,0,0,0,1,6,1
UBCV,2019,W,WOOD,499,,205,Wood Products Capstone,Farbod Moheb;Farbod Moheb Khosravi;Robert Fuerst,7,90.571428571,5.740416444,97.0,81.0,0,0,0,0,0,0,0,0,1,3,3
UBCV,2019,W,WOOD,499,,206,Wood Products Capstone,Farbod Moheb;Farbod Moheb Khosravi;Robert Fuerst,8,80.0,3.817254062,83.0,72.0,0,0,0,0,0,0,1,2,5,0,0
UBCV,2020,W,WOOD,330,,101,Industrial Engineering,Farbod Moheb;Farbod Moheb Khosravi;Sahar Ahmadvand;Taraneh Sowlati,23,83.608695652,7.505992336,96.0,68.0,0,0,0,0,0,3,0,2,5,9,4
UBCV,2020,W,WOOD,330,,102,Industrial Engineering,Farbod Moheb;Farbod Moheb Khosravi;Sahar Ahmadvand;Taraneh Sowlati,22,85.909090909,5.706379812,96.0,77.0,0,0,0,0,0,0,0,4,5,6,7
UBCV,2020,W,WOOD,464,,201,Wood Finishing and Protection,Dengcheng Feng;Farbod Moheb Khosravi;Gregory Smith;Philip David Evans,32,79.75,8.63227253,95.0,61.0,0,0,0,2,1,2,2,9,6,5,5
UBCV,2020,W,WOOD,485,,101,Furniture Construction,Farbod Moheb;Farbod Moheb Khosravi;Mingyao Song;Robert Fuerst,22,80.454545455,10.298993352,94.0,61.0,0,0,0,4,0,0,1,2,8,2,5
UBCV,2020,W,WOOD,499,,201,Wood Products Capstone,Adinda Rizky Herdianti;Christopher Gaston;Farbod Moheb Khosravi;Robert Fuerst;Sahar Ahmadvand;Seyed Salar Ghotb;Taraneh Sowlati;Vincent Leung,55,79.454545455,7.438185217,93.0,60.0,0,0,0,2,3,3,4,10,19,10,4
UBCV,2021,W,WOOD,464,,201,Wood Finishing and Protection,Doh Wook Kim;Farbod Moheb Khosravi;Gregory Smith;Philip David Evans,52,78.730769231,6.177490399,91.0,64.0,0,0,0,0,3,5,6,12,18,7,1
UBCV,2021,W,WOOD,488,,101,Wood Products Design and Development I,Farbod Moheb Khosravi;Joern Dettmer;Jorn Dettmer,9,82.555555556,4.419024528,87.0,77.0,0,0,0,0,0,0,0,3,1,5,0
UBCV,2021,W,WOOD,499,,201,Wood Products Capstone,Farbod Moheb Khosravi;Joern Dettmer;Jorn Dettmer;Robert Fuerst;Sahar Ahmadvand;Seyed Salar Ghotb;Vincent Leung,6,74.333333333,3.076794869,80.0,71.0,0,0,0,0,0,1,4,0,1,0,0
UBCV,2021,W,WOOD,499,,202,Wood Products Capstone,Farbod Moheb Khosravi;Joern Dettmer;Robert Fuerst;Sahar Ahmadvand;Seyed Salar Ghotb;Vincent Leung,6,86.833333333,3.125166662,90.0,82.0,0,0,0,0,0,0,0,0,2,3,1
UBCV,2021,W,WOOD,499,,203,Wood Products Capstone,Farbod Moheb Khosravi;Joern Dettmer;Robert Fuerst;Sahar Ahmadvand;Seyed Salar Ghotb;Vincent Leung,6,83.0,2.898275349,87.0,79.0,0,0,0,0,0,0,0,1,3,2,0
UBCV,2021,W,WOOD,499,,204,Wood Products Capstone,Farbod Moheb Khosravi;Joern Dettmer;Robert Fuerst;Sahar Ahmadvand;Seyed Salar Ghotb;Vincent Leung,6,84.5,1.048808848,86.0,83.0,0,0,0,0,0,0,0,0,3,3,0
