Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2019,W,SOWK,316,,002,"Integrative Seminar in Social Work Theory, Policy and Practice",Hannah Kia;Pascale De Kerckhove,16,87.5625,2.731757676,92.0,84.0,0,0,0,0,0,0,0,0,4,8,4,,,
UBCV,2019,W,SOWK,440,K,001,Integrative Seminars in Social Work,Hannah Kia;Kim Fleming,12,84.166666667,5.236816058,91.0,70.0,0,0,0,0,0,1,0,0,6,4,1,,,
UBCV,2020,W,SOWK,316,,002,"Integrative Seminar in Social Work Theory, Policy and Practice",Hannah Kia,18,85.833333333,1.757337558,89.0,84.0,0,0,0,0,0,0,0,0,6,12,0,,,
UBCV,2020,W,SOWK,440,K,001,Integrative Seminars in Social Work,Hannah Kia,20,86.0,2.406132516,91.0,80.0,0,0,0,0,0,0,0,0,5,14,1,,,
UBCV,2021,W,SOWK,201,,001,Introduction to Social Work Practice,Hannah Kia;Marie Nightbird;Mohamed Ibrahim;Nancy Lin,57,80.49122807,9.310368274,93.0,28.0,1,0,0,0,0,4,8,8,13,19,4,,,
UBCV,2021,W,SOWK,316,,002,"Integrative Seminar in Social Work Theory, Policy and Practice",Hannah Kia;Olivia Palomino,17,100.0,0.0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,17,,,
UBCV,2021,W,SOWK,440,K,001,Integrative Seminars in Social Work,Hannah Kia,14,85.214285714,2.778449247,91.0,81.0,0,0,0,0,0,0,0,0,6,7,1,,,
UBCV,2021,W,SOWK,440,K,002,Integrative Seminars in Social Work,Hannah Kia,8,82.0,7.091242083,88.0,67.0,0,0,0,0,1,0,0,1,2,4,0,,,
UBCV,2021,W,SOWK,201,,001,Introduction to Social Work Practice,Hannah Kia,57,80.5,,93.0,28.0,,,,,,,8,8,13,19,,83.0,86.0,76.0
UBCV,2021,W,SOWK,440,K,001,Integrative Seminars in Social Work,Hannah Kia,14,85.2,,91.0,81.0,,,,,,,,,6,7,,85.0,87.0,83.0
UBCV,2021,W,SOWK,440,K,002,Integrative Seminars in Social Work,Hannah Kia,8,82.0,,88.0,67.0,,,,,,,,,,,,84.5,86.3,81.3
UBCV,2022,W,SOWK,201,,001,Introduction to Social Work Practice,Hannah Kia,44,79.8,,90.0,41.0,1,0,1,1,0,1,3,8,16,12,1,81.5,85.0,78.0
UBCV,2022,W,SOWK,440,K,001,Integrative Seminars in Social Work,Hannah Kia,14,85.4,,90.0,76.0,0,0,0,0,0,0,0,1,3,8,2,86.0,87.8,84.3
UBCV,2023,W,SOWK,440,K,001,Integrative Seminars in Social Work,Hannah Kia,15,84.5,,91.0,67.0,0,0,0,0,1,0,1,0,2,8,2,86.0,87.8,84.3
UBCV,2023,W,SOWK,559,,002,Advanced Integrative Seminar,Hannah Kia,14,88.8,,92.0,87.0,0,0,0,0,0,0,0,0,0,10,3,89.0,89.0,88.0
