Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2009,W,SOCI,430,,99E,GLOBAL CITIZNSHP,"Kim, Hyoshin;Quigley, Jackie",34,74.09,23.84,93,0,28,4,2,0,0,2,1,0,0,1,4,0,0,0,0,4,0,4,7,10,3,,,
UBC,2009,W,SOCI,430,,99F,GLOBAL CITIZNSHP,"Kim, Hyoshin;Quigley, Jackie",34,81.3,10.88,91,38,29,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1,2,5,4,12,4,,,
UBC,2010,W,SOCI,430,,99F,GLOBAL CITIZNSHP,"Kim, Hyoshin",24,77.13,16.07,92,20,22,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,2,5,4,5,3,,,
UBC,2011,W,SOCI,430,B,99F,GLOBAL CITIZNSHP,"Kim, Hyoshin",34,74.74,16.67,91,0,30,1,2,0,0,1,0,0,0,0,1,2,0,1,1,2,5,5,7,6,1,,,
UBC,2011,W,SOCI,430,B,99G,GLOBAL CITIZNSHP,"Kim, Hyoshin",31,67.93,22.58,95,0,27,3,0,0,0,2,0,1,0,0,3,1,2,2,1,2,2,10,5,0,2,,,
UBC,2012,W,SOCI,430,B,99E,GLOBAL CITIZNSHP,"Kim, Hyoshin",27,81.42,7.59,90,65,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,7,4,,,
UBC,2012,W,SOCI,430,B,99F,GLOBAL CITIZNSHP,"Kim, Hyoshin",35,71,22.02,87,0,29,4,0,0,0,1,0,3,0,0,4,0,0,0,2,2,2,8,11,4,0,,,
UBC,2016,W,ETEC,565,G,64A,SC SUB MAT FIELD,"Kim, Hyoshin",22,85.27,1.78,88,82,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,,,
UBC,2017,S,ETEC,565,G,66A,SC SUB MAT FIELD,"Kim, Hyoshin",21,86.2,1.64,89,82,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,,,
UBC,2017,W,ETEC,565,G,65A,SC SUB MAT FIELD,"Kim, Hyoshin",21,87.15,4.03,93,76,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,6,,,
UBC,2018,W,ETEC,500,,65D,RES METH EDUC,"Kim, Hyoshin",23,87.65,4.73,93,74,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,9,,,
UBC,2018,W,ETEC,565,G,64A,SC SUB MAT FIELD,"Kim, Hyoshin",18,87.53,3.24,92,80,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,,,
UBCV,2016,W,ETEC,565,G,64A,Special Course in Subject Matter Field,Hyoshin Kim,22,85.27272727,1.777687588,88.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,7,15,0,,,
UBCV,2017,S,ETEC,565,G,66A,Special Course in Subject Matter Field,Hyoshin Kim,20,86.2,1.641565363,89.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,18,0,,,
UBCV,2017,W,ETEC,565,G,65A,Special Course in Subject Matter Field,Hyoshin Kim,20,87.15,4.029823034,93.0,76.0,,,,,,,,,,,0,0,0,0,0,0,0,1,3,10,6,,,
UBCV,2018,W,ETEC,500,,65D,Research Methodology in Education,Hyoshin Kim,20,87.65,4.727021985,93.0,74.0,,,,,,,,,,,0,0,0,0,0,0,1,0,3,7,9,,,
UBCV,2018,W,ETEC,565,G,64A,Special Course in Subject Matter Field,Hyoshin Kim,17,87.529411765,3.242638722,92.0,80.0,,,,,,,,,,,0,0,0,0,0,0,0,0,3,9,5,,,
UBCV,2019,S,ETEC,500,,66A,Research Methodology in Education,Hyoshin Kim;Leah Macfadyen,23,87.47826087,4.953140099,93.0,70.0,,,,,,,,,,,0,0,0,0,0,1,0,1,1,12,8,,,
UBCV,2019,S,ETEC,565,G,66A,Special Course in Subject Matter Field,Hyoshin Kim,18,83.166666667,17.449928367,91.0,14.0,,,,,,,,,,,1,0,0,0,0,0,0,0,2,11,4,,,
UBCV,2020,S,ETEC,500,,66A,Research Methodology in Education,Hyoshin Kim;Kisha Mcpherson,22,90.545454545,4.458563432,96.0,78.0,,,,,,,,,,,0,0,0,0,0,0,0,1,1,5,15,,,
UBCV,2021,S,ETEC,542,,66A,Culture and Communication in Virtual Learning Environments,Hyoshin Kim,21,86.238095238,3.618076311,91.0,73.0,,,,,,,,,,,0,0,0,0,0,0,1,0,2,17,1,,,
UBCV,2021,S,ETEC,542,,66B,Culture and Communication in Virtual Learning Environments,Hyoshin Kim,17,86.588235294,1.697749375,91.0,84.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,14,1,,,
UBCV,2021,W,ETEC,542,,65A,Culture and Communication in Virtual Learning Environments,Hyoshin Kim,23,87.869565217,4.341180692,91.0,69.0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,15,7,,,
UBCV,2021,S,ETEC,542,,66A,Culture and Communication in Virtual Learning Environments,Hyoshin Kim,21,86.2,,91.0,73.0,,,,,,,,,,,,,,,,,,,,17,,87.0,88.0,86.0
UBCV,2021,S,ETEC,542,,66B,Culture and Communication in Virtual Learning Environments,Hyoshin Kim,17,86.6,,91.0,84.0,,,,,,,,,,,,,,,,,,,,14,,86.0,87.0,86.0
UBCV,2021,W,ETEC,542,,65A,Culture and Communication in Virtual Learning Environments,Hyoshin Kim,23,87.9,,91.0,69.0,,,,,,,,,,,,,,,,,,,,15,7,89.0,90.0,88.0
