Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2006,W,PHYS,501,,201,QUANTUM MECH II,"Karczmarek, Joanna",17,85.63,8.89,100,63,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,4,4,5,,,
UBC,2007,W,PHYS,313,,101,THERMODYNAMICS,"Karczmarek, Joanna",28,71.33,14.97,93,40,26,1,1,0,0,0,0,0,0,1,1,2,6,1,2,1,1,2,6,2,3,,,
UBC,2007,W,PHYS,501,,201,QUANTUM MECH II,"Karczmarek, Joanna",12,90,3.81,95,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,,,
UBC,2009,W,PHYS,529,B,201,TOP QUANTUM THEO,"Karczmarek, Joanna",12,89.18,10.8,96,60,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8,,,
UBC,2010,W,PHYS,200,,101,RELTVTY & QUANTA,"Karczmarek, Joanna",106,73.74,11.19,96,42,102,1,3,0,0,0,0,0,0,1,1,3,7,11,4,20,15,4,17,11,10,,,
UBC,2012,W,PHYS,200,,101,RELTVTY & QUANTA,"Karczmarek, Joanna",104,73.99,13.73,96,26,98,2,1,0,3,0,0,1,1,0,2,8,4,5,11,10,11,7,14,17,11,,,
UBC,2013,W,PHYS,200,,101,RELTVTY & QUANTA,"Karczmarek, Joanna",136,73.46,14.5,99,11,126,5,3,0,1,0,1,0,1,3,5,6,10,8,9,12,23,11,13,13,21,,,
UBC,2014,W,PHYS,159,,L2A,INTRO PHYS LAB,"Karczmarek, Joanna",52,78.9,9.09,96,60,52,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,7,9,13,5,,,
UBC,2014,W,PHYS,159,,L2G,INTRO PHYS LAB,"Karczmarek, Joanna",55,86.09,8.22,98,61,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,8,14,22,,,
UBC,2014,W,PHYS,159,,L2H,INTRO PHYS LAB,"Karczmarek, Joanna",51,86.57,8.64,98,54,51,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,8,14,23,,,
UBC,2014,W,PHYS,200,,101,RELTVTY & QUANTA,"Karczmarek, Joanna",136,71.55,14.11,99,34,119,8,5,0,3,0,0,0,2,6,8,9,7,11,8,18,12,11,17,15,11,,,
