Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,PSYC,102,,007,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Alexis May;Elisha Klonsky;Kirstie Kellman-Mcfarlane,321,70.17133956,14.23876491,98.0,0.0,18,15,26,28,45,31,40,28,36,38,16
UBCV,2014,W,PSYC,349,,001,Honours Seminar,Jane Hamlin;Kirstie Kellman-Mcfarlane,12,84.66666667,6.471382223,97.0,76.0,0,0,0,0,0,0,0,,,,
UBCV,2014,W,PSYC,449,,001,Honours Seminar and Essay,Jane Hamlin;Kirstie Kellman-Mcfarlane,12,85.75,8.708668618,97.0,70.0,0,0,0,0,0,,,,,,6
UBCV,2015,W,PSYC,101,,004,Introduction to Biological and Cognitive Psychology,Brandon Tomm;Kirstie Kellman-Mcfarlane;Peter Graf;Shaina Cahill,222,70.828828829,14.977433326,98.0,19.0,18,17,8,18,22,25,21,26,26,22,19
UBCV,2015,W,PSYC,102,,007,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Boaz Saffer;Elisha Klonsky;Kirstie Kellman-Mcfarlane,319,70.119122257,14.559946929,100.0,0.0,17,23,36,26,27,36,42,28,27,28,29
UBCV,2015,W,PSYC,350,A,202,Psychological Aspects of Human Sexuality,Jason Winters;Kirstie Kellman-Mcfarlane;Xijuan Cathy Zhang;Xijuan Zhang,149,70.127516779,11.8408869,92.0,37.0,6,6,17,15,19,17,19,13,17,14,6
UBCV,2015,W,PSYC,350,A,901,Psychological Aspects of Human Sexuality,Cara Dunkley;Jason Winters;Kirstie Kellman-Mcfarlane,196,70.581632653,11.228556516,92.0,32.0,7,8,17,21,19,30,24,19,29,18,4
UBCV,2016,S,PSYC,102,,921,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Kirstie Kellman-Mcfarlane;Michael Souza,253,70.49407115,13.5604527,99.0,18.0,12,14,21,28,24,33,29,27,25,20,20
UBCV,2016,W,PSYC,102,,003,"Introduction to Developmental, Social, Personality, and Clinical Psychology",Kirstie Kellman-Mcfarlane;Mark Lam;Sumeet Mutti,110,65.84545455,14.58426094,92.0,21.0,13,10,10,12,9,18,8,7,12,7,4
UBCV,2016,W,PSYC,300,A,004,Behaviour Disorders,Cara Dunkley;Joelle Lemoult;Kirstie Kellman-Mcfarlane,138,69.70289855,11.83919596,90.0,5.0,5,6,14,12,13,18,21,19,22,7,1
UBCV,2016,W,PSYC,350,A,001,Psychological Aspects of Human Sexuality,Alexandra Zokol;Jason Winters;Kirstie Kellman-Mcfarlane;Taeh Haddock,235,70.23404255,11.85923991,95.0,37.0,9,12,32,14,19,29,39,27,25,19,10
