Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,CPSC,210,,101,Software Construction,Alexander Jordache;Brandon Dong;Cara Meyers;Chantal Chung;Doru Kesriyeli;Elisa Baniassad;Jeremy Gill;Jeremy Gurdev Gill;Ji Won Song;Jichun Wu;Jieun Lee;Jordan De Mello;Kasra Kamal;Katharine Cavers;Liron Kurzman;Mukund Sundararajan;Natasha Miner;Noa Heyl;Noah Heyl;Prayansh Srivastava;Ryan Kwon;Samuel Riddle;Srijon Saha;Steven Zhao;Vivian Wu;Vivian Xin Ling Wu;Yonni Luu,178,72.657303371,17.754779019,100.0,15.0,21,4,7,8,9,8,18,25,28,25,25
UBCV,2018,W,CPSC,210,,102,Software Construction,Alexander Jordache;Ali Madooei;Brandon Dong;Cara Meyers;Chantal Chung;Doru Kesriyeli;Jeremy Gill;Jeremy Gurdev Gill;Ji Won Song;Jichun Wu;Jieun Lee;Jordan De Mello;Kasra Kamal;Katharine Cavers;Liron Kurzman;Mukund Sundararajan;Noa Heyl;Noah Heyl;Prayansh Srivastava;Ryan Kwon;Samuel Riddle;Srijon Saha;Steven Zhao;Vivian Wu;Vivian Xin Ling Wu;Yonni Luu,154,74.077922078,16.505310085,96.0,10.0,17,2,3,8,6,13,16,19,18,28,24
UBCV,2018,W,CPSC,210,,103,Software Construction,Alexander Jordache;Brandon Dong;Cara Meyers;Chantal Chung;Doru Kesriyeli;Jeremy Gill;Jeremy Gurdev Gill;Ji Won Song;Jichun Wu;Jieun Lee;Jordan De Mello;Kasra Kamal;Katharine Cavers;Liron Kurzman;Michael Feeley;Mukund Sundararajan;Noa Heyl;Noah Heyl;Prayansh Srivastava;Ryan Kwon;Samuel Riddle;Srijon Saha;Steven Zhao;Vivian Wu;Vivian Xin Ling Wu;Yonni Luu,157,72.394904459,16.22310712,96.0,0.0,15,3,6,5,8,20,16,22,28,19,15
UBCV,2018,W,CPSC,221,,201,Basic Algorithms and Data Structures,Amelia Milne;Doru Kesriyeli;Dylan Green;Edwin Zhou;Eishan Lawrence;Emily Jia;Geoffrey Tien;Hafsa Binte Zahid;Jeongsoo Doo;Jiayu Zhang;Jinsoo Yoo;Kenta Baron-Furuyama;Liron Kurzman;Qianqian Feng;Rahim Mammadli;Saeid Naderiparizi;Srijon Saha;Stefano Vazzoler;Steven Zhao;Stevens Qiu;Weidong Yin;Yu Feng Guo;Yuchi Zhang,143,80.559440559,11.672540533,98.0,14.0,4,0,2,6,4,5,7,23,32,33,27
UBCV,2019,S,CPSC,210,,921,Software Construction,Ali Madooei;Andrew Zulaybar;Brandon Jia Xin Tong;Jia Ming Lu;John Turkson;Joice Tang;Kean Wah Wong;Kevin Wong;Liron Kurzman;Lirukshman Sundaralingam;Luciano Burla;Luciano Silver Burla;Michael Feeley;Rui Ge;Yi Xuan Qi;Yifei Chen,172,71.63372093,16.622384052,98.0,0.0,15,4,15,11,12,15,18,15,32,23,12
UBCV,2019,S,CPSC,221,,911,Basic Algorithms and Data Structures,Amelia Milne;Amirabbas Kashanipour;Artun Duman;Cinda Heeren;Da Wei Zheng;Dylan Brown;Dylan Green;Emily Jia;Hyunuk Lim;Jichun Wu;Kevin Wong;Liron Kurzman;Ningfeng Yang;Noa Heyl;Victor Chen;Vivian Wu;Yiyi Liu;Yu Feng Guo;Yuchi Zhang;Zhi Cheng Shen,148,76.925675676,11.429220944,97.0,24.0,3,3,7,5,4,17,17,27,26,25,14
UBCV,2020,S,CPSC,340,,911,Machine Learning and Data Mining,Alireza Shafaei;Egor Peshkov;Farnoosh Javadifishani;Ke Ma;Liron Kurzman;Ming Zhang;Ramya Rao Basava;Shahriar Shayesteh,87,83.103448276,11.657949162,100.0,23.0,1,0,0,2,5,5,6,8,18,16,26
UBCV,2020,W,CPSC,320,,101,Intermediate Algorithm Design and Analysis,Alan Hu;Carmen Li;David Kirkpatrick;Deyu Liu;Heng Xia;Jordan Kari Lovrod;Kushagra Sharma;Liron Kurzman;Lucca Siaudzionis;Patrice Belleville;Prithu Banerjee;Rebecca Zhi Ying Xie;Zehui Gong;Zoe Fox,171,70.795321637,11.658331093,93.0,0.0,7,5,9,16,22,21,33,22,19,14,3
UBCV,2020,W,CPSC,320,,102,Intermediate Algorithm Design and Analysis,Alan Hu;Carmen Li;Deyu Liu;Heng Xia;Jordan Kari Lovrod;Kushagra Sharma;Liron Kurzman;Patrice Belleville;Prithu Banerjee;Rebecca Zhi Ying Xie;Zoe Fox,150,74.313333333,10.673392035,97.0,32.0,7,1,2,7,14,16,25,31,28,12,7
UBCV,2020,W,CPSC,322,,201,Introduction to Artificial Intelligence,Chen Yu Liu;Cristina Conati;James Tang;Liron Kurzman;Rohit Murali;Siliang Liu;Zijia Zhang,141,79.602836879,14.35413302,99.0,11.0,4,4,2,5,9,8,13,15,23,15,43
UBCV,2021,S,CPSC,340,,911,Machine Learning and Data Mining,Ali Seyfi;Austin Gregory Beauchamp;Frank F Yu;Jiahui Huang;Liron Kurzman;Mohamad Amin Mohamadi;Nam Hee Kim;Peyman Gholami;Seyedeh Farnoosh Hashemi Fesharaki;Shahriar Shayesteh;Yuxin Tian,108,82.509259259,13.042343241,100.0,18.0,2,0,5,2,4,2,4,8,17,32,32
UBCV,2021,W,CPSC,340,,101,Machine Learning and Data Mining,Danica Sutherland;Daniel Ajisafe;Dylan Green;Ken Johnson;Liron Kurzman;Michael Liu;Niloofar Khoshsiyar;Ruiyu Gou;Tianyue Zhang;Yen Fu Lin,86,78.011627907,16.205659277,100.0,12.0,4,3,5,3,5,6,8,7,11,9,25
UBCV,2021,W,CPSC,340,,103,Machine Learning and Data Mining,Daniel Ajisafe;Dylan Green;Ken Johnson;Liron Kurzman;Michael Gelbart;Michael Liu;Niloofar Khoshsiyar;Ruiyu Gou;Tianyue Zhang;Yen Fu Lin,136,82.75,14.574330554,100.0,4.0,3,3,7,3,1,4,10,13,17,25,50
UBCV,2021,W,CPSC,440,,201,Advanced Machine Learning,Alan Milligan;Ali Behrouz;Betty Shea;Jacques Chen;Liron Kurzman;Mark Schmidt;Raghav Goyal;Yilin Yang,70,87.142857143,12.924850476,99.0,9.0,1,1,0,1,0,0,6,2,3,17,39
UBCV,2021,W,CPSC,540,,201,Machine Learning,Alan Milligan;Ali Behrouz;Betty Shea;Liron Kurzman;Mark Schmidt;Raghav Goyal;Yilin Yang,26,93.038461538,4.024731238,98.0,85.0,0,0,0,0,0,0,0,0,0,6,20
