Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2015,W,APSC,172,,101,Engineering Analysis I,Christopher Michael Collier;Christopher Young;Maher Al-Hawarneh;Md Rashedul Kabir;Severin Nowak,132,69.818181818,16.439488013,97.0,7.0,12,3,13,14,11,8,17,13,16,12,13
UBCO,2015,W,APSC,172,,102,Engineering Analysis I,Christopher Michael Collier;Christopher Young;Maher Al-Hawarneh;Md Rashedul Kabir;Severin Nowak,109,67.018348624,19.244519014,98.0,10.0,16,9,7,13,6,7,7,12,8,10,14
UBCO,2015,W,APSC,179,,101,Linear Algebra for Engineers,Ian Foulds;Md Rashedul Kabir;Md Rezwan Parvez;Trevor Billows;Trevor N Billows;Ying Yi,104,67.663461538,18.196665958,100.0,2.0,11,5,7,9,6,22,10,9,13,6,6
UBCO,2015,W,APSC,179,,102,Linear Algebra for Engineers,Ian Foulds;Md Rashedul Kabir;Md Rezwan Parvez;Trevor Billows;Trevor N Billows;Ying Yi,136,68.963235294,13.605232157,100.0,20.0,12,4,9,11,17,21,20,18,11,6,7
UBCO,2016,W,APSC,179,,101,Linear Algebra for Engineers,Ian Foulds;Md Rashedul Kabir;Todd Williams,288,75.11458333,19.89179954,100.0,0.0,30,6,8,10,16,16,24,25,48,44,61
UBCO,2016,W,ENGR,325,,101,Civil Engineering Materials,Md Rashedul Kabir;Md. Mosharef Hossain;Mohammad Hossain;Mohammad Towsif Hossain;Shahria Alam,83,77.53012048,7.8372739,97.0,44.0,1,0,0,1,3,12,14,19,18,10,5
UBCO,2017,W,APSC,179,,101,Linear Algebra for Engineers,Ian Foulds;Md Rashedul Kabir,119,67.588235294,17.803261825,98.0,0.0,26,1,7,7,6,18,9,11,12,11,11
UBCO,2017,W,APSC,179,,102,Linear Algebra for Engineers,Ian Foulds;Md Rashedul Kabir,158,76.727848101,14.249214409,100.0,35.0,17,0,1,4,13,12,11,22,29,19,30
UBCO,2020,W,ENGR,429,,101,Rehabilitation of Concrete Structures,Ahmad Rteil;Md Rashedul Kabir,51,75.529411765,9.99470448,92.0,47.0,2,0,1,3,3,4,5,14,11,4,4
UBCV,2017,S,APSC,179,,VE1,Linear Algebra for Engineers,Ayman Elnaggar;Md Rashedul Kabir,67,79.686567164,11.82089695,97.0,33.0,1,2,1,1,4,7,6,4,10,17,14
