Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,GEOG,391,,201,GEOGRAPHY EUROPE,"Kuus, Merje",42,70.6,8.35,87,50,42,0,0,0,0,0,0,0,0,0,0,1,2,9,2,8,8,5,6,1,0,,,
UBC,2002,W,GEOG,453,,101,POLI GEOG ANLYS,"Kuus, Merje",16,70.56,13.23,88,47,15,1,0,0,0,0,0,0,0,1,1,2,1,0,1,1,3,2,3,2,0,,,
UBC,2002,W,GEOG,493,,201,GEOG EASTERN EUR,"Kuus, Merje",36,67.68,13.09,90,32,30,4,1,0,1,0,0,0,1,3,4,1,4,2,4,3,7,1,6,1,1,,,
UBC,2002,W,IEST,591,,101,GEOG EUROPE,"Kuus, Merje",7,81.14,6.2,93,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,,,
UBC,2003,W,GEOG,391,,101,GEOGRAPHY EUROPE,"Kuus, Merje",44,69.11,10.33,87,36,43,1,0,0,0,0,0,0,1,0,1,4,0,5,7,7,6,5,7,2,0,,,
UBC,2003,W,GEOG,453,,201,POLI GEOG ANLYS,"Kuus, Merje",21,73.19,9.31,85,55,21,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,5,2,7,1,0,,,
UBC,2003,W,GEOG,493,,201,GEOG EASTERN EUR,"Kuus, Merje",26,72.21,12.67,85,30,22,2,0,1,1,0,0,0,1,1,2,0,0,1,1,2,6,4,7,1,0,,,
UBC,2003,W,IEST,591,,101,GEOG EUROPE,"Kuus, Merje",8,84.13,2.03,87,81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,,
UBC,2005,W,GEOG,391,,101,GEOGRAPHY EUROPE,"Fall, Juliet;Kuus, Merje",68,68.65,12.77,86,11,66,2,0,0,0,0,2,0,0,0,2,3,3,8,12,13,11,1,12,3,0,,,
UBC,2005,W,GEOG,453,,101,POLI GEOG ANLYS,"Kuus, Merje",21,70.86,13.46,85,21,20,1,0,0,0,0,0,1,0,0,1,0,1,1,2,2,5,4,4,1,0,,,
UBC,2005,W,GEOG,493,,201,GEOG EASTERN EUR,"Kuus, Merje",45,69.18,13.09,85,0,44,1,0,0,0,1,0,0,0,0,1,2,1,2,12,5,8,5,8,1,0,,,
UBC,2005,W,GEOG,533,,201,POLITICAL GEOG,"Kuus, Merje",13,84.6,2.12,88,82,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,,,
UBC,2005,W,IEST,591,,101,GEOG EUROPE,"Kuus, Merje",8,84.13,2.47,88,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,,
UBC,2006,W,GEOG,391,,101,GEOGRAPHY EUROPE,"Kuus, Merje",69,68.99,9.34,86,39,65,2,1,0,1,0,0,0,1,1,2,2,4,5,17,8,11,4,13,1,0,,,
UBC,2006,W,GEOG,453,,201,POLI GEOG ANLYS,"Kuus, Merje",19,68.21,20.07,86,0,17,2,0,0,0,1,0,0,0,1,2,0,2,1,1,3,1,3,4,2,0,,,
UBC,2006,W,GEOG,533,,201,POLITICAL GEOG,"Kuus, Merje",17,85.53,2.8,91,82,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,2,,,
UBC,2007,W,GEOG,391,,201,GEOGRAPHY EUROPE,"Kuus, Merje",73,69.7,8.39,88,43,72,1,0,0,0,0,0,0,0,1,1,2,3,5,19,11,15,3,13,1,0,,,
UBC,2007,W,GEOG,453,,201,POLI GEOG ANLYS,"Kuus, Merje",12,74.92,8.36,85,60,12,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,5,1,0,,,
