Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,MATH,105,,214,INT CALC AP C&SS,"Kang, Xiaosong",38,71.37,13.74,96,33,34,1,0,0,3,0,0,0,1,0,1,2,4,2,4,5,4,3,3,3,4
UBC,2003,W,MATH,105,,210,INT CALC AP C&SS,"Kang, Kyungkeun",49,66.74,19.1,100,0,42,5,1,0,1,1,0,0,4,0,5,5,4,4,2,6,2,4,9,2,4
UBC,2006,W,ENGL,112,,02C,STRAT UNIV WRIT,"Kang, Nancy",34,75.03,5.11,85,64,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16,3,8,2,0
UBC,2006,W,ENGL,112,,02N,STRAT UNIV WRIT,"Kang, Nancy",33,74.03,4.65,82,65,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,8,5,6,0,0
UBC,2006,W,ENGL,112,,06C,STRAT UNIV WRIT,"Kang, Nancy",34,75.47,3.82,84,68,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,5,7,0,0
UBC,2006,W,ENGL,112,,06S,STRAT UNIV WRIT,"Kang, Nancy",31,75.9,5.34,85,65,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,7,8,7,2,0
UBC,2006,W,ENGL,223,,007,LIT IN U.S.,"Kang, Nancy",42,70.85,15.6,85,0,39,2,1,0,0,1,1,0,0,0,2,0,0,0,1,9,17,7,3,2,0
UBC,2006,W,ENGL,472,D,003,Amer Studies,"Kang, Nancy",29,77.52,7.16,86,50,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,7,7,5,0
UBC,2011,W,ASIA,353,,001,INTRO HINDI FILM,"Kang, Neelu",31,86.23,6.65,96,70,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,13,10
UBC,2011,W,ASIA,376,,002,THE SIKHS,"Kang, Neelu",38,83.47,6.98,94,67,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,8,10,8
UBC,2011,W,ASIA,476,A,001,TCS SIKH&S ASIA,"Kang, Neelu",4,89.5,7.05,97,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
UBC,2012,W,SOCI,100,C,002,INTRO SOCIOLOGY,"Kang, Neelu",112,66.94,9.92,86,29,107,4,1,0,0,0,0,1,0,3,4,8,11,17,14,17,19,10,10,1,0
UBC,2012,W,SOCI,100,C,004,INTRO SOCIOLOGY,"Kang, Neelu",53,68.65,12.37,90,22,49,2,2,0,0,0,0,2,0,0,2,2,2,6,4,14,6,9,5,0,1
UBC,2012,W,SOCI,312,A,003,GENDER RELATIONS,"Kang, Neelu",23,72.43,9.47,88,54,23,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,3,3,3,0
