Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,HKIN,471,,001,PREV SPTS INJ II,"Lloyd-Smith, Rob;Miran-Khan, Karim",52,85.94,6.37,96,68,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,14,15,17
UBC,2006,W,HKIN,461,,001,PREV SPTS INJ I,"Miran-Khan, Karim;Prasad, Navin",72,91.11,5.87,100,76,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,19,43
UBC,2006,W,HKIN,471,,001,PREV SPTS INJ II,"Lloyd-Smith, Rob;Miran-Khan, Karim",57,90.65,6.65,99,74,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,8,36
UBC,2006,W,PCTH,300,,001,INTRO TO PCOL,"Karim, Sultan;Pang, Catherine C",19,86.47,8.34,96,60,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,6,7
UBC,2006,W,PCTH,302,,001,INTRO PHARMACLGY,"Karim, Sultan;Pang, Catherine C",19,84.53,3.89,93,75,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,1
UBC,2006,W,PCTH,402,,001,SYSTMTC PCOL LAB,"Karim, Sultan;Pang, Catherine C;Walker, Michael",9,86.44,5.2,93,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
UBC,2007,W,HKIN,461,,001,PREV SPTS INJ I,"Bahr, Roald;Miran-Khan, Karim",77,88.19,5.91,100,68,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,27,35
UBC,2007,W,HKIN,471,,001,PREV SPTS INJ II,"Bahr, Roald;Miran-Khan, Karim",63,90.95,4.46,96,80,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,43
UBC,2007,W,PCTH,300,,001,INTRO TO PCOL,"Karim, Sultan;Pang, Catherine C",18,89.5,5.49,97,77,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,10
UBC,2007,W,PCTH,302,,001,INTRO PHARMACLGY,"Karim, Sultan;Pang, Catherine C",18,82.67,6.7,92,72,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,5,3
UBC,2007,W,PCTH,402,,001,SYSTMTC PCOL LAB,"Karim, Sultan;Pang, Catherine C;Walker, Michael",4,88.75,3.4,93,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2009,W,HKIN,461,,001,PREV SPTS INJ I,"Miran-Khan, Karim",69,89.41,5.49,99,74,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,19,37
