Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,CPSC,216,,103,PRG DGN&DATA STR,"Booth, Kellogg",69,74.11,13.2,92,34,61,5,2,1,0,0,0,0,1,4,5,2,2,3,3,7,6,9,12,11,6
UBC,2002,W,CPSC,252,,202,PRG DSGN&DATA ST,"Booth, Kellogg",71,66.87,15.5,94,12,60,9,1,0,1,0,1,1,2,5,9,3,3,6,14,6,6,11,3,6,2
UBC,2003,W,CPSC,252,,101,PRG DSGN&DATA ST,"Booth, Kellogg",161,77.08,9.81,95,23,156,1,3,0,1,0,0,1,0,0,1,2,3,6,8,16,23,27,33,23,15
UBC,2003,W,CPSC,252,,202,PRG DSGN&DATA ST,"Booth, Kellogg",142,73.99,14.16,99,26,132,8,1,0,1,0,0,3,1,4,8,4,6,3,10,22,15,16,21,18,17
UBC,2005,W,CPSC,260,,101,OBJ-OR PROG DSGN,"Booth, Kellogg",235,70.7,12.07,100,35,223,7,4,0,1,0,0,0,5,2,7,10,18,26,33,18,34,30,24,15,15
UBC,2005,W,CPSC,260,,201,OBJ-OR PROG DSGN,"Booth, Kellogg",105,69.46,15.97,100,30,90,10,3,0,2,0,0,0,3,7,10,9,4,14,8,5,10,9,12,8,11
UBC,2006,W,CPSC,260,,101,OBJ-OR PROG DSGN,"Booth, Kellogg",223,69.91,13.6,100,30,206,6,6,0,5,0,0,0,3,3,6,16,30,26,21,24,15,19,19,17,19
UBC,2006,W,CPSC,260,,201,OBJ-OR PROG DSGN,"Booth, Kellogg",119,71.4,15.61,93,26,102,10,4,0,3,0,0,2,3,5,10,7,4,10,5,11,10,11,20,14,10
UBC,2007,W,CPSC,260,,101,OBJ-OR PROG DSGN,"Booth, Kellogg",134,70.7,13.1,96,32,127,3,3,0,1,0,0,0,3,0,3,9,16,11,15,11,15,10,17,12,11
UBC,2007,W,CPSC,260,,201,OBJ-OR PROG DSGN,"Booth, Kellogg",194,70.21,12.51,97,37,172,5,3,0,14,0,0,0,1,4,5,12,18,16,28,21,21,9,21,11,15
UBC,2007,W,CPSC,544,,101,HMN-CMPT INTRACT,"Booth, Kellogg",15,83.67,2.41,88,80,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0
UBC,2009,W,CPSC,260,,201,OBJ-OR PROG DSGN,"Booth, Kellogg",230,69.43,17.57,100,30,206,18,4,0,2,0,0,0,5,13,18,37,23,14,18,15,13,7,16,23,40
UBC,2010,W,CPSC,260,,201,OBJ-OR PROG DSGN,"Booth, Kellogg",185,77.1,12.47,99,29,167,8,6,0,4,0,0,1,0,7,8,2,4,4,14,15,19,20,32,33,24
UBC,2011,W,CPSC,260,,201,OBJ-OR PROG DSGN,"Booth, Kellogg",138,72.81,10.35,96,50,130,0,2,1,5,0,0,0,0,0,0,5,11,8,18,10,20,14,28,13,3
UBC,2012,W,CPSC,260,,101,DTA STRCT&ALGORT,"Booth, Kellogg",194,74.51,14.06,100,15,188,3,3,0,0,0,1,1,1,0,3,9,10,21,23,12,19,17,23,20,34
UBC,2014,W,ISCI,311,,201,SIZE OF THINGS,"Evans, Robert James;Kellogg, Jonathan",28,86.56,5.89,96,70,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,12,9
UBC,2014,W,ISCI,360,,201,SYS APP REG SUS,"Kellogg, Jonathan",40,83,6.07,92,65,38,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,19,9,4
UBC,2015,W,SCIE,113,,110,SCIE SEMINAR,"Booth, Kellogg;Oberg, Gunilla",24,76.13,7,86,59,23,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,6,1,9,2,0
UBC,2016,W,SCIE,113,,109,SCIE SEMINAR,"Booth, Kellogg",27,79.56,8.24,90,60,25,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,4,3,7,5,3
