Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,LLED,200,,002,INTRO ACAD WRIT,"Kowkabi, Nasrin",13,75.54,7.09,86,64,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,4,1,0
UBC,2012,W,LLED,200,,003,INTRO ACAD WRIT,"Kowkabi, Nasrin",19,77.89,5.98,86,67,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,8,2,0
UBC,2013,S,LLED,489,B,922,APPL LING TEACH,"Kowkabi, Nasrin",22,85.32,4.61,94,70,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,10,3
UBC,2013,W,LLED,200,,007,INTRO ACAD WRIT,"Kowkabi, Nasrin",13,72.46,9.46,82,45,12,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,4,2,0,0
UBC,2013,W,LLED,211,,001,SOC PROC INCL/EX,"Kowkabi, Nasrin",22,75.5,4.63,84,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,5,0,0
UBC,2013,W,LLED,211,,002,SOC PROC INCL/EX,"Kowkabi, Nasrin",13,73.23,6.34,82,63,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,0,4,0,0
UBC,2014,W,LLED,200,,005,INTRO ACAD WRIT,"D'Silva, Reginald;Kowkabi, Nasrin",12,72.58,3.99,80,66,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,0,0
UBC,2014,W,LLED,211,,001,SOC PROC INCL/EX,"Kowkabi, Nasrin",22,78.95,4.82,88,71,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,3,0
UBC,2014,W,LLED,211,,002,SOC PROC INCL/EX,"Kowkabi, Nasrin",25,76.92,4.77,87,66,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,13,5,1,0
UBC,2014,W,LLED,221,,001,LANG MAINTENANCE,"Kowkabi, Nasrin",17,76,4.92,84,68,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,5,0,0
UBC,2015,W,LLED,200,,007,INTRO ACAD WRIT,"Kowkabi, Nasrin",12,73.33,4.89,79,63,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,0,0,0
UBC,2015,W,LLED,211,,001,SOC PROC INCL/EX,"Kowkabi, Nasrin",11,76.18,7.07,86,59,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,1,0
UBC,2015,W,LLED,211,,002,SOC PROC INCL/EX,"Kowkabi, Nasrin",24,75.08,6.14,87,62,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,5,4,1,0
UBC,2016,W,LLED,200,,001,INTRO ACAD WRIT,"Kowkabi, Nasrin",13,75.08,3.8,81,69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,3,0,0
UBC,2016,W,LLED,200,,005,INTRO ACAD WRIT,"Kowkabi, Nasrin",12,73.42,4.23,80,67,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,1,0,0
UBC,2018,W,LLED,200,,001,INTRO ACAD WRIT,"Kowkabi, Nasrin",15,78.33,2.53,83,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,0,0
UBC,2018,W,LLED,200,,004,INTRO ACAD WRIT,"Kowkabi, Nasrin",15,70.4,6.02,82,61,15,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,1,1,2,0,0
UBC,2018,W,LLED,201,,001,CRIT READ&WRIT,"Kowkabi, Nasrin",18,77.56,3.88,84,69,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,0,0
UBC,2018,W,LLED,201,,003,CRIT READ&WRIT,"Kowkabi, Nasrin",18,72.89,3.64,80,67,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,3,1,0,0
