Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,MATH,101,,211,INT CALC AP PH S,"Hambrook, Kyle",77,64.17,13.74,93,24,68,8,1,0,0,0,0,1,2,5,8,11,10,5,11,9,8,3,6,1,4
UBC,2012,W,CENS,201,,002,CONTR & CONFL,"Frackman, Kyle",49,77.67,14.95,100,50,48,0,0,0,1,0,0,0,0,0,0,3,7,1,1,5,3,1,5,9,13
UBC,2012,W,MATH,105,,211,INT CALC AP C&SS,"Hambrook, Kyle",81,64.14,16.61,93,22,59,13,6,0,3,0,0,2,3,8,13,6,9,4,6,5,7,8,10,2,2
UBC,2012,W,SCAN,411,A,101,DRAMA & FILM TRN,"Frackman, Kyle",26,82.42,10.65,99,60,26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,4,7,7
UBC,2012,W,SCAN,412,,001,NRTHRN EURO EPIC,"Frackman, Kyle",9,88.56,6.39,96,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4
UBC,2013,W,CENS,201,,002,CONTR & CONFL,"Frackman, Kyle",54,79.76,15.74,100,41,52,2,0,0,0,0,0,0,0,2,2,3,3,2,2,4,2,3,7,6,20
UBC,2013,W,GERM,521,,001,CULTURAL STUDIES,"Frackman, Kyle",8,92.25,4.83,99,85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
UBC,2013,W,SCAN,332,A,001,TOPICS IN SCAN,"Frackman, Kyle",37,85.46,14.78,98,16,36,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,3,2,11,17
UBC,2013,W,SCAN,411,A,001,DRAMA & FILM TRN,"Frackman, Kyle",47,84.91,12.97,99,52,46,0,1,0,0,0,0,0,0,0,0,3,1,0,0,3,1,4,7,10,17
UBC,2014,W,CENS,307,,001,WTCHES MYTH RLTY,"Frackman, Kyle",65,87.7,10.93,99,30,60,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,3,8,15,31
UBC,2014,W,SCAN,332,A,001,TOPICS IN SCAN,"Frackman, Kyle",40,89.72,3.75,96,78,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,21
UBC,2014,W,SCAN,411,A,001,DRAMA & FILM TRN,"Frackman, Kyle",55,82.2,11.45,98,35,54,1,0,0,0,0,0,0,1,0,1,0,2,0,2,4,3,3,13,11,16
UBC,2015,W,CENS,307,,001,WTCHES MYTH RLTY,"Frackman, Kyle",65,83.19,12.21,99,21,61,2,0,0,0,0,0,1,0,1,2,0,2,0,1,1,2,4,14,18,19
UBC,2015,W,GERM,521,,001,CULTURAL STUDIES,"Frackman, Kyle",5,87,6.75,91,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
UBC,2015,W,SCAN,411,A,001,DRAMA & FILM TRN,"Frackman, Kyle",45,86.4,8.48,98,61,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,11,6,21
UBC,2016,W,CENS,307,,001,WTCHES MYTH RLTY,"Frackman, Kyle",67,84.29,12.16,97,24,64,2,0,0,0,0,0,1,0,1,2,0,0,1,1,2,2,7,9,18,24
UBC,2016,W,SCAN,415,,001,WORLD OF SAGAS,"Frackman, Kyle",29,81.22,9.87,97,58,27,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,7,6,5
UBC,2017,W,CENS,307,,001,WTCHES MYTH RLTY,"Frackman, Kyle",42,84.57,10.36,96,32,41,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,11,14,10
UBC,2017,W,GERM,500,A,001,GERM RSRCH MTHDS,"Frackman, Kyle",4,84.5,9.15,91,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
UBC,2017,W,LLED,360,,304,CLS DSC TEL SECD,"Stooshnov, Kyle",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2017,W,SCAN,411,A,001,DRAMA & FILM TRN,"Frackman, Kyle",47,80.93,10.05,94,30,45,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,15,6,12,7
