Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ENGL,301,,004,TECH&BUS WRITING,"Arnovick, Leslie Katherine",26,88.23,5.09,97,75,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,12,10
UBC,2002,W,ENGL,320,,003,HIST ENGL LANG,"Arnovick, Leslie Katherine",53,82.78,10.81,91,18,50,1,2,0,0,0,1,0,0,0,1,0,0,0,0,3,2,4,14,21,6
UBC,2002,W,ENGL,329,,004,STRUC MOD ENGL,"Arnovick, Leslie Katherine",38,81.03,10.51,95,49,35,1,2,0,0,0,0,0,0,1,1,0,1,0,2,0,5,2,9,7,9
UBC,2003,W,ENGL,229,B,002,LANG / RHETORIC,"Arnovick, Leslie Katherine",35,74.06,16.02,87,0,31,1,3,0,0,1,0,0,0,0,1,1,0,1,2,3,7,1,9,7,0
UBC,2003,W,ENGL,320,,002,HIST ENGL LANG,"Arnovick, Leslie Katherine",49,80.29,6.66,90,59,48,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,5,7,17,13,1
UBC,2003,W,ENGL,329,,003,STRUC MOD ENGL,"Arnovick, Leslie Katherine",38,80.57,16.54,96,0,34,1,3,0,0,1,0,0,0,0,1,1,0,0,0,2,2,5,7,9,8
UBC,2005,W,ENGL,320,,001,HIST ENGL LANG,"Arnovick, Leslie Katherine",44,80,9.71,92,43,42,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,9,16,11,2
UBC,2005,W,ENGL,329,,001,STRUC MOD ENGL,"Arnovick, Leslie Katherine",44,80.8,10.18,92,38,40,1,3,0,0,0,0,0,1,0,1,0,0,1,1,2,4,5,10,10,7
UBC,2005,W,ENGL,514,A,001,ST'S RENAISSANCE,"Arnovick, Leslie Katherine",7,87.14,3.02,91,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
UBC,2006,W,ENGL,320,,002,HIST ENGL LANG,"Arnovick, Leslie Katherine",51,79.55,12.41,89,0,50,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,7,9,16,16,0
UBC,2006,W,ENGL,321,,001,TRADITNL GRAMMAR,"Arnovick, Leslie Katherine",40,73.08,14.75,90,0,37,1,1,1,0,1,0,0,0,0,1,1,2,0,0,11,5,5,9,3,1
UBC,2007,W,ENGL,227,,003,PROSE,"Arnovick, Leslie Katherine",37,72.27,14.03,90,17,36,1,0,0,0,0,1,0,0,0,1,1,3,2,3,7,2,6,5,4,3
UBC,2007,W,ENGL,320,,002,HIST ENGL LANG,"Arnovick, Leslie Katherine",48,78.32,6.94,90,53,47,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5,5,12,14,8,1
UBC,2007,W,ENGL,321,,001,TRADITNL GRAMMAR,"Arnovick, Leslie Katherine",45,78.58,8.17,91,52,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,9,6,10,10,3
UBC,2007,W,ENGL,490,,011,Majors Seminar,"Arnovick, Leslie Katherine",14,78,22.73,87,0,13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,10,0
UBC,2009,W,ENGL,320,,001,HIST ENGL LANG,"Arnovick, Leslie Katherine",39,75.97,5.89,85,60,37,0,2,0,0,0,0,0,0,0,0,0,0,1,0,9,5,7,13,2,0
UBC,2009,W,ENGL,321,,001,TRADITNL GRAMMAR,"Arnovick, Leslie Katherine",40,82.23,4.48,89,71,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,15,14,0
UBC,2009,W,ENGL,490,,010,Majors Seminar,"Arnovick, Leslie Katherine",17,79.94,6.24,86,64,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,6,0
UBC,2010,W,ENGL,320,,001,HIST ENGL LANG,"Arnovick, Leslie Katherine",46,77.23,7.94,90,51,44,0,2,0,0,0,0,0,0,0,0,1,1,1,0,6,6,8,15,4,2
UBC,2010,W,ENGL,321,,002,TRADITNL GRAMMAR,"Arnovick, Leslie Katherine",42,75.61,8.98,88,53,38,0,3,0,0,0,0,0,0,0,0,1,1,3,1,5,5,6,7,9,0
UBC,2010,W,ENGL,490,,002,MAJOR SEMINR LIT,"Arnovick, Leslie Katherine",10,78.1,12.08,90,55,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,2,2
UBC,2011,W,ENGL,229,A,001,LANG / RHETORIC,"Arnovick, Leslie Katherine",42,71.71,8.95,87,50,41,0,1,0,0,0,0,0,0,0,0,3,2,1,3,7,12,5,6,2,0
