Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2015,W,ENGL,110,,001,Approaches to Literature,Adrian Lou;Emelia Halton-Hernandez;Mary Ann Chapman;Pavlina Cerna;Pavlina Pajot;Rebecca Dodd;Rebecca Jane Dodd;Stephanie Lu,109,73.633027523,7.071932721,88.0,36.0,,,,5,7,18,29,32,12,,0,,,
UBCV,2015,W,ENGL,110,,017,Approaches to Literature,Adrian Lou;Diana Demian;Karla Wurtz;Mary-Anne Shonoda;Olivia Kelava;Suzanne James,125,71.352,11.515246555,84.0,0.0,,,,7,10,30,36,21,18,0,0,,,
UBCV,2016,W,ENGL,110,,001,Approaches to Literature,Adrian Lou;Bradley Jackson;Christopher Gaudet;Jesse Colautti;Kurian Peter;Kurian Therakath Peter;Peter Mahon,145,71.50344828,12.80197692,92.0,0.0,6,2,6,6,15,23,31,20,23,10,3,,,
UBCV,2016,W,ENGL,110,,017,Approaches to Literature,Adrian Lou;Dalton Polyvas;Hilary Ball;Kelsey Moskal;Mary Ann Chapman;Rachel Lacy,107,74.62616822,11.05605218,91.0,17.0,3,2,3,2,7,14,18,23,20,12,3,,,
UBCV,2017,W,ENGL,110,,001,Approaches to Literature,Adrian Lou;Carley Meredith;Kyle Smith;Lian Furlong;Peter Mahon;Rachel Lacy,134,72.768656716,9.835423304,91.0,19.0,2,4,3,6,14,27,22,23,22,9,2,,,
UBCV,2017,W,ENGL,110,,017,Approaches to Literature,Adrian Lou;Katrina Sellinger;Kurian Peter;Mary Ann Chapman;Rachel Lacy,110,79.736363636,8.391429958,96.0,52.0,0,2,1,3,3,7,12,17,35,20,10,,,
UBCV,2018,W,ENGL,110,,001,Approaches to Literature,Adrian Lou;Bradley Jackson;Jade Standing;Patricia Badir;Scott Russell;Torin Mclachlan,129,74.589147287,8.94043868,91.0,35.0,1,3,2,5,14,20,12,28,28,13,3,,,
UBCV,2018,W,ENGL,110,,017,Approaches to Literature,Adrian Lou;Bradley Jackson;Jessica Erickson;Karoline Pasciano;Mary Ann Chapman,122,79.606557377,14.895535621,96.0,0.0,6,2,3,3,6,2,8,10,26,25,31,,,
UBCV,2019,W,ENGL,110,,001,Approaches to Literature,Adrian Lou;Caelyn Elizabeth Rosch;Mairi Hill;Richard Bergen;Sarah Nelle Jackson;Stephen Guy-Bray,139,73.978417266,9.110010123,90.0,0.0,1,0,5,4,8,22,34,36,21,7,1,,,
UBCV,2019,W,ENGL,110,,017,Approaches to Literature,Adrian Lou;Bradley Jackson;Emma Ferrett;Kate Dooley;Moberley Luger;Torin Mclachlan,143,75.496503497,7.812840754,93.0,50.0,0,4,2,5,4,18,29,32,34,11,4,,,
UBCV,2020,W,ENGL,110,,007,Approaches to Literature,Adrian Lou;Kyla Drzazgowski;Rusaba Alam;Sheila Giffen;Suzanne James;Ya'El Frankel,141,71.829787234,12.703181518,88.0,0.0,4,3,1,3,16,22,34,34,21,3,0,,,
UBCV,2020,W,ENGL,321,,001,English Grammar and Usage,Adrian Lou,22,74.454545455,14.174851214,96.0,38.0,1,2,1,0,1,1,5,1,5,3,2,,,
UBCV,2021,W,WRDS,150,,V01,Writing and Research in the Disciplines,Adrian Lou,23,69.608695652,18.821503974,93.0,2.0,2,0,2,2,2,2,3,4,3,2,1,,,
UBCV,2021,W,WRDS,150,A,122,Writing and Research in the Disciplines,Adrian Lou,28,75.892857143,11.659805239,91.0,54.0,0,1,3,2,2,1,3,3,4,7,2,,,
UBCV,2021,W,WRDS,150,A,153,Writing and Research in the Disciplines,Adrian Lou,26,74.5,12.426584406,91.0,50.0,0,3,0,1,4,2,3,1,4,5,3,,,
UBCV,2021,W,WRDS,150,A,162,Writing and Research in the Disciplines,Adrian Lou,31,69.709677419,19.105310864,90.0,8.0,2,2,1,0,4,2,7,7,1,4,1,,,
UBCV,2021,W,WRDS,150,,V01,Writing and Research in the Disciplines,Adrian Lou,23,69.6,,93.0,2.0,,,,,,,,,,,,72.0,80.0,64.0
UBCV,2021,W,WRDS,150,A,122,Writing and Research in the Disciplines,Adrian Lou,28,75.9,,91.0,54.0,,,,,,,,,,7,,79.0,85.0,66.8
UBCV,2021,W,WRDS,150,A,153,Writing and Research in the Disciplines,Adrian Lou,26,74.5,,91.0,50.0,,,,,,,,,,,,75.0,85.0,65.3
