Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,CONS,370,,201,ABORIGNL FORESTR,"Lyall, Andrea",20,78.65,20.6,96,0,19,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,2,4,6,4
UBC,2012,W,CONS,370,,201,ABORIGNL FORESTR,"Lyall, Andrea",31,78.63,19.41,95,0,29,1,1,0,0,1,0,0,0,0,1,2,0,1,3,0,2,2,4,5,10
UBC,2013,W,CONS,370,,201,ABORIGNL FORESTR,"Lyall, Andrea",36,79.17,9.08,94,56,35,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,4,6,11,7,2
UBC,2014,W,CONS,370,,201,ABORIGNL FORESTR,"Lyall, Andrea",46,77.49,8.81,91,57,43,0,2,0,0,0,0,0,0,0,0,0,1,3,3,1,9,8,7,9,2
UBC,2015,W,CONS,370,,201,ABORIGNL FORESTR,"Lyall, Andrea",59,81.18,8.18,93,56,57,0,0,2,0,0,0,0,0,0,0,0,1,2,2,2,3,9,14,17,7
UBC,2016,W,CONS,370,,201,ABORIGNL FORESTR,"Lyall, Andrea",62,79.25,13.36,94,15,57,2,0,2,1,0,1,0,1,0,2,1,1,0,2,1,9,8,13,12,10
UBC,2017,W,CONS,370,,201,ABORIGNL FORESTR,"Lyall, Andrea",78,81.48,8.01,93,58,77,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,7,13,18,21,11
UBCV,2014,W,CONS,370,,201,Aboriginal Forestry,Andrea Lyall,44,77.54545455,8.719010359,91.0,57.0,,,,,,,,,,,0,0,,,,,9,8,8,9,
UBCV,2015,W,CONS,370,,201,Aboriginal Forestry,Andrea Lyall,57,81.175438596,8.183438866,93.0,56.0,,,,,,,,,,,0,0,,,,,,9,14,17,7
UBCV,2016,W,CONS,370,,201,Aboriginal Forestry,Andrea Lyall,60,78.1,15.97954201,94.0,10.0,,,,,,,,,,,3,1,1,0,2,1,9,8,13,12,10
UBCV,2017,W,CONS,370,,201,Aboriginal Forestry,Andrea Lyall;Melpatkwa Elise Matthew;Melpatkwa Matthew,78,81.179487179,8.387906554,93.0,58.0,,,,,,,,,,,0,0,3,1,2,2,7,13,18,21,11
UBCV,2018,W,CONS,370,,201,Aboriginal Forestry,Andrea Lyall;Janette Bulkan;Lorien Nesbitt;Marie Karen Alexandra Nosten;Marie Nosten;Ricardo Pelai;Saori Ogura,91,79.307692308,8.279415314,93.0,48.0,,,,,,,,,,,1,0,0,0,3,12,14,14,19,17,11
