Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,HCEP,506,,001,INTRO ECON EVALU,"Anis, Aslam;Lovato, Chris",25,84.04,5.97,93,66,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,8,4
UBC,2003,W,HCEP,506,,001,INTRO ECON EVALU,"Anis, Aslam;Lovato, Chris",20,83.58,6.8,91,71,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,7,4
UBC,2005,W,HCEP,506,,001,INTRO ECON EVALU,"Anis, Aslam;Lovato, Chris",28,84.5,6.53,95,69,24,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,5,10,5
UBC,2005,W,HCEP,540,,002,HLTH SRV RES I,"Lovato, Chris",4,86.75,8.96,95,74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
UBC,2006,W,HCEP,506,,001,INTRO ECON EVALU,"Anis, Aslam;Lovato, Chris",22,80.68,7.45,93,62,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,7,4,3
UBC,2006,W,HCEP,540,,002,HLTH SRV RES I,"Lovato, Chris",4,87.5,1.73,89,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,2009,W,SPPH,540,,002,HLTH SRV RES I,"Lovato, Chris",15,91.4,3.4,95,84,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12
UBC,2009,W,SPPH,540,,DL2,HLTH SRV RES I,"Lovato, Chris",7,89.29,11.37,98,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
UBC,2010,W,SPPH,540,,002,HLTH SRV RES I,"Lovato, Chris",22,86.36,4.88,95,79,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,6
UBC,2011,W,SPPH,540,,002,HLTH SRV RES I,"Kishchenko, Svetlana;Lovato, Chris",20,85.65,8.25,93,63,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,8,7
