Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,PHYS,206,,201,MECHANICS,"Louis-Martinez, Domingo",55,73.15,14.82,98,45,51,4,0,0,0,0,0,0,0,4,4,1,8,4,2,7,2,2,8,9,8
UBC,2006,W,PHYS,153,,003,ELEMENTS OF PHYS,"Louis-Martinez, Domingo;Witt, Donald",208,68.08,16.53,98,31,166,32,6,0,4,0,0,0,7,25,32,9,15,22,10,24,19,11,17,13,26
UBC,2006,W,PHYS,206,,201,MECHANICS,"Louis-Martinez, Domingo",50,71.77,14.89,96,45,43,4,3,0,0,0,0,0,0,4,4,3,4,3,2,6,3,4,7,4,7
UBC,2007,W,PHYS,153,,001,ELEMENTS OF PHYS,"Louis-Martinez, Domingo;McCutcheon, William;Witt, Donald",220,71.59,12.17,97,29,197,18,5,0,0,0,0,1,2,15,18,2,6,14,23,35,34,19,38,17,9
UBC,2007,W,PHYS,153,,003,ELEMENTS OF PHYS,"Louis-Martinez, Domingo;McCutcheon, William;Witt, Donald",221,68.31,16.03,95,0,180,31,10,0,0,3,1,1,5,21,31,0,7,20,14,31,37,19,30,14,8
UBC,2007,W,PHYS,206,,201,MECHANICS,"Louis-Martinez, Domingo",40,73.87,18.13,100,0,37,2,1,0,0,1,0,0,0,1,2,0,3,2,6,3,6,2,5,1,9
UBC,2009,W,PHYS,203,,201,THERMAL PHYS I,"Louis-Martinez, Domingo",61,73.23,18.64,98,0,50,7,4,0,0,1,0,0,0,6,7,2,1,5,5,3,2,5,5,10,12
UBC,2009,W,PHYS,504,,101,RELATIVTY & ELEC,"Louis-Martinez, Domingo",13,87.92,7.16,96,70,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,7
UBC,2010,W,PHYS,203,,201,THERMAL PHYS I,"Louis-Martinez, Domingo",76,70.45,16,97,37,63,8,4,0,1,0,0,0,1,7,8,8,2,4,6,3,8,7,9,7,9
UBC,2010,W,PHYS,504,,101,RELATIVTY & ELEC,"Louis-Martinez, Domingo",13,84.08,6.56,94,75,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,3
UBC,2011,W,PHYS,206,,201,MECHANICS,"Louis-Martinez, Domingo",48,76.64,14.27,95,35,44,3,1,0,0,0,0,0,1,2,3,2,1,1,1,7,2,6,5,11,8
UBC,2011,W,PHYS,301,,101,ELEC & MAGNETISM,"Louis-Martinez, Domingo",137,77.97,12.18,99,40,126,4,3,1,3,0,0,0,0,4,4,1,5,3,10,16,9,17,21,22,22
UBC,2012,W,PHYS,301,,101,ELEC & MAGNETISM,"Louis-Martinez, Domingo",148,78.16,13.26,98,30,143,4,1,0,0,0,0,0,1,3,4,3,10,4,9,7,16,14,20,34,26
UBC,2012,W,PHYS,306,,201,MECHANICS,"Louis-Martinez, Domingo",40,79.29,11.78,96,43,34,1,4,0,1,0,0,0,0,1,1,0,1,1,2,4,2,3,8,4,9
UBC,2013,W,PHYS,301,,101,ELEC & MAGNETISM,"Louis-Martinez, Domingo",122,73.07,13.75,98,45,113,4,4,0,1,0,0,0,0,4,4,11,9,4,12,8,15,11,16,15,12
UBC,2013,W,PHYS,306,,201,MECHANICS,"Gladman, Brett;Louis-Martinez, Domingo",57,71.24,14.75,99,43,52,3,1,1,0,0,0,0,0,3,3,7,3,2,7,6,5,2,6,7,7
