Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2003,W,CHIN,200,,004,INT CHINESE R&W,"Li, Duanduan",13,79.38,4.75,86,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,4,0,,,
UBC,2003,W,CHIN,201,,004,INT CHINESE I B,"Li, Duanduan",15,81.8,4.78,92,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,2,1,,,
UBC,2005,W,CHIN,310,,003,AD CH CONV&COMP,"Li, Duanduan",14,83.38,4.93,90,73,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,3,,,
UBC,2005,W,CHIN,311,,003,AD CH CONV&COMP,"Li, Duanduan",12,79.17,8.26,88,60,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,4,0,,,
UBC,2006,W,CHIN,305,,001,CHIN SPK&WRT I,"Li, Duanduan",11,80.82,9.09,90,60,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,5,1,,,
UBC,2006,W,CHIN,307,,001,AD CHIN SP&WR II,"Li, Duanduan",9,81.89,5.84,92,74,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,,,
UBC,2007,W,ASIA,506,A,018,CHIN&SOCIO LING,"Li, Duanduan",6,82.83,5.27,88,73,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,,,
UBC,2007,W,ASIA,507,A,018,CHINESE APP LING,"Li, Duanduan",11,82.09,3.21,86,75,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,0,,,
UBC,2009,W,ASIA,507,B,018,CHINESE APP LING,"Li, Duanduan",5,85,3.39,90,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,,,
UBC,2009,W,CHIN,305,,001,CHIN SPK&WRT I,"Li, Duanduan",13,77.82,7.29,88,60,11,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,2,0,,,
UBC,2009,W,CHIN,307,,001,AD CHIN SP&WR II,"Li, Duanduan",13,80.33,6.31,91,68,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,2,1,,,
UBC,2010,W,CHIN,305,,001,CHIN SPK&WRT I,"Li, Duanduan",14,78.08,6.6,87,66,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,4,0,,,
UBC,2011,W,CHIN,101,,007,BASIC CHIN I 1,"Li, Duanduan;WANG, TIANXUAN",24,74.58,20.49,95,7,22,2,0,0,0,1,0,1,0,0,2,0,0,2,2,0,1,8,0,5,4,,,
UBC,2011,W,CHIN,307,,001,AD CHIN SP&WR II,"Li, Duanduan",14,79,6.6,88,66,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,4,0,,,
UBC,2011,W,LLED,489,B,003,APPL LING TEACH,"Li, Duanduan",23,74,23.12,87,0,20,2,1,0,0,2,0,0,0,0,2,0,0,0,1,0,1,2,11,5,0,,,
UBC,2012,W,ASIA,386,,001,CHINESE GRAMAR 1,"Li, Duanduan",87,73.53,12.3,93,0,84,1,1,0,0,1,0,0,0,0,1,2,4,3,9,17,13,9,10,16,1,,,
UBC,2012,W,ASIA,396,,001,CHINESE GRAMAR 2,"Li, Duanduan",63,70.35,10.97,87,42,60,2,0,0,0,0,0,0,0,2,2,2,6,8,9,6,5,6,12,6,0,,,
UBC,2012,W,CHIN,307,,001,AD CHIN SP&WR II,"Li, Duanduan",9,80.11,5.9,88,70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,0,,,
UBC,2013,S,LLED,493,A,951,SPR ST MDN LANG,"Li, Duanduan",9,87.38,4.07,92,80,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,,,
UBC,2014,W,ASIA,386,,001,CHINESE GRAMAR 1,"Li, Duanduan",79,77.34,10.06,94,47,76,1,2,0,0,0,0,0,0,1,1,2,0,4,6,7,12,9,11,20,5,,,
UBC,2014,W,ASIA,396,,001,CHINESE GRAMAR 2,"Li, Duanduan",60,70.91,13.89,96,0,54,1,1,0,0,1,0,0,0,0,1,2,2,7,7,10,11,4,2,6,3,,,
UBC,2014,W,CHIN,305,,001,CHIN SPK&WRT I,"Li, Duanduan",11,81.91,4.97,90,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,1,,,
UBC,2014,W,CHIN,307,,001,AD CHIN SP&WR II,"Li, Duanduan",11,81.45,6.82,93,71,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,2,,,
UBC,2015,W,ASIA,386,,001,CHINESE GRAMAR 1,"Li, Duanduan",77,71.81,10.7,93,46,73,2,1,0,0,0,0,0,0,2,2,1,9,7,7,9,10,10,12,7,1,,,
UBC,2015,W,ASIA,396,,001,CHINESE GRAMAR 2,"Li, Duanduan",54,72.63,13.1,96,23,49,2,1,0,0,0,0,1,0,1,2,2,2,6,4,4,6,6,12,4,3,,,
UBC,2015,W,CHIN,305,,001,CHIN SPK&WRT I,"Li, Duanduan",27,80.13,6.39,90,68,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,9,3,3,,,
UBC,2015,W,CHIN,307,,001,AD CHIN SP&WR II,"Li, Duanduan",18,79,6.63,90,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,2,,,
UBC,2016,W,ASIA,386,,001,CHINESE GRAMAR 1,"Li, Duanduan",118,73.26,9.97,95,47,109,5,1,0,0,0,0,0,0,5,5,2,3,4,15,16,12,25,20,11,1,,,
UBC,2016,W,ASIA,396,,001,CHINESE GRAMAR 2,"Li, Duanduan",80,70.67,9.71,96,48,75,1,2,0,0,0,0,0,0,1,1,0,5,17,7,13,10,6,10,4,3,,,
UBC,2016,W,CHIN,405,,001,CHIN SPK&WRT I,"Li, Duanduan",20,80.94,5.97,90,71,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,8,4,1,,,
UBC,2016,W,CHIN,407,,001,AD CHIN SP&WR II,"Li, Duanduan",21,79.55,6.77,91,68,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,6,3,2,,,
UBC,2017,W,ASIA,386,,001,CHINESE GRAMAR 1,"Li, Duanduan",150,76.7,10.91,94,3,140,2,1,0,0,1,1,0,0,0,2,1,2,2,7,15,22,30,38,18,5,,,
UBC,2017,W,ASIA,396,,001,CHINESE GRAMAR 2,"Li, Duanduan",110,70.65,9.67,92,41,99,3,2,0,0,0,0,0,0,3,3,2,3,16,13,18,18,9,12,4,4,,,
UBC,2017,W,CHIN,405,,001,CHIN SPK&WRT I,"Li, Duanduan",22,81.48,4.88,89,73,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9,6,0,,,
UBCV,2014,W,ASIA,386,,001,Chinese Grammar and Usage I,Duanduan Li,77,77.33766234,10.06375779,94.0,47.0,,,,,,,,,,,,,,,6,7,12,9,11,20,5,,,
UBCV,2014,W,ASIA,396,,001,Chinese Grammar and Usage II,Duanduan Li,59,70.69491525,13.45266829,96.0,0.0,,,,,,,,,,,,,,8,7,13,11,,,6,,,,
UBCV,2014,W,CHIN,305,,001,Advanced Chinese Speaking and Writing I (Non-Heritage),Duanduan Li,11,81.90909091,4.968994777,90.0,74.0,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
UBCV,2014,W,CHIN,307,,001,Advanced Chinese Speaking and Writing II (Non-Heritage),Duanduan Li,11,81.45454546,6.817090822,93.0,71.0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
UBCV,2015,W,ASIA,386,,001,Chinese Grammar and Usage I,Duanduan Li;Xiaoyi Ze,76,71.763157895,10.636877262,93.0,46.0,,,,,,,,,,,,,9,7,7,10,10,10,12,7,,,,
UBCV,2015,W,ASIA,396,,001,Chinese Grammar and Usage II,Duanduan Li,53,72.58490566,12.848875979,96.0,23.0,,,,,,,,,,,,,,6,,5,7,6,12,,,,,
UBCV,2015,W,CHIN,305,,001,Advanced Chinese Speaking and Writing I (Non-Heritage),Duanduan Li,24,80.125,6.388253487,90.0,68.0,,,,,,,,,,,0,0,0,0,0,,5,,9,,,,,
UBCV,2015,W,CHIN,307,,001,Advanced Chinese Speaking and Writing II (Non-Heritage),Duanduan Li,18,79.0,6.633249581,90.0,70.0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
UBCV,2016,W,ASIA,386,,001,Chinese Grammar and Usage I,Duanduan Li;Yinzong Wei,117,73.0,10.06016384,95.0,47.0,,,,,,,,,,,5,3,3,5,15,16,13,25,20,11,1,,,
UBCV,2016,W,ASIA,396,,001,Chinese Grammar and Usage II,Duanduan Li;Liam Doherty,78,70.6025641,9.604300638,96.0,48.0,,,,,,,,,,,1,0,5,17,8,14,10,6,10,4,3,,,
UBCV,2016,W,CHIN,405,,001,Advanced Chinese Speaking and Writing I (Non-Heritage),Duanduan Li,18,80.94444444,5.965313682,90.0,71.0,,,,,,,,,,,0,0,0,0,0,2,2,1,8,4,1,,,
UBCV,2016,W,CHIN,407,,001,Advanced Chinese Speaking and Writing II (Non-Heritage),Duanduan Li,20,79.55,6.770485484,91.0,68.0,,,,,,,,,,,0,0,0,0,0,3,4,2,6,3,2,,,
UBCV,2017,W,ASIA,386,,001,Chinese Grammar and Usage I,Duanduan Li;Liam Doherty;Shuang Li;Yinzong Wei,149,76.791946309,10.703166472,94.0,3.0,,,,,,,,,,,2,1,2,2,7,15,25,31,40,19,5,,,
UBCV,2017,W,ASIA,396,,001,Chinese Grammar and Usage II,Duanduan Li;Yinzong Wei,108,70.722222222,9.643973793,92.0,41.0,,,,,,,,,,,3,3,3,16,13,20,18,10,14,4,4,,,
UBCV,2017,W,CHIN,405,,001,Advanced Chinese Speaking and Writing I (Non-Heritage),Duanduan Li;Qian Wang,21,81.476190476,4.884864866,89.0,73.0,,,,,,,,,,,0,0,0,0,0,0,5,1,9,6,0,,,
