Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2014,W,GWST,110,,001,"Gender, Race, Sexuality, and Power II: Everyday Life",Gabrielle Legault;Levi Gahman,79,85.64556962,13.09828524,97.0,0.0,,,,,,,5,,12,18,36,,,
UBCO,2015,W,GWST,110,,001,"Gender, Race, Sexuality, and Power II: Everyday Life",Gabrielle Legault;Jillian Deri,72,77.805555556,15.584968281,98.0,7.0,,,,,5,7,6,11,5,16,15,,,
UBCO,2019,W,INDG,303,,101,Indigenous Studies Theory and Methodology,Gabrielle Legault,23,82.565217391,8.527101644,96.0,64.0,0,0,0,0,2,1,1,1,9,5,4,,,
UBCO,2019,W,INDG,308,,101,"Indigenous Culture, Heritage, and Intellectual Property",Gabrielle Legault,35,90.8,6.676561285,99.0,73.0,0,0,0,0,0,0,2,0,5,7,21,,,
UBCO,2020,W,INDG,100,,001,Introduction to Decolonization: Indigenous Studies,Gabrielle Legault;Kelsey Darnay;Liam King;Natalie Chambers,128,80.140625,16.936999695,99.0,15.0,7,3,1,5,7,4,5,11,22,12,51,,,
UBCO,2020,W,INDG,100,,002,Introduction to Decolonization: Indigenous Studies,Gabrielle Legault;Lareina Mcelroy;Natalie Chambers;Renoir Gauvin,141,83.326241135,13.101524695,98.0,22.0,3,0,3,5,3,6,9,5,29,23,55,,,
UBCO,2020,W,INDG,295,H,001,Indigenous Studies: Special Topics,Gabrielle Legault,32,83.4375,9.791166196,94.0,55.0,0,0,1,0,2,1,1,5,2,9,11,,,
UBCO,2020,W,INDG,303,,101,Indigenous Studies Theory and Methodology,Gabrielle Legault;Laura Hall;Lauren Hall,22,80.909090909,18.738575163,93.0,0.0,1,0,0,0,0,1,0,2,5,10,3,,,
UBCO,2021,W,INDG,204,,001,M�tis Peoples and Perspectives,Gabrielle Legault,28,78.5,18.07904455,96.0,11.0,1,1,1,0,2,2,4,2,3,3,9,,,
UBCO,2021,W,INDG,308,,001,"Indigenous Culture, Heritage, and Intellectual Property",Gabrielle Legault,30,84.133333333,7.695647374,98.0,70.0,0,0,0,0,0,2,2,4,8,8,6,,,
UBCO,2021,W,INDG,204,,001,M�tis Peoples and Perspectives,Gabrielle Legault,28,78.5,,96.0,11.0,,,,,,,,,,,9,81.0,94.0,71.3
UBCO,2021,W,INDG,308,,001,"Indigenous Culture, Heritage, and Intellectual Property",Gabrielle Legault,30,84.1,,98.0,70.0,,,,,,,,,8,8,6,84.0,89.0,79.3
UBCO,2022,W,INDG,204,,001,M���tis Peoples and Perspectives,Gabrielle Legault,20,85.7,,96.0,60.0,0,0,0,1,0,0,2,1,3,6,7,87.0,91.5,81.8
UBCO,2022,W,INDG,295,K,001,Indigenous Studies: Special Topics,Gabrielle Legault,10,87.2,,97.0,70.0,0,0,0,0,0,1,0,0,1,5,3,88.0,92.0,85.5
UBCO,2022,W,INDG,404,,001,Indigenous Peoples United Nations and Global Issues,Gabrielle Legault,25,81.6,,97.0,56.0,0,0,1,2,0,4,1,1,3,3,10,85.0,90.0,71.0
UBCO,2023,W,INDG,204,,001,Mtis Peoples and Perspectives,Gabrielle Legault,22,80.8,,95.0,50.0,0,1,1,0,0,1,0,4,5,7,3,83.5,87.0,78.0
UBCO,2023,W,INDG,205,,001,Indigenous Identities,Gabrielle Legault,12,72.8,,86.0,61.0,0,0,0,3,2,0,0,2,3,1,0,76.0,81.0,64.5
UBCO,2023,W,INDG,308,,001,"Indigenous Culture, Heritage, and Intellectual Property",Gabrielle Legault,29,82.1,,98.0,0.0,2,0,0,1,1,1,1,1,2,10,10,88.0,92.0,82.0
UBCO,2023,W,INDG,401,,001,Research Applications,Gabrielle Legault,25,72.3,,94.0,0.0,3,1,0,1,2,2,1,4,3,3,5,78.0,88.0,66.0
