Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2014,W,EPSE,408,,63C,ED PRG HGHLY ABL,"Lee, Hyekyung",15,89,3.84,93,81,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8
UBC,2014,W,EPSE,408,,63D,ED PRG HGHLY ABL,"Lee, Hyekyung",13,90.85,4.95,99,83,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7
UBC,2015,W,EPSE,408,,63C,ED PRG HGHLY ABL,"Lee, Hyekyung",33,92.75,8.32,98,53,32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,27
UBC,2016,W,EPSE,408,,63C,ED PRG HGHLY ABL,"Lee, Hyekyung",34,91.03,5.69,98,75,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,26
UBCV,2014,W,EPSE,408,,63C,Educational Programming for Highly Able Learners,Hyekyung Lee,15,89.0,3.835920452,93.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,5,8
UBCV,2014,W,EPSE,408,,63D,Educational Programming for Highly Able Learners,Hyekyung Lee,13,90.84615385,4.947156656,99.0,83.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,5,7
UBCV,2015,W,EPSE,408,,63C,Educational Programming for Highly Able Learners,Hyekyung Lee,32,92.75,8.320204712,98.0,53.0,,,,,,,,,,,0,,,,,,,,,2,27
UBCV,2016,W,EPSE,408,,63C,Educational Programming for Highly Able Learners,Hyekyung Lee,33,91.03030303,5.687073327,98.0,75.0,,,,,,,,,,,0,0,0,0,0,0,1,2,2,2,26
UBCV,2020,W,EPSE,303,,63B,Teaching Highly Able Learners,David Nicks;Hyekyung Lee,30,88.6,9.636854545,98.0,51.0,,,,,,,,,,,0,1,0,0,0,1,0,0,6,1,21
UBCV,2021,W,EPSE,303,,63B,Teaching Highly Able Learners,Eva Leung;Hyekyung Lee,30,91.166666667,4.842935369,97.0,68.0,,,,,,,,,,,0,0,0,0,0,1,0,0,0,3,26
