Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2003,W,PCTH,402,,001,SYSTMTC PCOL LAB,"Laher, Ismail",4,92.5,2.65,96,90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,
UBC,2005,W,PCTH,402,,001,SYSTMTC PCOL LAB,"Laher, Ismail",5,92.8,1.92,95,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,
UBC,2014,W,PCTH,400,,001,SYSTEMATIC PCOL,"Ansermino, John Mark;Barr, Alasdair;Bernatchez, Pascal;Bhagavatula, Sastry;Choi, Peter Tsz Lung;Etminan, Mahyar;Fedida, David;Griesdale, Donald E;Hackett, Tillie-Louise;Horne, Andrew;Kurata, Harley;Laher, Ismail;Preston, Roanne;Schwarz, Stephan;Walker, Michael;Warriner, Charles Brian;Wright, James",21,82.76,5.66,90,70,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,10,1,,,
UBC,2015,W,PCTH,325,,001,RNL BS DRUG THER,"Abadi, Shirin S.A.;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Leung, Joanne Y T;Pang, Catherine C;Shabbits, Jennifer Anne;Warriner, Charles Brian;Wright, James",177,84.06,9.24,100,54,176,0,1,0,0,0,0,0,0,0,0,1,2,4,3,8,11,16,31,43,57,,,
UBC,2015,W,PCTH,400,,001,SYSTEMATIC PCOL,"Ansermino, John Mark;Barr, Alasdair;Bernatchez, Pascal;Bhagavatula, Sastry;Choi, Peter Tsz Lung;Etminan, Mahyar;Griesdale, Donald E;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Preston, Roanne;Schwarz, Stephan;Warriner, Charles Brian;Wright, James",20,83.85,6.91,97,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,5,,,
UBC,2016,W,PCTH,325,,001,RNL BS DRUG THER,"Abadi, Shirin S.A.;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Leung, Joanne Y T;Pang, Catherine C;Shabbits, Jennifer Anne",213,81.26,8.91,97,55,211,0,2,0,0,0,0,0,0,0,0,0,4,1,8,20,21,33,40,36,48,,,
UBC,2016,W,PCTH,400,,001,SYSTEMATIC PCOL,"Ansermino, John Mark;Barr, Alasdair;Bernatchez, Pascal;Bhagavatula, Sastry;Choi, Peter Tsz Lung;Etminan, Mahyar;Fedida, David;Godin, David;Griesdale, Donald E;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Preston, Roanne;Schwarz, Stephan;Walker, Michael;Wright, James",19,88.16,3.24,93,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,,,
UBC,2017,W,PCTH,325,,001,RNL BS DRUG THER,"Abadi, Shirin S.A.;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Leung, Joanne Y T;Pang, Catherine C;Shabbits, Jennifer Anne",161,86.5,8.73,100,56,161,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,14,12,28,27,74,,,
UBC,2017,W,PCTH,400,,001,SYSTEMATIC PCOL,"Ansermino, John Mark;Bernatchez, Pascal;Bhagavatula, Sastry;Choi, Peter Tsz Lung;Etminan, Mahyar;Fedida, David;Griesdale, Donald E;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Leung, Joanne Y T;Preston, Roanne;Schwarz, Stephan;Walker, Michael;Wright, James",19,87.74,7.12,99,71,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,7,8,,,
UBC,2018,W,PCTH,325,,001,RNL BS DRUG THER,"Abadi, Shirin S.A.;Hackett, Tillie-Louise;Horne, Andrew;Laher, Ismail;Pang, Catherine C;Rivera Acevedo, Ricardo;Shabbits, Jennifer Anne;Wallener, Maria",201,85.95,9.1,99,49,199,1,0,0,1,0,0,0,0,1,1,0,0,5,5,8,7,17,30,35,92,,,
