Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2020,W,ENGL,109,,009,Studies in Composition (Enhanced),Esther Guak;Jing Li;Natalie Rice;Xiaoxuan Huang,16,75.625,21.231658751,91.0,2.0,1,0,0,1,0,1,2,2,4,4,1,,,
UBCO,2020,W,ENGL,112,,016,Studies in Composition,Esther Guak;Jing Li,29,81.137931034,9.260993999,94.0,57.0,0,0,1,1,1,1,3,6,3,9,4,,,
UBCO,2020,W,ENGL,112,,025,Studies in Composition,Esther Guak;Jing Li,23,70.869565217,24.521427268,91.0,11.0,3,0,1,2,2,0,1,0,6,7,1,,,
UBCO,2020,W,ENGL,112,,101,Studies in Composition,Esther Guak;Jing Li;Xiaoxuan Huang,29,76.689655172,16.261487035,89.0,0.0,1,0,0,1,1,2,4,4,8,8,0,,,
UBCO,2020,W,ENGL,112,,124,Studies in Composition,Esther Guak;Jing Li;Xiaoxuan Huang,28,70.357142857,20.122245449,89.0,3.0,3,2,1,1,1,2,4,1,7,6,0,,,
UBCO,2021,W,ENGL,109,,004,Studies in Composition (Enhanced),Brian Kerr-Bassett;Jing Li,25,73.4,18.674849397,89.0,21.0,2,2,0,1,0,2,1,2,8,7,0,,,
UBCO,2021,W,ENGL,109,,008,Studies in Composition (Enhanced),Brian Kerr-Bassett;Bridget Trainor;Jing Li,24,72.833333333,16.353876463,86.0,18.0,2,0,2,0,4,1,0,3,8,4,0,,,
UBCO,2021,W,ENGL,109,,010,Studies in Composition (Enhanced),Brian Kerr-Bassett;Jing Li,6,73.666666667,5.573747991,83.0,68.0,0,0,0,0,0,3,1,1,1,0,0,,,
UBCO,2021,W,ENGL,112,,016,Studies in Composition,Brian Kerr-Bassett;Jing Li,24,84.625,4.450818195,92.0,73.0,0,0,0,0,0,0,1,2,8,10,3,,,
UBCO,2021,W,ENGL,112,,114,Studies in Composition,Brian Kerr-Bassett;Jing Li,25,75.36,15.7159155,88.0,7.0,1,0,0,1,0,3,4,4,7,5,0,,,
UBCV,2020,W,ANTH,100,A,003,Introduction to Cultural Anthropology,Emily Cadger;Jing Li;Patrick Morgan Ritchie;Patrick Ritchie;Sarah Raven;Tyrone Joe-Mayes;Wade Davis,312,80.923076923,11.295526509,99.0,0.0,4,2,10,5,13,21,26,31,64,68,68,,,
UBCV,2020,W,ANTH,303,A,002,Ethnography of Special Areas,Amirpouyan Shiva;Jing Li;Leslie Robertson,37,76.027027027,8.019027672,88.0,57.0,0,0,2,2,2,2,6,8,9,6,0,,,
UBCV,2020,W,ANTH,407,,001,Principles of Field Work,Amirpouyan Shiva;Jing Li;Millie Creighton,35,79.685714286,10.093012809,95.0,40.0,1,0,0,0,2,4,3,2,11,7,5,,,
UBCO,2021,W,ENGL,109,,004,Studies in Composition (Enhanced),Jing Li,25,73.4,,89.0,21.0,,,,,,,,,8,7,,81.0,85.0,70.0
UBCO,2021,W,ENGL,109,,008,Studies in Composition (Enhanced),Jing Li,24,72.8,,86.0,18.0,,,,,,,,,8,,,80.5,84.0,65.0
UBCO,2021,W,ENGL,109,,010,Studies in Composition (Enhanced),Jing Li,6,73.7,,83.0,68.0,,,,,,,,,,,,73.0,75.8,69.5
UBCO,2021,W,ENGL,112,,016,Studies in Composition,Jing Li,24,84.6,,92.0,73.0,,,,,,,,,8,10,,85.5,87.0,82.5
UBCO,2021,W,ENGL,112,,114,Studies in Composition,Jing Li,25,75.4,,88.0,7.0,,,,,,,,,7,,,79.0,83.0,72.0
UBCO,2022,S,ENGL,109,,001,Studies in Composition (Enhanced),Jing Li,28,69.0,,88.0,32.0,3,0,1,3,7,0,2,4,3,5,0,69.0,80.0,63.5
UBCO,2022,W,APSC,176,,108,Engineering Communication,Jing Li,23,75.5,,88.0,45.0,1,0,1,1,0,3,2,6,7,2,0,79.0,82.5,72.0
UBCO,2022,W,APSC,176,,110,Engineering Communication,Jing Li,31,70.6,,84.0,55.0,0,0,2,6,2,6,5,4,6,0,0,71.0,77.5,64.0
UBCO,2022,W,APSC,176,,111,Engineering Communication,Jing Li,31,72.7,,88.0,47.0,1,2,0,0,4,6,6,4,6,2,0,75.0,79.0,69.5
UBCO,2022,W,APSC,201,,206,Technical Communication,Jing Li,34,79.3,,89.0,68.0,0,0,0,0,0,5,5,5,13,6,0,80.5,83.8,75.0
UBCO,2022,W,APSC,201,,209,Technical Communication,Jing Li,20,76.0,,80.0,58.0,0,0,1,0,0,0,6,9,4,0,0,77.0,79.0,74.5
UBCO,2022,W,APSC,201,,212,Technical Communication,Jing Li,25,75.4,,86.0,38.0,1,1,0,0,1,2,6,4,6,4,0,77.0,82.0,74.0
UBCO,2023,W,APSC,176,,103,Engineering Communication,Jing Li,33,73.8,,88.0,17.0,1,0,0,1,3,3,8,8,5,3,0,75.5,79.5,71.8
UBCO,2023,W,APSC,176,,104,Engineering Communication,Jing Li,32,77.0,,90.0,46.0,1,0,2,0,2,2,5,6,4,9,1,78.0,85.3,72.8
UBCO,2023,W,APSC,176,,110,Engineering Communication,Jing Li,34,76.5,,91.0,41.0,1,0,2,2,1,1,3,7,8,7,1,79.0,84.0,74.0
UBCO,2023,W,APSC,201,,203,Technical Communication,Jing Li,34,79.3,,90.0,55.0,0,0,1,1,1,2,3,8,8,9,1,81.0,85.0,76.3
UBCO,2023,W,APSC,201,,204,Technical Communication,Jing Li,35,78.2,,89.0,51.0,0,2,0,0,1,1,4,10,11,6,0,79.0,83.5,77.0
UBCV,2023,S,APSC,176,,VE1,Engineering Communication,Jing Li,28,77.68,,85.0,60.0,0,0,0,1,0,1,7,7,11,1,0,78.5,81.25,75.0
UBCV,2023,S,APSC,176,,VE2,Engineering Communication,Jing Li,24,75.79,,85.0,64.0,0,0,0,0,5,2,3,5,6,3,0,78.5,81.25,68.75
