Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2016,W,SPPH,540,,004,PROG PLN & EVAL,"Lee, Laura",4,88.75,8.1,95,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,,,
UBC,2017,W,SPHA,581,B,002,DIR STUDIES,"Lee, Laura;Rawat, Angeli",29,88.41,2.21,91,81,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,8,,,
UBC,2017,W,SURG,516,,99C,PP&E SURG CR LRS,"Lee, Laura;Mihailovic, Alexandra",8,87.38,3.7,92,81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,,,
UBC,2018,W,SURG,516,,99C,PP&E SURG CR LRS,"Lee, Laura;Mihailovic, Alexandra",11,85.9,6.42,94,74,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,,,
UBCV,2017,W,SPHA,581,B,002,Directed Studies,Angeli Rawat;Laura Lee,29,88.413793103,2.212258726,91.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,19,8,,,
UBCV,2017,W,SURG,516,,99C,Program Planning and Evaluation in Surgical Care Low Resource Settings,Alexandra Mihailovic;Laura Lee,8,87.375,3.700868624,92.0,81.0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,4,2,,,
UBCV,2018,W,SURG,516,,99C,Program Planning and Evaluation in Surgical Care Low Resource Settings,Alexandra Mihailovic;Laura Lee,10,85.9,6.41958808,94.0,74.0,,,,,,,,,,,0,0,0,0,0,0,1,1,2,3,3,,,
UBCV,2019,S,ASTU,401,C,001,Special Topics in Arts Studies,Laura Lee,18,86.333333333,3.613699424,93.0,79.0,,,,,,,,,,,0,0,0,0,0,0,0,1,4,12,1,,,
UBCV,2019,W,SURG,516,,99C,Program Planning and Evaluation in Surgical Care Low Resource Settings,Brian Westerberg;Laura Lee;Shafique Pirani,10,88.5,3.689323937,94.0,82.0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,5,4,,,
UBCV,2020,W,SURG,516,,99C,Program Planning and Evaluation in Surgical Care Low Resource Settings,Brian Westerberg;Laura Lee;Shafique Pirani,10,89.3,3.164033993,94.0,85.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,4,,,
UBCV,2021,W,SURG,516,,99C,Program Planning and Evaluation in Surgical Care Low Resource Settings,Brian Westerberg;Laura Lee;Shafique Pirani,16,88.0,6.542170894,98.0,71.0,,,,,,,,,,,0,0,0,0,0,1,0,0,3,6,6,,,
UBCV,2021,W,SURG,516,,99C,Program Planning and Evaluation in Surgical Care Low Resource Settings,Laura Lee;Shafique Pirani,16,87.9,,98.0,71.0,,,,,,,,,,,,,,,,,,,,6,6,88.0,90.0,86.3
UBCV,2022,W,SURG,516,,99C,Program Planning and Evaluation in Surgical Care Low Resource Settings,Laura Lee;Shafique Pirani;Supriya Singh,11,84.6,,94.0,73.0,,,,,,,,,,,0,0,0,0,0,0,1,3,2,0,5,84.0,92.5,77.5
