Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ENGL,110,,017,INTRO LITERATURE,"LANGE, MAJA",28,70.08,6.9,85,57,26,0,0,0,2,0,0,0,0,0,0,0,2,2,6,5,6,1,3,1,0
UBC,2002,W,ENGL,110,,20A,INTRO LITERATURE,"LANGE, MAJA",29,73.76,6.45,85,60,29,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,6,6,1,0
UBC,2002,W,ENGL,112,,02C,STRAT UNIV WRIT,"LANGE, MAJA",32,72.75,7.36,88,55,32,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,9,4,6,1,0
UBC,2002,W,ENGL,112,,04D,STRAT UNIV WRIT,"LANGE, MAJA",33,69.94,4.58,78,63,33,0,0,0,0,0,0,0,0,0,0,0,0,1,11,7,9,5,0,0,0
UBC,2002,W,ENGL,112,,06M,STRAT UNIV WRIT,"LANGE, MAJA",29,73.57,6,85,62,28,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,9,5,4,1,0
UBC,2002,W,ENGL,227,,007,PROSE,"LANGE, MAJA",38,74.78,5.23,85,63,37,0,1,0,0,0,0,0,0,0,0,0,0,1,2,5,14,7,7,1,0
UBC,2003,W,ENGL,112,,01P,STRAT UNIV WRIT,"LANGE, MAJA",32,77.06,6.83,86,57,32,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,6,12,4,0
UBC,2003,W,ENGL,112,,02F,STRAT UNIV WRIT,"LANGE, MAJA",33,73.73,5.99,85,56,33,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,9,10,3,1,0
UBC,2003,W,ENGL,112,,03T,STRAT UNIV WRIT,"LANGE, MAJA",34,72.76,4.97,84,64,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,3,5,0,0
UBC,2003,W,ENGL,112,,04F,STRAT UNIV WRIT,"LANGE, MAJA",35,75.24,6.54,85,56,33,0,1,0,1,0,0,0,0,0,0,0,1,1,1,3,10,9,6,2,0
UBC,2003,W,ENGL,221,,011,LIT BRIT 18C+,"LANGE, MAJA",40,77.65,5.21,87,68,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,12,5,0
UBC,2003,W,ENGL,227,,006,PROSE,"LANGE, MAJA",40,73.15,13.72,88,0,38,1,1,0,0,1,0,0,0,0,1,1,0,2,1,4,10,12,6,2,0
UBC,2005,W,ENGL,112,,01B,STRAT UNIV WRIT,"LANGE, MAJA",29,70.28,14.82,84,6,27,2,0,0,0,1,0,0,0,1,2,0,0,1,2,8,7,3,6,0,0
UBC,2005,W,ENGL,112,,03E,STRAT UNIV WRIT,"LANGE, MAJA",35,76.6,7.62,86,61,35,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,7,1,14,4,0
UBC,2005,W,ENGL,112,,04R,STRAT UNIV WRIT,"LANGE, MAJA",34,71.82,11.38,85,23,32,1,1,0,0,0,0,1,0,0,1,0,1,1,6,3,6,8,6,1,0
UBC,2005,W,ENGL,112,,06N,STRAT UNIV WRIT,"LANGE, MAJA",31,73.9,15.53,85,0,30,1,0,0,0,1,0,0,0,0,1,1,0,1,1,3,6,5,10,3,0
UBC,2005,W,ENGL,221,,009,LIT BRIT 18C+,"LANGE, MAJA",34,73.47,15.39,92,0,33,1,0,0,0,1,0,0,0,0,1,1,0,1,3,4,7,4,8,4,1
UBC,2005,W,ENGL,227,,009,PROSE,"LANGE, MAJA",40,72.56,12.25,87,19,37,2,1,0,0,0,1,0,1,0,2,0,0,1,2,5,14,8,3,4,0
UBC,2006,W,ENGL,112,,01B,STRAT UNIV WRIT,"LANGE, MAJA",34,76,5.53,85,60,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,11,6,9,2,0
UBC,2006,W,ENGL,112,,01M,STRAT UNIV WRIT,"LANGE, MAJA",32,70.03,15.35,86,0,30,1,1,0,0,1,0,0,0,0,1,0,2,2,6,5,3,4,6,2,0
UBC,2006,W,ENGL,112,,03E,STRAT UNIV WRIT,"LANGE, MAJA",34,76.62,5.58,85,63,34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8,8,10,2,0
UBC,2006,W,ENGL,112,,03Q,STRAT UNIV WRIT,"LANGE, MAJA",31,74.52,6.8,84,60,31,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,9,5,10,0,0
UBC,2006,W,ENGL,221,,015,LIT BRIT 18C+,"LANGE, MAJA",39,75.83,6.23,87,62,36,0,3,0,0,0,0,0,0,0,0,0,0,1,2,5,11,5,8,4,0
UBC,2006,W,ENGL,227,,004,PROSE,"LANGE, MAJA",37,75.71,11.76,88,30,33,2,2,0,0,0,0,0,1,1,2,1,0,0,1,1,5,14,6,5,0
UBC,2007,W,ENGL,112,,01D,STRAT UNIV WRIT,"LANGE, MAJA",33,74.61,7.4,86,49,32,1,0,0,0,0,0,0,0,1,1,0,0,0,4,4,8,8,5,3,0
UBC,2007,W,ENGL,112,,03N,STRAT UNIV WRIT,"LANGE, MAJA",34,73.82,11.53,87,18,33,1,0,0,0,0,1,0,0,0,1,0,0,0,2,7,10,3,9,2,0
UBC,2007,W,ENGL,112,,05C,STRAT UNIV WRIT,"LANGE, MAJA",34,77.59,7.3,86,54,34,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,3,14,4,0
