Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2005,W,HIST,406,,101,FRANCE 1715-1900,"Lanthier, Michael",49,73.9,8.61,91,45,46,2,1,0,0,0,0,0,0,2,2,1,0,1,3,4,13,17,5,1,1,,,
UBC,2005,W,HIST,409,,201,Fran 1900-Pres,"Lanthier, Michael",44,70.67,17.45,87,0,37,2,2,2,1,2,0,0,0,0,2,2,1,0,0,9,11,4,7,3,0,,,
UBC,2006,W,HIST,406,,101,FRANCE 1715-1900,"Lanthier, Michael",51,71.71,11.4,86,0,50,1,0,0,0,1,0,0,0,0,1,0,0,3,1,13,18,12,1,2,0,,,
UBC,2006,W,HIST,409,,201,Fran 1900-Pres,"Lanthier, Michael",50,72.33,9.84,83,25,44,2,4,0,0,0,0,1,0,1,2,0,0,0,6,4,15,13,6,0,0,,,
UBC,2007,W,HIST,346,,001,FRANC POST-REVOL,"Lanthier, Michael",47,67.33,17.78,86,0,43,3,1,0,0,2,1,0,0,0,3,2,1,2,7,11,9,4,5,2,0,,,
UBC,2009,S,HIST,318,,951,EARLY 20C BRIT,"Lanthier, Michael",37,73.25,6.34,85,57,36,0,1,0,0,0,0,0,0,0,0,0,1,2,4,6,10,8,4,1,0,,,
UBC,2009,W,HIST,220,,001,HIST OF EURO,"Lanthier, Michael;Safier, Neil",67,72.19,11.4,88,22,61,1,5,0,0,0,0,1,0,0,1,5,2,2,4,10,9,9,17,3,0,,,
UBC,2009,W,HIST,346,,001,FRANC POST-REVOL,"Lanthier, Michael",44,67.95,10.38,85,36,39,1,4,0,0,0,0,0,1,0,1,5,1,1,6,9,9,4,2,2,0,,,
UBC,2010,W,HIST,368,,101,EUROPE 19TH CENT,"Lanthier, Michael",38,70.38,10.89,83,22,36,1,0,0,0,0,0,1,0,0,1,2,0,2,3,7,8,11,3,0,0,,,
UBC,2010,W,HIST,368,,201,EUROPE 19TH CENT,"Lanthier, Michael",39,68.68,17.28,83,0,36,2,1,0,0,2,0,0,0,0,2,0,1,0,4,10,11,6,4,0,0,,,
UBC,2010,W,HIST,369,,101,EUROPE 1900-50,"Lanthier, Michael",43,72.2,6.43,85,55,40,0,0,0,1,0,0,0,0,0,0,0,2,0,5,12,9,5,6,1,0,,,
UBC,2011,W,HIST,346,,001,FRANC POST-REVOL,"Lanthier, Michael",42,72.37,7.24,86,54,38,0,4,0,0,0,0,0,0,0,0,1,1,1,7,3,11,8,5,1,0,,,
UBC,2012,S,HIST,319,,951,BRIT 1946 - PRES,"Lanthier, Michael",38,73.12,16.14,86,0,32,2,4,0,0,1,0,0,1,0,2,0,1,0,1,3,5,9,11,2,0,,,
UBC,2012,W,HIST,317,,101,BRIT 1850-1918,"Lanthier, Michael",41,73.2,8.53,86,51,40,0,0,0,0,0,0,0,0,0,0,2,2,1,0,7,13,8,3,4,0,,,
UBC,2012,W,HIST,355,,201,19TH CEN GERMANY,"Lanthier, Michael",48,70.48,8.38,90,52,44,0,4,0,0,0,0,0,0,0,0,3,2,3,5,10,9,6,5,0,1,,,
UBC,2012,W,HIST,370,,101,EUROP SINCE 1950,"Lanthier, Michael",47,67.57,14.56,85,7,42,4,1,0,0,1,0,1,1,1,4,1,1,3,2,13,12,5,4,1,0,,,
UBC,2013,W,HIST,367,,101,EUR ENLIGHTNMENT,"Lanthier, Michael",43,68.33,15.08,87,13,35,4,3,0,0,0,1,1,0,2,4,1,1,0,4,10,8,3,6,2,0,,,
UBC,2013,W,HIST,370,,201,EUROP SINCE 1950,"Lanthier, Michael",38,62.95,21.33,86,0,30,7,1,0,0,1,1,3,0,2,7,1,2,0,3,9,4,3,7,1,0,,,
UBC,2014,S,HIST,319,,951,BRIT 1946 - PRES,"Lanthier, Michael",46,65.81,18.14,85,0,38,5,0,0,0,1,0,2,2,0,5,4,0,2,1,10,10,5,5,1,0,,,
UBC,2014,W,HIST,319,,101,BRIT 1946 - PRES,"Lanthier, Michael",40,68.69,13.65,85,21,36,3,0,0,0,0,0,1,0,2,3,4,0,3,5,3,6,10,4,1,0,,,
UBC,2014,W,HIST,346,,001,FRANC POST-REVOL,"Lanthier, Michael;Mayer, Tara",45,69.91,15.26,85,0,41,4,0,0,0,1,0,0,2,1,4,1,0,1,3,13,7,5,9,2,0,,,
UBC,2014,W,HIST,355,,101,19TH CEN GERMANY,"Lanthier, Michael",35,68.61,10.76,86,44,29,2,3,1,0,0,0,0,0,2,2,3,1,2,4,3,8,4,3,1,0,,,
UBC,2015,S,HIST,103,,925,HIST POST 1900,"Lanthier, Michael",44,69.77,15.74,87,0,37,2,3,1,0,1,0,0,0,1,2,2,2,3,2,5,7,6,7,3,0,,,
UBC,2015,W,HIST,367,,201,EUR ENLIGHTNMENT,"Lanthier, Michael",18,73.93,6.34,86,62,15,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,6,2,2,1,0,,,
UBC,2015,W,HIST,490,G,101,SEM FOR HIST MAJ,"Lanthier, Michael",21,61.4,25.38,85,3,16,4,1,0,0,2,1,0,1,0,4,0,0,1,3,1,5,3,2,1,0,,,
UBC,2016,S,HIST,103,,925,HIST POST 1900,"Lanthier, Michael",43,71.12,14.8,87,0,39,2,2,0,0,1,0,0,0,1,2,1,1,3,1,7,9,5,10,2,0,,,
UBC,2016,W,HIST,490,C,101,SEM FOR HIST MAJ,"Lanthier, Michael",23,68.96,24.4,87,0,20,3,0,0,0,1,1,1,0,0,3,0,2,0,2,0,2,6,1,7,0,,,
UBC,2017,S,HIST,103,,925,HIST POST 1900,"Lanthier, Michael",41,72,9.21,85,42,39,2,0,0,0,0,0,0,0,2,2,0,1,2,3,6,13,7,6,1,0,,,
UBC,2017,W,HIST,311,,101,Brit Empire 1850,"Lanthier, Michael",47,72.33,14.45,86,5,44,2,0,0,0,1,0,1,0,0,2,0,0,3,4,6,11,6,10,4,0,,,
UBC,2017,W,HIST,356,,201,20TH CEN GERMANY,"Lanthier, Michael",49,70.91,16.6,87,6,43,3,3,0,0,1,1,0,0,1,3,2,2,2,2,6,7,5,12,5,0,,,
UBC,2017,W,HIST,367,,101,EUR ENLIGHTNMENT,"Lanthier, Michael",32,72.19,13.76,85,7,30,1,1,0,0,1,0,0,0,0,1,0,0,2,4,5,2,9,7,1,0,,,
UBC,2018,S,HIST,103,,925,HIST POST 1900,"Lanthier, Michael",42,70.4,15.83,88,17,39,3,0,0,0,0,1,2,0,0,3,0,1,3,4,4,7,8,10,2,0,,,
UBC,2018,S,HIST,369,,951,EUROPE 1900-50,"Lanthier, Michael",50,72.22,14.79,86,0,44,2,3,0,0,1,0,1,0,0,2,0,0,0,4,10,10,9,8,3,0,,,
UBC,2018,W,HIST,311,,201,Brit Empire 1850,"Lanthier, Michael",45,72.53,16.81,88,0,41,2,0,0,1,2,0,0,0,0,2,0,0,1,4,2,10,14,7,3,0,,,
UBC,2018,W,HIST,315,,101,BRIT 1750 - 1850,"Lanthier, Michael",44,73.39,9.39,88,35,43,1,0,0,0,0,0,0,1,0,1,1,1,0,3,8,15,3,9,3,0,,,
UBC,2018,W,HIST,369,,101,EUROPE 1900-50,"Lanthier, Michael",64,72.32,15.31,87,0,59,3,0,0,2,1,2,0,0,0,3,0,0,2,4,7,12,17,15,2,0,,,
UBC,2018,W,HIST,370,,201,EUROP SINCE 1950,"Lanthier, Michael",31,68.5,21.88,86,0,25,3,1,0,0,2,0,1,0,0,3,0,1,1,1,5,3,4,9,1,0,,,
UBC,2018,W,HIST,490,K,201,SEM FOR HIST MAJ,"Lanthier, Michael",17,74.29,20.3,88,0,16,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,4,4,4,0,,,
UBCV,2014,S,HIST,319,,951,"Britain, 1945 to the Present",Michael Lanthier,46,65.67391304,17.54999759,85.0,0.0,,,,,,,,,,,5,,,,,11,10,5,5,,0,,,
UBCV,2014,W,HIST,319,,101,"Britain, 1945 to the Present",Michael Lanthier,40,68.7,13.47590442,85.0,21.0,,,,,,,,,,,,,,,5,,6,10,,,0,,,
UBCV,2014,W,HIST,346,,001,France Since the Revolution,Michael Lanthier;Tara Mayer,45,69.91111111,15.25811591,85.0,0.0,,,,,,,,,,,,,,,,13,7,5,9,,0,,,
UBCV,2014,W,HIST,355,,101,Nineteenth Century Germany,Michael Lanthier,31,68.61290323,10.76004157,86.0,44.0,,,,,,,,,,,,,,,,,8,,,,0,,,
UBCV,2015,S,HIST,103,,925,World History Since 1900,Michael Lanthier,40,69.95,15.5809713,87.0,0.0,,,,,,,,,,,,,,,,5,7,7,7,,0,,,
UBCV,2015,W,HIST,367,,201,Europe in the Age of the Enlightenment,Michael Lanthier,15,73.933333333,6.341097997,86.0,62.0,,,,,,,,,,,0,0,0,,,,6,,,,0,,,
UBCV,2015,W,HIST,490,G,101,Seminar for Majors in History,Michael Lanthier,20,61.4,25.377984657,85.0,3.0,,,,,,,,,,,,,,,,,5,,,,0,,,
UBCV,2016,S,HIST,103,,925,World History Since 1900,Michael Lanthier,41,71.12195122,14.80404526,87.0,0.0,,,,,,,,,,,2,1,1,3,1,7,9,5,10,2,0,,,
UBCV,2016,W,HIST,490,C,101,Seminar for Majors in History,Michael Lanthier,23,68.95652174,24.39723953,87.0,0.0,,,,,,,,,,,3,0,2,0,2,0,2,6,1,7,0,,,
UBCV,2017,S,HIST,103,,925,World History Since 1900,Michael Lanthier,41,72.0,9.211405973,85.0,42.0,,,,,,,,,,,2,0,1,2,3,6,13,7,6,1,0,,,
UBCV,2017,W,HIST,311,,101,The British Empire after 1850,Kenneth Corbett;Michael Lanthier,47,72.29787234,14.290335581,86.0,5.0,,,,,,,,,,,2,0,0,3,4,7,11,6,10,4,0,,,
UBCV,2017,W,HIST,356,,201,Twentieth-Century Germany,Michael Lanthier,46,70.913043478,16.599633312,87.0,6.0,,,,,,,,,,,3,2,2,2,2,6,7,5,12,5,0,,,
UBCV,2017,W,HIST,367,,101,Europe in the Age of the Enlightenment,Michael Lanthier,31,72.193548387,13.763282929,85.0,7.0,,,,,,,,,,,1,0,0,2,4,5,2,9,7,1,0,,,
UBCV,2018,S,HIST,103,,925,World History Since 1900,Michael Lanthier,42,70.404761905,15.82535712,88.0,17.0,,,,,,,,,,,3,0,1,3,4,4,7,8,10,2,0,,,
UBCV,2018,S,HIST,369,,951,"Europe, 1900-1950",Michael Lanthier,47,72.042553191,14.67911478,86.0,0.0,,,,,,,,,,,2,0,0,0,5,10,10,9,8,3,0,,,
UBCV,2018,W,HIST,311,,201,The British Empire after 1850,Michael Lanthier,45,71.888888889,17.183795514,88.0,0.0,,,,,,,,,,,3,0,0,1,4,2,10,15,7,3,0,,,
UBCV,2018,W,HIST,315,,101,Britain 1750-1850,Michael Lanthier,44,73.386363636,9.393753266,88.0,35.0,,,,,,,,,,,1,1,1,0,3,8,15,3,9,3,0,,,
UBCV,2018,W,HIST,369,,101,"Europe, 1900-1950",David Gossen;Jacob Goldowitz;Michael Lanthier,63,71.682539683,16.014937983,87.0,0.0,,,,,,,,,,,4,0,0,2,4,7,12,17,15,2,0,,,
UBCV,2018,W,HIST,370,,201,Europe Since 1950,David Gossen;Michael Lanthier,30,68.866666667,21.160687906,86.0,0.0,,,,,,,,,,,3,0,1,1,1,5,4,5,9,1,0,,,
UBCV,2018,W,HIST,490,K,201,Seminar for Majors in History,Michael Lanthier,17,74.294117647,20.303216204,88.0,0.0,,,,,,,,,,,1,0,0,0,2,0,2,4,4,4,0,,,
UBCV,2019,S,HIST,103,,925,World History Since 1900,Eric Johnson;Eric Michael Johnson;Michael Lanthier,16,73.125,11.008330179,88.0,50.0,,,,,,,,,,,0,1,1,1,0,3,3,1,4,2,0,,,
UBCV,2019,S,HIST,319,,921,"Britain, 1945 to the Present",Michael Lanthier,37,73.837837838,12.593017275,87.0,11.0,,,,,,,,,,,1,0,0,3,1,7,7,5,9,4,0,,,
UBCV,2019,S,HIST,369,,921,"Europe, 1900-1950",Michael Lanthier,38,70.131578947,19.485505427,88.0,0.0,,,,,,,,,,,3,0,3,0,1,5,7,8,8,3,0,,,
UBCV,2019,W,HIST,103,,001,World History Since 1900,Cheuk Him Ryan Sun;Hannah Facknitz;Hannah Sullivan Facknitz;Michael Lanthier;Steven Hugh Lee;Yee Rem Kim,139,73.604316547,10.955521872,89.0,3.0,,,,,,,,,,,4,1,3,4,13,21,25,30,24,14,0,,,
UBCV,2019,W,HIST,220,A,201,History of Europe,Dylan Burrows;Jacob Goldowitz;Joy Dixon;Mercedes Miranda Elizabet Peters;Mercedes Peters;Michael Lanthier,81,76.407407407,8.911758774,91.0,52.0,,,,,,,,,,,0,1,3,5,9,4,9,16,19,12,3,,,
UBCV,2019,W,HIST,369,,101,"Europe, 1900-1950",Gul Kayir;Michael Lanthier,71,70.563380282,15.876066798,85.0,0.0,,,,,,,,,,,4,1,1,4,2,11,17,16,14,1,0,,,
UBCV,2019,W,HIST,370,,201,Europe Since 1950,Michael Lanthier,41,75.073170732,14.063054867,88.0,0.0,,,,,,,,,,,1,0,2,1,2,1,7,10,13,4,0,,,
UBCV,2019,W,HIST,403,A,101,Seminar in the History of International Relations,Michael Lanthier,19,72.368421053,17.215014526,87.0,12.0,,,,,,,,,,,1,1,0,1,0,2,3,4,4,3,0,,,
