Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2015,S,PHTH,558,,001,Case-Based Integration IV,Anne Rankin;Karen Tugwell;Michelle Labandelo;Roland Fletcher,78,87.1025641,7.778741833,100.0,72.0,0,0,0,0,0,0,5,12,12,13,36,,,
UBCV,2018,S,PHTH,558,,001,Case-Based Integration IV,Anne Rankin;Karen Tugwell;Linda Maedel;Michelle Labandelo;Neil Pearson;Roland Fletcher,79,83.594936709,8.522246886,97.0,62.0,0,0,0,1,4,5,6,5,15,24,19,,,
UBCV,2018,W,PHTH,528,,001,Case-based Integration,Anne Rankin;Michelle Labandelo;Robin Roots;Roland Fletcher,78,83.884615385,4.44002097,92.0,75.0,0,0,0,0,0,0,1,15,24,28,10,,,
UBCV,2019,S,PHTH,538,,001,Case-based Integration II,Anne Rankin;Joseph Anthony;Kerrie Anne Roberts;Kerrie Roberts;Michelle Labandelo;Natalie Grant;Robin Roots,78,85.538461538,3.455439182,92.0,73.0,0,0,0,0,0,0,1,2,26,39,10,,,
UBCV,2019,S,PHTH,548,,921,Case-based Integration III,Anne Rankin;Bethan Everett;Beverley Christine Larssen;Beverley Larssen;Janice Eng;Jean Cremin;Karen Sauve;Michelle Labandelo;Naomi Casiro;Tara Klassen,79,90.417721519,4.146693446,97.0,80.0,0,0,0,0,0,0,0,0,6,23,50,,,
UBCV,2019,S,PHTH,558,,001,Case-Based Integration IV,Anne Rankin;Beverley Christine Larssen;Beverley Larssen;Michelle Labandelo,79,88.367088608,4.822961148,100.0,79.0,0,0,0,0,0,0,0,1,13,38,27,,,
UBCV,2019,W,PHTH,528,,001,Case-based Integration,Anne Rankin;Maria Juricic;Michelle Jacobs;Michelle Labandelo;Robin Roots;Roland Fletcher;Teresa Yeong Lih Liu,79,91.405063291,1.944874838,96.0,86.0,0,0,0,0,0,0,0,0,0,13,66,,,
UBCV,2020,S,PHTH,538,,001,Case-based Integration II,Anne Rankin;Joseph Anthony;Kim Foster;Lesley Schwab;Michelle Labandelo;Natalie Grant;Patricia Macdiarmid;Patricia Mcilwaine;Robin Roots;Roland Fletcher,79,88.063291139,3.968923422,97.0,74.0,0,0,0,0,0,0,1,0,13,36,29,,,
UBCV,2020,S,PHTH,548,,921,Case-based Integration III,Bethan Everett;Beverley Christine Larssen;Beverley Larssen;Jean Cremin;Michelle Labandelo,78,90.358974359,4.199487783,98.0,80.0,0,0,0,0,0,0,0,0,10,15,53,,,
UBCV,2020,S,PHTH,558,,001,Case-Based Integration IV,Anne Rankin;Michelle Labandelo;Roland Fletcher,78,91.423076923,3.705100839,99.0,83.0,0,0,0,0,0,0,0,0,2,20,56,,,
UBCV,2020,W,PHTH,528,,001,Case-based Integration,Anne Rankin;David Anekwe;Maria Juricic;Michelle Jacobs;Michelle Labandelo;Oladapo Akinsiku;Robin Roots;Roland Fletcher;Teresa Yeong Lih Liu,101,90.425742574,3.800911824,98.0,75.0,0,0,0,0,0,0,1,0,8,21,71,,,
UBCV,2021,S,PHTH,538,,001,Case-based Integration II,David Anekwe;Joseph Anthony;Kerrie Roberts;Michelle Labandelo;Natalie Grant;Patricia Mcilwaine;Robin Roots;Roland Fletcher,101,89.504950495,3.517452949,97.0,73.0,0,0,0,0,0,0,1,0,4,38,58,,,
UBCV,2021,S,PHTH,548,,921,Case-based Integration III,Beverley Larssen;David Anekwe;Jean Cremin;Michelle Labandelo,79,92.227848101,3.478687371,97.0,73.0,0,0,0,0,0,0,1,0,0,11,67,,,
UBCV,2021,S,PHTH,558,,001,Case-Based Integration IV,Beverley Larssen;Michelle Labandelo;Roland Fletcher,79,87.341772152,5.086145273,95.0,66.0,0,0,0,0,1,0,2,2,9,38,27,,,
UBCV,2021,W,PHTH,516,,001,Clinical Decision-Making I,Bobbi Turner;Janet Lundie;Michelle Labandelo;Robin Roots,100,96.05,1.53987406,98.0,92.0,0,0,0,0,0,0,0,0,0,0,100,,,
UBCV,2021,W,PHTH,528,,001,Case-based Integration,Angela Pace;Anne Rankin;David Anekwe;Karen Sauve;Maria Juricic;Michelle Jacobs;Michelle Labandelo;Osita Hibbert;Robin Roots;Roland Fletcher;Teresa Yeong Lih Liu,99,89.171717172,4.666512057,95.0,70.0,0,0,0,0,0,1,2,4,6,30,56,,,
UBCV,2021,S,PHTH,538,,001,Case-based Integration II,David Anekwe;Joseph Anthony;Roland Fletcher;Natalie Grant;Michelle Labandelo;Patricia Mcilwaine;Kerrie Roberts;Robin Roots,101,89.5,,97.0,73.0,,,,,,,,,,38,58,90.0,91.0,88.0
UBCV,2021,S,PHTH,548,,921,Case-based Integration III,David Anekwe;Jean Cremin;Michelle Labandelo,79,92.2,,97.0,73.0,,,,,,,,,,11,67,93.0,94.0,91.0
UBCV,2021,S,PHTH,558,,001,Case-Based Integration IV,Roland Fletcher;Michelle Labandelo,79,87.3,,95.0,66.0,,,,,,,,,9,38,27,88.0,90.0,85.0
UBCV,2021,W,PHTH,516,,001,Clinical Decision-Making I,Michelle Labandelo;Janet Lundie;Robin Roots;Bobbi Turner,100,96.1,,98.0,92.0,0,0,0,0,0,0,0,0,0,0,100,96.0,97.0,95.0
UBCV,2021,W,PHTH,528,,001,Case-based Integration,David Anekwe;Roland Fletcher;Osita Hibbert;Michelle Jacobs;Maria Juricic;Michelle Labandelo;Teresa Yeong Lih Liu;Angela Pace;Robin Roots,99,89.2,,95.0,70.0,,,,,,,,,6,30,56,90.0,92.0,88.0
UBCV,2022,S,PHTH,538,,001,Case-based Integration II,David Anekwe;Joseph Anthony;Marilyn Araujo;Khushboo Baldawa;Michelle Labandelo;Patricia McIlwaine;Robin Roots,99,90.8,,97.0,79.0,0,0,0,0,0,0,0,1,3,22,73,91.0,93.0,89.0
UBCV,2022,S,PHTH,548,,921,Case-based Integration III,David Anekwe;Jean Cremin;Roland Fletcher;Michelle Labandelo;Robin Roots,100,93.8,,98.0,82.0,0,0,0,0,0,0,0,0,2,4,94,94.0,96.0,93.0
UBCV,2022,S,PHTH,558,,001,Case-Based Integration IV,Roland Fletcher;Michelle Labandelo;Robin Roots,100,90.6,,95.0,78.0,0,0,0,0,0,0,0,2,0,17,81,91.0,91.0,90.0
UBCV,2022,W,PHTH,528,,001,Case-based Integration,David Anekwe;Andrea Chan;Martina Feldmann;Roland Fletcher;Alison Greig;Brooke Hannela;Michelle Jacobs;Maria Juricic;Michelle Labandelo;Teresa Yeong Lih Liu;Malgonata Mikszan;Angela Pace;Susan Paul;Robin Roots,117,90.1,,95.0,84.0,0,0,0,0,0,0,0,0,1,45,71,91.0,92.0,88.0
UBCV,2023,S,PHTH,538,,001,Case-based Integration II,David Anekwe;Joseph Anthony;Michelle Labandelo;Robin Roots,117,93.06,,97.0,82.0,0,0,0,0,0,0,0,0,3,0,114,93.0,95.0,92.0
UBCV,2023,S,PHTH,548,,921,Case-based Integration III,David Anekwe;Jean Cremin;Roland Fletcher;Michelle Labandelo;Robin Roots,98,87.0,,93.0,76.0,0,0,0,0,0,0,0,3,20,53,22,87.0,89.0,85.0
UBCV,2023,S,PHTH,558,,001,Case-Based Integration IV,Roland Fletcher;Michelle Labandelo;Robin Roots,98,89.06,,97.0,74.0,0,0,0,0,0,0,1,1,11,33,52,90.0,92.0,87.0
UBCV,2023,W,PHTH,528,,001,Case-based Integration,David Anekwe;Roland Fletcher;Natalie Grant;Alison Greig;Michelle Labandelo;Teresa Yeong Lih Liu;Robin Roots;Caitlin Williams,121,89.64,,95.0,80.0,0,0,0,0,0,0,0,0,10,46,65,90.0,92.0,88.0
